,country,emission,emission_log
0,AUT,2008,7.60489448081162
1,AUS,1176,7.069874128458572
2,BEL,2188,7.690743163541872
3,BGR,166,5.111987788356544
4,BRA,822,6.71174039505618
5,CAN,1088,6.992096427415888
6,CHE,3628,8.196436811235028
7,CHN,2843,7.952615111651
8,CYP,152,5.0238805208462765
9,CZE,547,6.304448802421981
10,DEU,15044,9.618734519590227
11,DNK,745,6.61338421837956
12,EST,38,3.6375861597263857
13,ESP,6359,8.757626411267408
14,FIN,548,6.306275286948016
15,FRA,15041,9.618535084655214
16,GBR,5312,8.57772369115627
17,GRC,2522,7.8328075165248645
18,HRV,429,6.061456918928017
19,HUN,883,6.78332520060396
20,IDN,431,6.066108090103747
21,IRL,860,6.756932389247553
22,IND,484,6.182084906716632
23,ITA,921412,13.733662555058794
24,JPN,1846,7.520776415062797
25,KOR,900,6.802394763324311
26,LTU,39,3.6635616461296463
27,LUX,73,4.290459441148391
28,LVA,28,3.332204510175204
29,MLT,201,5.303304908059076
30,MEX,784,6.664409020350408
31,NLD,2550,7.843848638152472
32,NOR,591,6.3818160174060985
33,POL,1353,7.210079628170788
34,PRT,1460,7.286191714702382
35,ROU,882,6.782192056006791
36,RUS,511,6.236369590203704
37,SWE,1438,7.271008538280992
38,SVN,799,6.683360945766275
39,SVK,182,5.204006687076795
40,TUR,1422,7.259819610363186
41,TWN,900,6.802394763324311
42,USA,12961,9.469700127423375
43,AFG,4807,8.47782846789396
44,ASM,4807,8.47782846789396
45,ATA,4807,8.47782846789396
46,ARM,4807,8.47782846789396
47,AZE,4807,8.47782846789396
48,BGD,4807,8.47782846789396
49,BTN,4807,8.47782846789396
50,BVT,4807,8.47782846789396
51,IOT,4807,8.47782846789396
52,BRN,4807,8.47782846789396
53,KHM,4807,8.47782846789396
54,CXR,4807,8.47782846789396
55,CCK,4807,8.47782846789396
56,COK,4807,8.47782846789396
57,FJI,4807,8.47782846789396
58,PYF,4807,8.47782846789396
59,GEO,4807,8.47782846789396
60,GUM,4807,8.47782846789396
61,HMD,4807,8.47782846789396
62,HKG,4807,8.47782846789396
63,KAZ,4807,8.47782846789396
64,KIR,4807,8.47782846789396
65,KGZ,4807,8.47782846789396
66,LAO,4807,8.47782846789396
67,MAC,4807,8.47782846789396
68,MYS,4807,8.47782846789396
69,MDV,4807,8.47782846789396
70,MHL,4807,8.47782846789396
71,FSM,4807,8.47782846789396
72,MNG,4807,8.47782846789396
73,MMR,4807,8.47782846789396
74,NRU,4807,8.47782846789396
75,NPL,4807,8.47782846789396
76,NCL,4807,8.47782846789396
77,NZL,4807,8.47782846789396
78,NIU,4807,8.47782846789396
79,NFK,4807,8.47782846789396
80,PRK,4807,8.47782846789396
81,MNP,4807,8.47782846789396
82,PAK,4807,8.47782846789396
83,PLW,4807,8.47782846789396
84,PNG,4807,8.47782846789396
85,PHL,4807,8.47782846789396
86,PCN,4807,8.47782846789396
87,WSM,4807,8.47782846789396
88,SGP,4807,8.47782846789396
89,SLB,4807,8.47782846789396
90,SGS,4807,8.47782846789396
91,LKA,4807,8.47782846789396
92,TJK,4807,8.47782846789396
93,THA,4807,8.47782846789396
94,TLS,4807,8.47782846789396
95,TKL,4807,8.47782846789396
96,TON,4807,8.47782846789396
97,TKM,4807,8.47782846789396
98,TUV,4807,8.47782846789396
99,UMI,4807,8.47782846789396
100,UZB,4807,8.47782846789396
101,VUT,4807,8.47782846789396
102,VNM,4807,8.47782846789396
103,WLF,4807,8.47782846789396
104,ALA,364,5.8971538676367405
105,ALB,364,5.8971538676367405
106,AND,364,5.8971538676367405
107,BLR,364,5.8971538676367405
108,BIH,364,5.8971538676367405
109,FRO,364,5.8971538676367405
110,GIB,364,5.8971538676367405
111,GGY,364,5.8971538676367405
112,ISL,364,5.8971538676367405
113,IMN,364,5.8971538676367405
114,JEY,364,5.8971538676367405
115,XKX,364,5.8971538676367405
116,LIE,364,5.8971538676367405
117,MKD,364,5.8971538676367405
118,MDA,364,5.8971538676367405
119,MCO,364,5.8971538676367405
120,MNE,364,5.8971538676367405
121,SMR,364,5.8971538676367405
