,country,emission,emission_log
0,AUT,655,6.484635235635252
1,AUS,447,6.102558594613569
2,BEL,1919,7.5595594960077
3,BGR,61,4.110873864173311
4,BRA,530,6.272877006546167
5,CAN,605,6.405228458030842
6,CHE,1672,7.421775793644647
7,CHN,1089,6.9930151229329605
8,CYP,46,3.828641396489095
9,CZE,201,5.303304908059076
10,DEU,7689,8.94754601503218
11,DNK,676,6.516193076042964
12,EST,27,3.295836866004329
13,ESP,405651,12.913248462999514
14,FIN,777,6.655440350367647
15,FRA,11221,9.325542301664866
16,GBR,5198,8.556029215201436
17,GRC,230,5.438079308923196
18,HRV,24,3.1780538303479458
19,HUN,197,5.2832037287379885
20,IDN,472,6.156978985585555
21,IRL,1053,6.959398512133975
22,IND,426,6.054439346269371
23,ITA,6359,8.757626411267408
24,JPN,1247,7.1284959456800365
25,KOR,786,6.666956792429207
26,LTU,20,2.995732273553991
27,LUX,250,5.521460917862246
28,LVA,15,2.70805020110221
29,MLT,20,2.995732273553991
30,MEX,550,6.309918278226516
31,NLD,2709,7.904334842085095
32,NOR,937,6.842683282238422
33,POL,349,5.855071922202427
34,PRT,1931,7.565793282428515
35,ROU,96,4.564348191467836
36,RUS,921,6.825460036255307
37,SWE,1304,7.1731917424865985
38,SVN,50,3.912023005428146
39,SVK,54,3.9889840465642745
40,TUR,606,6.406879986069314
41,TWN,865,6.762729506931879
42,USA,6049,8.707648248106914
43,AFG,4858,8.488382109562117
44,ASM,4858,8.488382109562117
45,ATA,4858,8.488382109562117
46,ARM,4858,8.488382109562117
47,AZE,4858,8.488382109562117
48,BGD,4858,8.488382109562117
49,BTN,4858,8.488382109562117
50,BVT,4858,8.488382109562117
51,IOT,4858,8.488382109562117
52,BRN,4858,8.488382109562117
53,KHM,4858,8.488382109562117
54,CXR,4858,8.488382109562117
55,CCK,4858,8.488382109562117
56,COK,4858,8.488382109562117
57,FJI,4858,8.488382109562117
58,PYF,4858,8.488382109562117
59,GEO,4858,8.488382109562117
60,GUM,4858,8.488382109562117
61,HMD,4858,8.488382109562117
62,HKG,4858,8.488382109562117
63,KAZ,4858,8.488382109562117
64,KIR,4858,8.488382109562117
65,KGZ,4858,8.488382109562117
66,LAO,4858,8.488382109562117
67,MAC,4858,8.488382109562117
68,MYS,4858,8.488382109562117
69,MDV,4858,8.488382109562117
70,MHL,4858,8.488382109562117
71,FSM,4858,8.488382109562117
72,MNG,4858,8.488382109562117
73,MMR,4858,8.488382109562117
74,NRU,4858,8.488382109562117
75,NPL,4858,8.488382109562117
76,NCL,4858,8.488382109562117
77,NZL,4858,8.488382109562117
78,NIU,4858,8.488382109562117
79,NFK,4858,8.488382109562117
80,PRK,4858,8.488382109562117
81,MNP,4858,8.488382109562117
82,PAK,4858,8.488382109562117
83,PLW,4858,8.488382109562117
84,PNG,4858,8.488382109562117
85,PHL,4858,8.488382109562117
86,PCN,4858,8.488382109562117
87,WSM,4858,8.488382109562117
88,SGP,4858,8.488382109562117
89,SLB,4858,8.488382109562117
90,SGS,4858,8.488382109562117
91,LKA,4858,8.488382109562117
92,TJK,4858,8.488382109562117
93,THA,4858,8.488382109562117
94,TLS,4858,8.488382109562117
95,TKL,4858,8.488382109562117
96,TON,4858,8.488382109562117
97,TKM,4858,8.488382109562117
98,TUV,4858,8.488382109562117
99,UMI,4858,8.488382109562117
100,UZB,4858,8.488382109562117
101,VUT,4858,8.488382109562117
102,VNM,4858,8.488382109562117
103,WLF,4858,8.488382109562117
104,ALA,262,5.568344503761097
105,ALB,262,5.568344503761097
106,AND,262,5.568344503761097
107,BLR,262,5.568344503761097
108,BIH,262,5.568344503761097
109,FRO,262,5.568344503761097
110,GIB,262,5.568344503761097
111,GGY,262,5.568344503761097
112,ISL,262,5.568344503761097
113,IMN,262,5.568344503761097
114,JEY,262,5.568344503761097
115,XKX,262,5.568344503761097
116,LIE,262,5.568344503761097
117,MKD,262,5.568344503761097
118,MDA,262,5.568344503761097
119,MCO,262,5.568344503761097
120,MNE,262,5.568344503761097
121,SMR,262,5.568344503761097
122,SRB,262,5.568344503761097
123,SJM,262,5.568344503761097
124,UKR,262,5.568344503761097
125,VAT,262,5.568344503761097
126,DZA,3278,8.094988759303774
127,AGO,3278,8.094988759303774
128,BEN,3278,8.094988759303774
129,BWA,3278,8.094988759303774
130,BFA,3278,8.094988759303774
131,BDI,3278,8.094988759303774
132,CPV,3278,8.094988759303774
133,CMR,3278,8.094988759303774
134,CAF,3278,8.094988759303774
135,TCD,3278,8.094988759303774
136,COM,3278,8.094988759303774
137,COG,3278,8.094988759303774
138,CIV,3278,8.094988759303774
139,DJI,3278,8.094988759303774
140,COD,3278,8.094988759303774
141,GNQ,3278,8.094988759303774
142,ERI,3278,8.094988759303774
143,SWZ,3278,8.094988759303774
144,ETH,3278,8.094988759303774
145,ATF,3278,8.094988759303774
146,GAB,3278,8.094988759303774
147,GMB,3278,8.094988759303774
148,GHA,3278,8.094988759303774
149,GIN,3278,8.094988759303774
150,GNB,3278,8.094988759303774
151,KEN,3278,8.094988759303774
152,LSO,3278,8.094988759303774
153,LBR,3278,8.094988759303774
154,LBY,3278,8.094988759303774
155,MDG,3278,8.094988759303774
156,MWI,3278,8.094988759303774
157,MLI,3278,8.094988759303774
158,MRT,3278,8.094988759303774
159,MUS,3278,8.094988759303774
160,MYT,3278,8.094988759303774
161,MAR,3278,8.094988759303774
162,MOZ,3278,8.094988759303774
163,NAM,3278,8.094988759303774
164,NER,3278,8.094988759303774
165,NGA,3278,8.094988759303774
166,REU,3278,8.094988759303774
167,RWA,3278,8.094988759303774
168,STP,3278,8.094988759303774
169,SEN,3278,8.094988759303774
170,SYC,3278,8.094988759303774
171,SLE,3278,8.094988759303774
172,SOM,3278,8.094988759303774
173,SSD,3278,8.094988759303774
174,SHN,3278,8.094988759303774
175,SDN,3278,8.094988759303774
176,TZA,3278,8.094988759303774
177,TGO,3278,8.094988759303774
178,TUN,3278,8.094988759303774
179,UGA,3278,8.094988759303774
180,ESH,3278,8.094988759303774
181,ZMB,3278,8.094988759303774
182,ZWE,3278,8.094988759303774
183,AIA,2706,7.903226808730733
184,ATG,2706,7.903226808730733
185,ARG,2706,7.903226808730733
186,ABW,2706,7.903226808730733
187,BHS,2706,7.903226808730733
188,BRB,2706,7.903226808730733
189,BLZ,2706,7.903226808730733
190,BMU,2706,7.903226808730733
191,BOL,2706,7.903226808730733
192,BES,2706,7.903226808730733
193,VGB,2706,7.903226808730733
194,CYM,2706,7.903226808730733
195,CHL,2706,7.903226808730733
196,COL,2706,7.903226808730733
197,CRI,2706,7.903226808730733
198,CUB,2706,7.903226808730733
199,CUW,2706,7.903226808730733
200,DMA,2706,7.903226808730733
201,DOM,2706,7.903226808730733
202,ECU,2706,7.903226808730733
203,SLV,2706,7.903226808730733
204,FLK,2706,7.903226808730733
205,GUF,2706,7.903226808730733
206,GRL,2706,7.903226808730733
207,GRD,2706,7.903226808730733
208,GLP,2706,7.903226808730733
209,GTM,2706,7.903226808730733
210,GUY,2706,7.903226808730733
211,HTI,2706,7.903226808730733
212,HND,2706,7.903226808730733
213,JAM,2706,7.903226808730733
214,MTQ,2706,7.903226808730733
215,MSR,2706,7.903226808730733
216,NIC,2706,7.903226808730733
217,PAN,2706,7.903226808730733
