,country,emission
0,AUT,190
1,AUS,238
2,BEL,427
3,BGR,14
4,BRA,78
5,CAN,158
6,CHE,460
7,CHN,230
8,CYP,37
9,CZE,77
10,DEU,1905
11,DNK,600
12,EST,210
13,ESP,262
14,FIN,85487
15,FRA,713
16,GBR,1009
17,GRC,50
18,HRV,21
19,HUN,62
20,IDN,51
21,IRL,281
22,IND,61
23,ITA,548
24,JPN,543
25,KOR,109
26,LTU,13
27,LUX,72
28,LVA,17
29,MLT,18
30,MEX,29
31,NLD,754
32,NOR,703
33,POL,172
34,PRT,64
35,ROU,16
36,RUS,2047
37,SWE,2057
38,SVN,23
39,SVK,26
40,TUR,64
41,TWN,172
42,USA,1147
43,AFG,951
44,ASM,951
45,ATA,951
46,ARM,951
47,AZE,951
48,BGD,951
49,BTN,951
50,BVT,951
51,IOT,951
52,BRN,951
53,KHM,951
54,CXR,951
55,CCK,951
56,COK,951
57,FJI,951
58,PYF,951
59,GEO,951
60,GUM,951
61,HMD,951
62,HKG,951
63,KAZ,951
64,KIR,951
65,KGZ,951
66,LAO,951
67,MAC,951
68,MYS,951
69,MDV,951
70,MHL,951
71,FSM,951
72,MNG,951
73,MMR,951
74,NRU,951
75,NPL,951
76,NCL,951
77,NZL,951
78,NIU,951
79,NFK,951
80,PRK,951
81,MNP,951
82,PAK,951
83,PLW,951
84,PNG,951
85,PHL,951
86,PCN,951
87,WSM,951
88,SGP,951
89,SLB,951
90,SGS,951
91,LKA,951
92,TJK,951
93,THA,951
94,TLS,951
95,TKL,951
96,TON,951
97,TKM,951
98,TUV,951
99,UMI,951
100,UZB,951
101,VUT,951
102,VNM,951
103,WLF,951
104,ALA,61
105,ALB,61
106,AND,61
107,BLR,61
108,BIH,61
109,FRO,61
110,GIB,61
111,GGY,61
112,ISL,61
113,IMN,61
114,JEY,61
115,XKX,61
116,LIE,61
117,MKD,61
118,MDA,61
119,MCO,61
120,MNE,61
121,SMR,61
122,SRB,61
123,SJM,61
124,UKR,61
125,VAT,61
126,DZA,372
127,AGO,372
128,BEN,372
129,BWA,372
130,BFA,372
131,BDI,372
132,CPV,372
133,CMR,372
134,CAF,372
135,TCD,372
136,COM,372
137,COG,372
138,CIV,372
139,DJI,372
140,COD,372
141,GNQ,372
142,ERI,372
143,SWZ,372
144,ETH,372
145,ATF,372
146,GAB,372
147,GMB,372
148,GHA,372
149,GIN,372
150,GNB,372
151,KEN,372
152,LSO,372
153,LBR,372
154,LBY,372
155,MDG,372
156,MWI,372
157,MLI,372
158,MRT,372
159,MUS,372
160,MYT,372
161,MAR,372
162,MOZ,372
163,NAM,372
164,NER,372
165,NGA,372
166,REU,372
167,RWA,372
168,STP,372
169,SEN,372
170,SYC,372
171,SLE,372
172,SOM,372
173,SSD,372
174,SHN,372
175,SDN,372
176,TZA,372
177,TGO,372
178,TUN,372
179,UGA,372
180,ESH,372
181,ZMB,372
182,ZWE,372
183,AIA,231
184,ATG,231
185,ARG,231
186,ABW,231
187,BHS,231
188,BRB,231
189,BLZ,231
190,BMU,231
191,BOL,231
192,BES,231
193,VGB,231
194,CYM,231
195,CHL,231
196,COL,231
197,CRI,231
198,CUB,231
199,CUW,231
200,DMA,231
201,DOM,231
202,ECU,231
203,SLV,231
204,FLK,231
205,GUF,231
206,GRL,231
207,GRD,231
208,GLP,231
209,GTM,231
210,GUY,231
211,HTI,231
212,HND,231
213,JAM,231
214,MTQ,231
215,MSR,231
216,NIC,231
217,PAN,231
218,PRY,231
219,PER,231
220,PRI,231
221,MAF,231
222,SXM,231
223,BLM,231
224,KNA,231
225,LCA,231
226,SPM,231
227,VCT,231
228,SUR,231
229,TTO,231
230,TCA,231
231,VIR,231
232,URY,231
233,VEN,231
234,BHR,396
235,EGY,396
236,IRN,396
237,IRQ,396
238,ISR,396
239,JOR,396
240,KWT,396
241,LBN,396
242,OMN,396
243,PSE,396
244,QAT,396
245,SAU,396
246,SYR,396
247,ARE,396
248,YEM,396
249,ZAF,39
