,country,emission
0,AUT,367
1,AUS,2410
2,BEL,1210
3,BGR,37
4,BRA,639
5,CAN,1445
6,CHE,713
7,CHN,1850921
8,CYP,41
9,CZE,202
10,DEU,5104
11,DNK,532
12,EST,31
13,ESP,1521
14,FIN,464
15,FRA,3604
16,GBR,3332
17,GRC,444
18,HRV,36
19,HUN,503
20,IDN,1514
21,IRL,750
22,IND,1376
23,ITA,3078
24,JPN,16008
25,KOR,7395
26,LTU,22
27,LUX,22
28,LVA,10
29,MLT,29
30,MEX,1216
31,NLD,2254
32,NOR,309
33,POL,404
34,PRT,252
35,ROU,98
36,RUS,590
37,SWE,565
38,SVN,58
39,SVK,67
40,TUR,676
41,TWN,129
42,USA,27253
43,AFG,34346
44,ASM,34346
45,ATA,34346
46,ARM,34346
47,AZE,34346
48,BGD,34346
49,BTN,34346
50,BVT,34346
51,IOT,34346
52,BRN,34346
53,KHM,34346
54,CXR,34346
55,CCK,34346
56,COK,34346
57,FJI,34346
58,PYF,34346
59,GEO,34346
60,GUM,34346
61,HMD,34346
62,HKG,34346
63,KAZ,34346
64,KIR,34346
65,KGZ,34346
66,LAO,34346
67,MAC,34346
68,MYS,34346
69,MDV,34346
70,MHL,34346
71,FSM,34346
72,MNG,34346
73,MMR,34346
74,NRU,34346
75,NPL,34346
76,NCL,34346
77,NZL,34346
78,NIU,34346
79,NFK,34346
80,PRK,34346
81,MNP,34346
82,PAK,34346
83,PLW,34346
84,PNG,34346
85,PHL,34346
86,PCN,34346
87,WSM,34346
88,SGP,34346
89,SLB,34346
90,SGS,34346
91,LKA,34346
92,TJK,34346
93,THA,34346
94,TLS,34346
95,TKL,34346
96,TON,34346
97,TKM,34346
98,TUV,34346
99,UMI,34346
100,UZB,34346
101,VUT,34346
102,VNM,34346
103,WLF,34346
104,ALA,191
105,ALB,191
106,AND,191
107,BLR,191
108,BIH,191
109,FRO,191
110,GIB,191
111,GGY,191
112,ISL,191
113,IMN,191
114,JEY,191
115,XKX,191
116,LIE,191
117,MKD,191
118,MDA,191
119,MCO,191
120,MNE,191
121,SMR,191
122,SRB,191
123,SJM,191
124,UKR,191
125,VAT,191
126,DZA,1217
127,AGO,1217
128,BEN,1217
129,BWA,1217
130,BFA,1217
131,BDI,1217
132,CPV,1217
133,CMR,1217
134,CAF,1217
135,TCD,1217
136,COM,1217
137,COG,1217
138,CIV,1217
139,DJI,1217
140,COD,1217
141,GNQ,1217
142,ERI,1217
143,SWZ,1217
144,ETH,1217
145,ATF,1217
146,GAB,1217
147,GMB,1217
148,GHA,1217
149,GIN,1217
150,GNB,1217
151,KEN,1217
152,LSO,1217
153,LBR,1217
154,LBY,1217
155,MDG,1217
156,MWI,1217
157,MLI,1217
158,MRT,1217
159,MUS,1217
160,MYT,1217
161,MAR,1217
162,MOZ,1217
163,NAM,1217
164,NER,1217
165,NGA,1217
166,REU,1217
167,RWA,1217
168,STP,1217
169,SEN,1217
170,SYC,1217
171,SLE,1217
172,SOM,1217
173,SSD,1217
174,SHN,1217
175,SDN,1217
176,TZA,1217
177,TGO,1217
178,TUN,1217
179,UGA,1217
180,ESH,1217
181,ZMB,1217
182,ZWE,1217
183,AIA,2539
184,ATG,2539
185,ARG,2539
186,ABW,2539
187,BHS,2539
188,BRB,2539
189,BLZ,2539
190,BMU,2539
191,BOL,2539
192,BES,2539
193,VGB,2539
194,CYM,2539
195,CHL,2539
196,COL,2539
197,CRI,2539
198,CUB,2539
199,CUW,2539
200,DMA,2539
201,DOM,2539
202,ECU,2539
203,SLV,2539
204,FLK,2539
205,GUF,2539
206,GRL,2539
207,GRD,2539
208,GLP,2539
209,GTM,2539
210,GUY,2539
211,HTI,2539
212,HND,2539
213,JAM,2539
214,MTQ,2539
215,MSR,2539
216,NIC,2539
217,PAN,2539
218,PRY,2539
219,PER,2539
220,PRI,2539
221,MAF,2539
222,SXM,2539
223,BLM,2539
224,KNA,2539
225,LCA,2539
226,SPM,2539
227,VCT,2539
228,SUR,2539
229,TTO,2539
230,TCA,2539
231,VIR,2539
232,URY,2539
233,VEN,2539
234,BHR,3574
235,EGY,3574
236,IRN,3574
237,IRQ,3574
238,ISR,3574
239,JOR,3574
240,KWT,3574
241,LBN,3574
242,OMN,3574
243,PSE,3574
244,QAT,3574
245,SAU,3574
246,SYR,3574
247,ARE,3574
248,YEM,3574
249,ZAF,181
