,country,emission,emission_log
0,AUT,976,6.883462586413092
1,AUS,1935,7.5678626054638825
2,BEL,5119,8.540714386457584
3,BGR,81,4.394449154672439
4,BRA,922,6.826545223556594
5,CAN,3382,8.126222529458525
6,CHE,2842,7.952263308657046
7,CHN,5878,8.678971846978863
8,CYP,112,4.718498871295094
9,CZE,696,6.54534966033442
10,DEU,20873,9.946211736745907
11,DNK,1700,7.438383530044307
12,EST,43,3.7612001156935624
13,ESP,7847,8.967886572127473
14,FIN,1335,7.19668657083435
15,FRA,19743,9.89055427712423
16,GBR,1204159,14.00129195593244
17,GRC,1091,6.994849985833071
18,HRV,78,4.356708826689592
19,HUN,655,6.484635235635252
20,IDN,630,6.4457198193855785
21,IRL,11063,9.311361486034912
22,IND,1463,7.288244401020124
23,ITA,9328,9.140775908590273
24,JPN,5260,8.567886305731756
25,KOR,2221,7.7057128238944275
26,LTU,65,4.174387269895637
27,LUX,988,6.895682697747868
28,LVA,32,3.4657359027997265
29,MLT,88,4.477336814478207
30,MEX,1221,7.107425474110705
31,NLD,9375,9.14580185083861
32,NOR,1686,7.430114138561801
33,POL,1157,7.053585727193677
34,PRT,1291,7.1631723908466425
35,ROU,351,5.860786223465865
36,RUS,1009,6.9167150203536085
37,SWE,4142,8.328934041955529
38,SVN,138,4.927253685157205
39,SVK,147,4.990432586778736
40,TUR,1098,7.001245622069476
41,TWN,1342,7.201916317531627
42,USA,57551,10.960426790193678
43,AFG,8872,9.090655529030203
44,ASM,8872,9.090655529030203
45,ATA,8872,9.090655529030203
46,ARM,8872,9.090655529030203
47,AZE,8872,9.090655529030203
48,BGD,8872,9.090655529030203
49,BTN,8872,9.090655529030203
50,BVT,8872,9.090655529030203
51,IOT,8872,9.090655529030203
52,BRN,8872,9.090655529030203
53,KHM,8872,9.090655529030203
54,CXR,8872,9.090655529030203
55,CCK,8872,9.090655529030203
56,COK,8872,9.090655529030203
57,FJI,8872,9.090655529030203
58,PYF,8872,9.090655529030203
59,GEO,8872,9.090655529030203
60,GUM,8872,9.090655529030203
61,HMD,8872,9.090655529030203
62,HKG,8872,9.090655529030203
63,KAZ,8872,9.090655529030203
64,KIR,8872,9.090655529030203
65,KGZ,8872,9.090655529030203
66,LAO,8872,9.090655529030203
67,MAC,8872,9.090655529030203
68,MYS,8872,9.090655529030203
69,MDV,8872,9.090655529030203
70,MHL,8872,9.090655529030203
71,FSM,8872,9.090655529030203
72,MNG,8872,9.090655529030203
73,MMR,8872,9.090655529030203
74,NRU,8872,9.090655529030203
75,NPL,8872,9.090655529030203
76,NCL,8872,9.090655529030203
77,NZL,8872,9.090655529030203
78,NIU,8872,9.090655529030203
79,NFK,8872,9.090655529030203
80,PRK,8872,9.090655529030203
81,MNP,8872,9.090655529030203
82,PAK,8872,9.090655529030203
83,PLW,8872,9.090655529030203
84,PNG,8872,9.090655529030203
85,PHL,8872,9.090655529030203
86,PCN,8872,9.090655529030203
87,WSM,8872,9.090655529030203
88,SGP,8872,9.090655529030203
89,SLB,8872,9.090655529030203
90,SGS,8872,9.090655529030203
91,LKA,8872,9.090655529030203
92,TJK,8872,9.090655529030203
93,THA,8872,9.090655529030203
94,TLS,8872,9.090655529030203
95,TKL,8872,9.090655529030203
96,TON,8872,9.090655529030203
97,TKM,8872,9.090655529030203
98,TUV,8872,9.090655529030203
99,UMI,8872,9.090655529030203
100,UZB,8872,9.090655529030203
101,VUT,8872,9.090655529030203
102,VNM,8872,9.090655529030203
103,WLF,8872,9.090655529030203
104,ALA,782,6.661854740545311
105,ALB,782,6.661854740545311
106,AND,782,6.661854740545311
107,BLR,782,6.661854740545311
108,BIH,782,6.661854740545311
109,FRO,782,6.661854740545311
110,GIB,782,6.661854740545311
111,GGY,782,6.661854740545311
112,ISL,782,6.661854740545311
113,IMN,782,6.661854740545311
114,JEY,782,6.661854740545311
115,XKX,782,6.661854740545311
116,LIE,782,6.661854740545311
117,MKD,782,6.661854740545311
118,MDA,782,6.661854740545311
119,MCO,782,6.661854740545311
120,MNE,782,6.661854740545311
121,SMR,782,6.661854740545311
122,SRB,782,6.661854740545311
123,SJM,782,6.661854740545311
124,UKR,782,6.661854740545311
125,VAT,782,6.661854740545311
126,DZA,2708,7.903965634032166
127,AGO,2708,7.903965634032166
128,BEN,2708,7.903965634032166
129,BWA,2708,7.903965634032166
130,BFA,2708,7.903965634032166
131,BDI,2708,7.903965634032166
132,CPV,2708,7.903965634032166
133,CMR,2708,7.903965634032166
134,CAF,2708,7.903965634032166
135,TCD,2708,7.903965634032166
136,COM,2708,7.903965634032166
137,COG,2708,7.903965634032166
138,CIV,2708,7.903965634032166
139,DJI,2708,7.903965634032166
140,COD,2708,7.903965634032166
141,GNQ,2708,7.903965634032166
142,ERI,2708,7.903965634032166
143,SWZ,2708,7.903965634032166
144,ETH,2708,7.903965634032166
145,ATF,2708,7.903965634032166
146,GAB,2708,7.903965634032166
147,GMB,2708,7.903965634032166
148,GHA,2708,7.903965634032166
149,GIN,2708,7.903965634032166
150,GNB,2708,7.903965634032166
151,KEN,2708,7.903965634032166
152,LSO,2708,7.903965634032166
153,LBR,2708,7.903965634032166
154,LBY,2708,7.903965634032166
155,MDG,2708,7.903965634032166
156,MWI,2708,7.903965634032166
157,MLI,2708,7.903965634032166
158,MRT,2708,7.903965634032166
159,MUS,2708,7.903965634032166
160,MYT,2708,7.903965634032166
161,MAR,2708,7.903965634032166
162,MOZ,2708,7.903965634032166
163,NAM,2708,7.903965634032166
164,NER,2708,7.903965634032166
165,NGA,2708,7.903965634032166
166,REU,2708,7.903965634032166
167,RWA,2708,7.903965634032166
168,STP,2708,7.903965634032166
169,SEN,2708,7.903965634032166
170,SYC,2708,7.903965634032166
171,SLE,2708,7.903965634032166
172,SOM,2708,7.903965634032166
173,SSD,2708,7.903965634032166
174,SHN,2708,7.903965634032166
175,SDN,2708,7.903965634032166
176,TZA,2708,7.903965634032166
177,TGO,2708,7.903965634032166
178,TUN,2708,7.903965634032166
179,UGA,2708,7.903965634032166
180,ESH,2708,7.903965634032166
181,ZMB,2708,7.903965634032166
182,ZWE,2708,7.903965634032166
183,AIA,3368,8.122074375362217
184,ATG,3368,8.122074375362217
185,ARG,3368,8.122074375362217
186,ABW,3368,8.122074375362217
187,BHS,3368,8.122074375362217
188,BRB,3368,8.122074375362217
189,BLZ,3368,8.122074375362217
190,BMU,3368,8.122074375362217
191,BOL,3368,8.122074375362217
192,BES,3368,8.122074375362217
193,VGB,3368,8.122074375362217
194,CYM,3368,8.122074375362217
195,CHL,3368,8.122074375362217
196,COL,3368,8.122074375362217
197,CRI,3368,8.122074375362217
198,CUB,3368,8.122074375362217
199,CUW,3368,8.122074375362217
200,DMA,3368,8.122074375362217
201,DOM,3368,8.122074375362217
202,ECU,3368,8.122074375362217
203,SLV,3368,8.122074375362217
204,FLK,3368,8.122074375362217
205,GUF,3368,8.122074375362217
206,GRL,3368,8.122074375362217
207,GRD,3368,8.122074375362217
208,GLP,3368,8.122074375362217
209,GTM,3368,8.122074375362217
210,GUY,3368,8.122074375362217
211,HTI,3368,8.122074375362217
212,HND,3368,8.122074375362217
213,JAM,3368,8.122074375362217
214,MTQ,3368,8.122074375362217
215,MSR,3368,8.122074375362217
216,NIC,3368,8.122074375362217
217,PAN,3368,8.122074375362217
218,PRY,3368,8.122074375362217
219,PER,3368,8.122074375362217
220,PRI,3368,8.122074375362217
221,MAF,3368,8.122074375362217
222,SXM,3368,8.122074375362217
223,BLM,3368,8.122074375362217
224,KNA,3368,8.122074375362217
225,LCA,3368,8.122074375362217
226,SPM,3368,8.122074375362217
227,VCT,3368,8.122074375362217
228,SUR,3368,8.122074375362217
229,TTO,3368,8.122074375362217
230,TCA,3368,8.122074375362217
231,VIR,3368,8.122074375362217
232,URY,3368,8.122074375362217
233,VEN,3368,8.122074375362217
234,BHR,7654,8.942983665985647
235,EGY,7654,8.942983665985647
236,IRN,7654,8.942983665985647
237,IRQ,7654,8.942983665985647
238,ISR,7654,8.942983665985647
239,JOR,7654,8.942983665985647
240,KWT,7654,8.942983665985647
241,LBN,7654,8.942983665985647
242,OMN,7654,8.942983665985647
243,PSE,7654,8.942983665985647
244,QAT,7654,8.942983665985647
245,SAU,7654,8.942983665985647
246,SYR,7654,8.942983665985647
247,ARE,7654,8.942983665985647
248,YEM,7654,8.942983665985647
249,ZAF,699,6.54965074223381
