,country,emission
0,AUT,243
1,AUS,1369
2,BEL,448
3,BGR,23
4,BRA,870
5,CAN,996
6,CHE,443
7,CHN,21538
8,CYP,13
9,CZE,80
10,DEU,2641
11,DNK,277
12,EST,6
13,ESP,1281
14,FIN,239
15,FRA,1704
16,GBR,1498
17,GRC,295
18,HRV,25
19,HUN,281
20,IDN,1630
21,IRL,866
22,IND,825
23,ITA,1836
24,JPN,8106
25,KOR,556779
26,LTU,11
27,LUX,23
28,LVA,4
29,MLT,27
30,MEX,1665
31,NLD,918
32,NOR,166
33,POL,261
34,PRT,166
35,ROU,90
36,RUS,485
37,SWE,384
38,SVN,38
39,SVK,31
40,TUR,462
41,TWN,10431
42,USA,16535
43,AFG,13820
44,ASM,13820
45,ATA,13820
46,ARM,13820
47,AZE,13820
48,BGD,13820
49,BTN,13820
50,BVT,13820
51,IOT,13820
52,BRN,13820
53,KHM,13820
54,CXR,13820
55,CCK,13820
56,COK,13820
57,FJI,13820
58,PYF,13820
59,GEO,13820
60,GUM,13820
61,HMD,13820
62,HKG,13820
63,KAZ,13820
64,KIR,13820
65,KGZ,13820
66,LAO,13820
67,MAC,13820
68,MYS,13820
69,MDV,13820
70,MHL,13820
71,FSM,13820
72,MNG,13820
73,MMR,13820
74,NRU,13820
75,NPL,13820
76,NCL,13820
77,NZL,13820
78,NIU,13820
79,NFK,13820
80,PRK,13820
81,MNP,13820
82,PAK,13820
83,PLW,13820
84,PNG,13820
85,PHL,13820
86,PCN,13820
87,WSM,13820
88,SGP,13820
89,SLB,13820
90,SGS,13820
91,LKA,13820
92,TJK,13820
93,THA,13820
94,TLS,13820
95,TKL,13820
96,TON,13820
97,TKM,13820
98,TUV,13820
99,UMI,13820
100,UZB,13820
101,VUT,13820
102,VNM,13820
103,WLF,13820
104,ALA,84
105,ALB,84
106,AND,84
107,BLR,84
108,BIH,84
109,FRO,84
110,GIB,84
111,GGY,84
112,ISL,84
113,IMN,84
114,JEY,84
115,XKX,84
116,LIE,84
117,MKD,84
118,MDA,84
119,MCO,84
120,MNE,84
121,SMR,84
122,SRB,84
123,SJM,84
124,UKR,84
125,VAT,84
126,DZA,1010
127,AGO,1010
128,BEN,1010
129,BWA,1010
130,BFA,1010
131,BDI,1010
132,CPV,1010
133,CMR,1010
134,CAF,1010
135,TCD,1010
136,COM,1010
137,COG,1010
138,CIV,1010
139,DJI,1010
140,COD,1010
141,GNQ,1010
142,ERI,1010
143,SWZ,1010
144,ETH,1010
145,ATF,1010
146,GAB,1010
147,GMB,1010
148,GHA,1010
149,GIN,1010
150,GNB,1010
151,KEN,1010
152,LSO,1010
153,LBR,1010
154,LBY,1010
155,MDG,1010
156,MWI,1010
157,MLI,1010
158,MRT,1010
159,MUS,1010
160,MYT,1010
161,MAR,1010
162,MOZ,1010
163,NAM,1010
164,NER,1010
165,NGA,1010
166,REU,1010
167,RWA,1010
168,STP,1010
169,SEN,1010
170,SYC,1010
171,SLE,1010
172,SOM,1010
173,SSD,1010
174,SHN,1010
175,SDN,1010
176,TZA,1010
177,TGO,1010
178,TUN,1010
179,UGA,1010
180,ESH,1010
181,ZMB,1010
182,ZWE,1010
183,AIA,4080
184,ATG,4080
185,ARG,4080
186,ABW,4080
187,BHS,4080
188,BRB,4080
189,BLZ,4080
190,BMU,4080
191,BOL,4080
192,BES,4080
193,VGB,4080
194,CYM,4080
195,CHL,4080
196,COL,4080
197,CRI,4080
198,CUB,4080
199,CUW,4080
200,DMA,4080
201,DOM,4080
202,ECU,4080
203,SLV,4080
204,FLK,4080
205,GUF,4080
206,GRL,4080
207,GRD,4080
208,GLP,4080
209,GTM,4080
210,GUY,4080
211,HTI,4080
212,HND,4080
213,JAM,4080
214,MTQ,4080
215,MSR,4080
216,NIC,4080
217,PAN,4080
218,PRY,4080
219,PER,4080
220,PRI,4080
221,MAF,4080
222,SXM,4080
223,BLM,4080
224,KNA,4080
225,LCA,4080
226,SPM,4080
227,VCT,4080
228,SUR,4080
229,TTO,4080
230,TCA,4080
231,VIR,4080
232,URY,4080
233,VEN,4080
234,BHR,4508
235,EGY,4508
236,IRN,4508
237,IRQ,4508
238,ISR,4508
239,JOR,4508
240,KWT,4508
241,LBN,4508
242,OMN,4508
243,PSE,4508
244,QAT,4508
245,SAU,4508
246,SYR,4508
247,ARE,4508
248,YEM,4508
249,ZAF,51
