,country,emission,emission_log
0,AUT,1204,7.093404625868766
1,AUS,824,6.714170529909472
2,BEL,9070,9.112727543109182
3,BGR,76,4.330733340286331
4,BRA,725,6.586171654854675
5,CAN,1391,7.237778191923443
6,CHE,2967,7.995306620290822
7,CHN,3266,8.09132127353041
8,CYP,39,3.6635616461296463
9,CZE,445,6.09807428216624
10,DEU,19147,9.859901324373205
11,DNK,1548,7.344719054149673
12,EST,50,3.912023005428146
13,ESP,4330,8.373322820996535
14,FIN,818,6.706862336602747
15,FRA,10075,9.217812386814884
16,GBR,7500,8.922658299524402
17,GRC,858,6.754604099487962
18,HRV,101,4.61512051684126
19,HUN,472,6.156978985585555
20,IDN,547,6.304448802421981
21,IRL,2363,7.767687277186908
22,IND,611,6.415096959171596
23,ITA,6739,8.815666824946216
24,JPN,3984,8.290041618704489
25,KOR,1503,7.315218389752975
26,LTU,53,3.970291913552122
27,LUX,965,6.872128101338986
28,LVA,47,3.8501476017100584
29,MLT,38,3.6375861597263857
30,MEX,792,6.674561391814426
31,NLD,288493,12.572426101204387
32,NOR,813,6.70073110954781
33,POL,1150,7.047517221357296
34,PRT,751,6.621405651764134
35,ROU,209,5.342334251964811
36,RUS,984,6.891625897052253
37,SWE,2743,7.916807490937603
38,SVN,124,4.820281565605037
39,SVK,154,5.0369526024136295
40,TUR,593,6.385194398997726
41,TWN,471,6.154858094016418
42,USA,17353,9.761520681090504
43,AFG,2565,7.84971375760487
44,ASM,2565,7.84971375760487
45,ATA,2565,7.84971375760487
46,ARM,2565,7.84971375760487
47,AZE,2565,7.84971375760487
48,BGD,2565,7.84971375760487
49,BTN,2565,7.84971375760487
50,BVT,2565,7.84971375760487
51,IOT,2565,7.84971375760487
52,BRN,2565,7.84971375760487
53,KHM,2565,7.84971375760487
54,CXR,2565,7.84971375760487
55,CCK,2565,7.84971375760487
56,COK,2565,7.84971375760487
57,FJI,2565,7.84971375760487
58,PYF,2565,7.84971375760487
59,GEO,2565,7.84971375760487
60,GUM,2565,7.84971375760487
61,HMD,2565,7.84971375760487
62,HKG,2565,7.84971375760487
63,KAZ,2565,7.84971375760487
64,KIR,2565,7.84971375760487
65,KGZ,2565,7.84971375760487
66,LAO,2565,7.84971375760487
67,MAC,2565,7.84971375760487
68,MYS,2565,7.84971375760487
69,MDV,2565,7.84971375760487
70,MHL,2565,7.84971375760487
71,FSM,2565,7.84971375760487
72,MNG,2565,7.84971375760487
