,country,emission
0,AUT,288
1,AUS,153
2,BEL,527
3,BGR,159
4,BRA,109
5,CAN,276
6,CHE,276
7,CHN,998
8,CYP,121
9,CZE,120
10,DEU,2368
11,DNK,302
12,EST,11
13,ESP,958
14,FIN,105
15,FRA,1719
16,GBR,800
17,GRC,667
18,HRV,34
19,HUN,196
20,IDN,156
21,IRL,270
22,IND,240
23,ITA,2337
24,JPN,231
25,KOR,236
26,LTU,22
27,LUX,45
28,LVA,13
29,MLT,24
30,MEX,191
31,NLD,699
32,NOR,109
33,POL,278
34,PRT,309
35,ROU,376
36,RUS,749
37,SWE,244
38,SVN,68
39,SVK,62
40,TUR,150696
41,TWN,284
42,USA,2413
43,AFG,1385
44,ASM,1385
45,ATA,1385
46,ARM,1385
47,AZE,1385
48,BGD,1385
49,BTN,1385
50,BVT,1385
51,IOT,1385
52,BRN,1385
53,KHM,1385
54,CXR,1385
55,CCK,1385
56,COK,1385
57,FJI,1385
58,PYF,1385
59,GEO,1385
60,GUM,1385
61,HMD,1385
62,HKG,1385
63,KAZ,1385
64,KIR,1385
65,KGZ,1385
66,LAO,1385
67,MAC,1385
68,MYS,1385
69,MDV,1385
70,MHL,1385
71,FSM,1385
72,MNG,1385
73,MMR,1385
74,NRU,1385
75,NPL,1385
76,NCL,1385
77,NZL,1385
78,NIU,1385
79,NFK,1385
80,PRK,1385
81,MNP,1385
82,PAK,1385
83,PLW,1385
84,PNG,1385
85,PHL,1385
86,PCN,1385
87,WSM,1385
88,SGP,1385
89,SLB,1385
90,SGS,1385
91,LKA,1385
92,TJK,1385
93,THA,1385
94,TLS,1385
95,TKL,1385
96,TON,1385
97,TKM,1385
98,TUV,1385
99,UMI,1385
100,UZB,1385
101,VUT,1385
102,VNM,1385
103,WLF,1385
104,ALA,224
105,ALB,224
106,AND,224
107,BLR,224
108,BIH,224
109,FRO,224
110,GIB,224
111,GGY,224
112,ISL,224
113,IMN,224
114,JEY,224
115,XKX,224
116,LIE,224
117,MKD,224
118,MDA,224
119,MCO,224
120,MNE,224
121,SMR,224
122,SRB,224
123,SJM,224
124,UKR,224
125,VAT,224
126,DZA,819
127,AGO,819
128,BEN,819
129,BWA,819
130,BFA,819
131,BDI,819
132,CPV,819
133,CMR,819
134,CAF,819
135,TCD,819
136,COM,819
137,COG,819
138,CIV,819
139,DJI,819
140,COD,819
141,GNQ,819
142,ERI,819
143,SWZ,819
144,ETH,819
145,ATF,819
146,GAB,819
147,GMB,819
148,GHA,819
149,GIN,819
150,GNB,819
151,KEN,819
152,LSO,819
153,LBR,819
154,LBY,819
155,MDG,819
156,MWI,819
157,MLI,819
158,MRT,819
159,MUS,819
160,MYT,819
161,MAR,819
162,MOZ,819
163,NAM,819
164,NER,819
165,NGA,819
166,REU,819
167,RWA,819
168,STP,819
169,SEN,819
170,SYC,819
171,SLE,819
172,SOM,819
173,SSD,819
174,SHN,819
175,SDN,819
176,TZA,819
177,TGO,819
178,TUN,819
179,UGA,819
180,ESH,819
181,ZMB,819
182,ZWE,819
183,AIA,561
184,ATG,561
185,ARG,561
186,ABW,561
187,BHS,561
188,BRB,561
189,BLZ,561
190,BMU,561
191,BOL,561
192,BES,561
193,VGB,561
194,CYM,561
195,CHL,561
196,COL,561
197,CRI,561
198,CUB,561
199,CUW,561
200,DMA,561
201,DOM,561
202,ECU,561
203,SLV,561
204,FLK,561
205,GUF,561
206,GRL,561
207,GRD,561
208,GLP,561
209,GTM,561
210,GUY,561
211,HTI,561
212,HND,561
213,JAM,561
214,MTQ,561
215,MSR,561
216,NIC,561
217,PAN,561
218,PRY,561
219,PER,561
220,PRI,561
221,MAF,561
222,SXM,561
223,BLM,561
224,KNA,561
225,LCA,561
226,SPM,561
227,VCT,561
228,SUR,561
229,TTO,561
230,TCA,561
231,VIR,561
232,URY,561
233,VEN,561
234,BHR,3597
235,EGY,3597
236,IRN,3597
237,IRQ,3597
238,ISR,3597
239,JOR,3597
240,KWT,3597
241,LBN,3597
242,OMN,3597
243,PSE,3597
244,QAT,3597
245,SAU,3597
246,SYR,3597
247,ARE,3597
248,YEM,3597
249,ZAF,63
