,country,emission,emission_log
0,AUT,372,5.918893854273146
1,AUS,468,6.148468295917647
2,BEL,1289,7.161622002939187
3,BGR,58,4.060443010546419
4,BRA,9576,9.16701524723781
5,CAN,2635,7.876638460975463
6,CHE,1447,7.277247726631484
7,CHN,6110,8.71768205216564
8,CYP,49,3.8918202981106265
9,CZE,229,5.43372200355424
10,DEU,4061,8.309184527686298
11,DNK,1040,6.946975992135418
12,EST,17,2.833213344056216
13,ESP,4020,8.299037181613066
14,FIN,308,5.730099782973574
15,FRA,5173,8.551208070003515
16,GBR,4740,8.463792414689122
17,GRC,531,6.274762021241939
18,HRV,81,4.394449154672439
19,HUN,124,4.820281565605037
20,IDN,388,5.961005339623274
21,IRL,860,6.756932389247553
22,IND,961,6.8679744089702925
23,ITA,5164,8.549466751966532
24,JPN,4210,8.345217926676428
25,KOR,2405,7.785305182539862
26,LTU,23,3.1354942159291497
27,LUX,159,5.0689042022202315
28,LVA,15,2.70805020110221
29,MLT,14,2.6390573296152584
30,MEX,5008,8.518791912779934
31,NLD,4071,8.31164394850298
32,NOR,530,6.272877006546167
33,POL,316,5.755742213586912
34,PRT,750,6.620073206530356
35,ROU,134,4.897839799950911
36,RUS,1352,7.20934025660291
37,SWE,750,6.620073206530356
38,SVN,73,4.290459441148391
39,SVK,54,3.9889840465642745
40,TUR,476,6.16541785423142
41,TWN,2077,7.638679823876112
42,USA,67070,11.113492129093784
43,AFG,4057,8.308199063206446
44,ASM,4057,8.308199063206446
45,ATA,4057,8.308199063206446
46,ARM,4057,8.308199063206446
47,AZE,4057,8.308199063206446
48,BGD,4057,8.308199063206446
49,BTN,4057,8.308199063206446
50,BVT,4057,8.308199063206446
51,IOT,4057,8.308199063206446
52,BRN,4057,8.308199063206446
53,KHM,4057,8.308199063206446
54,CXR,4057,8.308199063206446
55,CCK,4057,8.308199063206446
56,COK,4057,8.308199063206446
57,FJI,4057,8.308199063206446
58,PYF,4057,8.308199063206446
59,GEO,4057,8.308199063206446
60,GUM,4057,8.308199063206446
61,HMD,4057,8.308199063206446
62,HKG,4057,8.308199063206446
63,KAZ,4057,8.308199063206446
64,KIR,4057,8.308199063206446
65,KGZ,4057,8.308199063206446
66,LAO,4057,8.308199063206446
67,MAC,4057,8.308199063206446
68,MYS,4057,8.308199063206446
69,MDV,4057,8.308199063206446
70,MHL,4057,8.308199063206446
71,FSM,4057,8.308199063206446
72,MNG,4057,8.308199063206446
73,MMR,4057,8.308199063206446
74,NRU,4057,8.308199063206446
75,NPL,4057,8.308199063206446
76,NCL,4057,8.308199063206446
77,NZL,4057,8.308199063206446
78,NIU,4057,8.308199063206446
79,NFK,4057,8.308199063206446
80,PRK,4057,8.308199063206446
81,MNP,4057,8.308199063206446
82,PAK,4057,8.308199063206446
83,PLW,4057,8.308199063206446
84,PNG,4057,8.308199063206446
85,PHL,4057,8.308199063206446
86,PCN,4057,8.308199063206446
87,WSM,4057,8.308199063206446
88,SGP,4057,8.308199063206446
89,SLB,4057,8.308199063206446
90,SGS,4057,8.308199063206446
91,LKA,4057,8.308199063206446
92,TJK,4057,8.308199063206446
93,THA,4057,8.308199063206446
94,TLS,4057,8.308199063206446
95,TKL,4057,8.308199063206446
96,TON,4057,8.308199063206446
97,TKM,4057,8.308199063206446
98,TUV,4057,8.308199063206446
99,UMI,4057,8.308199063206446
100,UZB,4057,8.308199063206446
101,VUT,4057,8.308199063206446
102,VNM,4057,8.308199063206446
103,WLF,4057,8.308199063206446
104,ALA,272,5.605802066295998
105,ALB,272,5.605802066295998
106,AND,272,5.605802066295998
107,BLR,272,5.605802066295998
108,BIH,272,5.605802066295998
109,FRO,272,5.605802066295998
110,GIB,272,5.605802066295998
111,GGY,272,5.605802066295998
112,ISL,272,5.605802066295998
113,IMN,272,5.605802066295998
114,JEY,272,5.605802066295998
115,XKX,272,5.605802066295998
116,LIE,272,5.605802066295998
117,MKD,272,5.605802066295998
118,MDA,272,5.605802066295998
119,MCO,272,5.605802066295998
120,MNE,272,5.605802066295998
121,SMR,272,5.605802066295998
122,SRB,272,5.605802066295998
123,SJM,272,5.605802066295998
124,UKR,272,5.605802066295998
125,VAT,272,5.605802066295998
126,DZA,1183,7.075808863978387
127,AGO,1183,7.075808863978387
128,BEN,1183,7.075808863978387
129,BWA,1183,7.075808863978387
130,BFA,1183,7.075808863978387
131,BDI,1183,7.075808863978387
132,CPV,1183,7.075808863978387
133,CMR,1183,7.075808863978387
134,CAF,1183,7.075808863978387
135,TCD,1183,7.075808863978387
136,COM,1183,7.075808863978387
137,COG,1183,7.075808863978387
138,CIV,1183,7.075808863978387
139,DJI,1183,7.075808863978387
140,COD,1183,7.075808863978387
