,country,emission
0,AUT,283
1,AUS,363240
2,BEL,433
3,BGR,12
4,BRA,171
5,CAN,445
6,CHE,679
7,CHN,2388
8,CYP,38
9,CZE,59
10,DEU,1631
11,DNK,290
12,EST,11
13,ESP,481
14,FIN,305
15,FRA,1085
16,GBR,1935
17,GRC,136
18,HRV,37
19,HUN,59
20,IDN,1544
21,IRL,639
22,IND,424
23,ITA,1130
24,JPN,2959
25,KOR,1369
26,LTU,10
27,LUX,136
28,LVA,10
29,MLT,11
30,MEX,182
31,NLD,824
32,NOR,296
33,POL,86
34,PRT,122
35,ROU,18
36,RUS,139
37,SWE,585
38,SVN,32
39,SVK,21
40,TUR,153
41,TWN,1241
42,USA,7326
43,AFG,15061
44,ASM,15061
45,ATA,15061
46,ARM,15061
47,AZE,15061
48,BGD,15061
49,BTN,15061
50,BVT,15061
51,IOT,15061
52,BRN,15061
53,KHM,15061
54,CXR,15061
55,CCK,15061
56,COK,15061
57,FJI,15061
58,PYF,15061
59,GEO,15061
60,GUM,15061
61,HMD,15061
62,HKG,15061
63,KAZ,15061
64,KIR,15061
65,KGZ,15061
66,LAO,15061
67,MAC,15061
68,MYS,15061
69,MDV,15061
70,MHL,15061
71,FSM,15061
72,MNG,15061
73,MMR,15061
74,NRU,15061
75,NPL,15061
76,NCL,15061
77,NZL,15061
78,NIU,15061
79,NFK,15061
80,PRK,15061
81,MNP,15061
82,PAK,15061
83,PLW,15061
84,PNG,15061
85,PHL,15061
86,PCN,15061
87,WSM,15061
88,SGP,15061
89,SLB,15061
90,SGS,15061
91,LKA,15061
92,TJK,15061
93,THA,15061
94,TLS,15061
95,TKL,15061
96,TON,15061
97,TKM,15061
98,TUV,15061
99,UMI,15061
100,UZB,15061
101,VUT,15061
102,VNM,15061
103,WLF,15061
104,ALA,40
105,ALB,40
106,AND,40
107,BLR,40
108,BIH,40
109,FRO,40
110,GIB,40
111,GGY,40
112,ISL,40
113,IMN,40
114,JEY,40
115,XKX,40
116,LIE,40
117,MKD,40
118,MDA,40
119,MCO,40
120,MNE,40
121,SMR,40
122,SRB,40
123,SJM,40
124,UKR,40
125,VAT,40
126,DZA,360
127,AGO,360
128,BEN,360
129,BWA,360
130,BFA,360
131,BDI,360
132,CPV,360
133,CMR,360
134,CAF,360
135,TCD,360
136,COM,360
137,COG,360
138,CIV,360
139,DJI,360
140,COD,360
141,GNQ,360
142,ERI,360
143,SWZ,360
144,ETH,360
145,ATF,360
146,GAB,360
147,GMB,360
148,GHA,360
149,GIN,360
150,GNB,360
151,KEN,360
152,LSO,360
153,LBR,360
154,LBY,360
155,MDG,360
156,MWI,360
157,MLI,360
158,MRT,360
159,MUS,360
160,MYT,360
161,MAR,360
162,MOZ,360
163,NAM,360
164,NER,360
165,NGA,360
166,REU,360
167,RWA,360
168,STP,360
169,SEN,360
170,SYC,360
171,SLE,360
172,SOM,360
173,SSD,360
174,SHN,360
175,SDN,360
176,TZA,360
177,TGO,360
178,TUN,360
179,UGA,360
180,ESH,360
181,ZMB,360
182,ZWE,360
183,AIA,468
184,ATG,468
185,ARG,468
186,ABW,468
187,BHS,468
188,BRB,468
189,BLZ,468
190,BMU,468
191,BOL,468
192,BES,468
193,VGB,468
194,CYM,468
195,CHL,468
196,COL,468
197,CRI,468
198,CUB,468
199,CUW,468
200,DMA,468
201,DOM,468
202,ECU,468
203,SLV,468
204,FLK,468
205,GUF,468
206,GRL,468
207,GRD,468
208,GLP,468
209,GTM,468
210,GUY,468
211,HTI,468
212,HND,468
213,JAM,468
214,MTQ,468
215,MSR,468
216,NIC,468
217,PAN,468
218,PRY,468
219,PER,468
220,PRI,468
221,MAF,468
222,SXM,468
223,BLM,468
224,KNA,468
225,LCA,468
226,SPM,468
227,VCT,468
228,SUR,468
229,TTO,468
230,TCA,468
231,VIR,468
232,URY,468
233,VEN,468
234,BHR,2626
235,EGY,2626
236,IRN,2626
237,IRQ,2626
238,ISR,2626
239,JOR,2626
240,KWT,2626
241,LBN,2626
242,OMN,2626
243,PSE,2626
244,QAT,2626
245,SAU,2626
246,SYR,2626
247,ARE,2626
248,YEM,2626
249,ZAF,274
