,country,emission,emission_log
0,AUT,15,2.70805020110221
1,AUS,11,2.3978952727983707
2,BEL,22,3.091042453358316
3,BGR,3,1.0986122886681098
4,BRA,8,2.0794415416798357
5,CAN,17,2.833213344056216
6,CHE,17,2.833213344056216
7,CHN,76,4.330733340286331
8,CYP,1,0.0
9,CZE,9,2.1972245773362196
10,DEU,113,4.727387818712341
11,DNK,61,4.110873864173311
12,EST,6101,8.716207971151853
13,ESP,29,3.367295829986474
14,FIN,296,5.69035945432406
15,FRA,49,3.8918202981106265
16,GBR,76,4.330733340286331
17,GRC,16,2.772588722239781
18,HRV,4,1.3862943611198906
19,HUN,31,3.4339872044851463
20,IDN,7,1.9459101490553132
21,IRL,17,2.833213344056216
22,IND,22,3.091042453358316
23,ITA,37,3.6109179126442243
24,JPN,27,3.295836866004329
25,KOR,22,3.091042453358316
26,LTU,22,3.091042453358316
27,LUX,1,0.0
28,LVA,41,3.713572066704308
29,MLT,2,0.6931471805599453
30,MEX,17,2.833213344056216
31,NLD,34,3.5263605246161616
32,NOR,62,4.127134385045092
33,POL,27,3.295836866004329
34,PRT,12,2.4849066497880004
35,ROU,10,2.302585092994046
36,RUS,84,4.430816798843313
37,SWE,223,5.407171771460119
38,SVN,4,1.3862943611198906
39,SVK,5,1.6094379124341003
40,TUR,16,2.772588722239781
41,TWN,35,3.5553480614894135
42,USA,82,4.406719247264253
43,AFG,45,3.8066624897703196
44,ASM,45,3.8066624897703196
45,ATA,45,3.8066624897703196
46,ARM,45,3.8066624897703196
47,AZE,45,3.8066624897703196
48,BGD,45,3.8066624897703196
49,BTN,45,3.8066624897703196
50,BVT,45,3.8066624897703196
51,IOT,45,3.8066624897703196
52,BRN,45,3.8066624897703196
53,KHM,45,3.8066624897703196
54,CXR,45,3.8066624897703196
55,CCK,45,3.8066624897703196
56,COK,45,3.8066624897703196
57,FJI,45,3.8066624897703196
58,PYF,45,3.8066624897703196
59,GEO,45,3.8066624897703196
60,GUM,45,3.8066624897703196
61,HMD,45,3.8066624897703196
62,HKG,45,3.8066624897703196
63,KAZ,45,3.8066624897703196
64,KIR,45,3.8066624897703196
65,KGZ,45,3.8066624897703196
66,LAO,45,3.8066624897703196
67,MAC,45,3.8066624897703196
68,MYS,45,3.8066624897703196
69,MDV,45,3.8066624897703196
70,MHL,45,3.8066624897703196
71,FSM,45,3.8066624897703196
72,MNG,45,3.8066624897703196
73,MMR,45,3.8066624897703196
74,NRU,45,3.8066624897703196
75,NPL,45,3.8066624897703196
76,NCL,45,3.8066624897703196
77,NZL,45,3.8066624897703196
78,NIU,45,3.8066624897703196
79,NFK,45,3.8066624897703196
80,PRK,45,3.8066624897703196
81,MNP,45,3.8066624897703196
82,PAK,45,3.8066624897703196
83,PLW,45,3.8066624897703196
84,PNG,45,3.8066624897703196
85,PHL,45,3.8066624897703196
86,PCN,45,3.8066624897703196
87,WSM,45,3.8066624897703196
88,SGP,45,3.8066624897703196
89,SLB,45,3.8066624897703196
90,SGS,45,3.8066624897703196
91,LKA,45,3.8066624897703196
92,TJK,45,3.8066624897703196
93,THA,45,3.8066624897703196
94,TLS,45,3.8066624897703196
95,TKL,45,3.8066624897703196
96,TON,45,3.8066624897703196
97,TKM,45,3.8066624897703196
98,TUV,45,3.8066624897703196
99,UMI,45,3.8066624897703196
100,UZB,45,3.8066624897703196
101,VUT,45,3.8066624897703196
102,VNM,45,3.8066624897703196
103,WLF,45,3.8066624897703196
104,ALA,27,3.295836866004329
105,ALB,27,3.295836866004329
106,AND,27,3.295836866004329
107,BLR,27,3.295836866004329
108,BIH,27,3.295836866004329
109,FRO,27,3.295836866004329
110,GIB,27,3.295836866004329
111,GGY,27,3.295836866004329
112,ISL,27,3.295836866004329
113,IMN,27,3.295836866004329
114,JEY,27,3.295836866004329
115,XKX,27,3.295836866004329
116,LIE,27,3.295836866004329
117,MKD,27,3.295836866004329
118,MDA,27,3.295836866004329
119,MCO,27,3.295836866004329
120,MNE,27,3.295836866004329
121,SMR,27,3.295836866004329
122,SRB,27,3.295836866004329
123,SJM,27,3.295836866004329
124,UKR,27,3.295836866004329
125,VAT,27,3.295836866004329
126,DZA,13,2.5649493574615367
127,AGO,13,2.5649493574615367
128,BEN,13,2.5649493574615367
129,BWA,13,2.5649493574615367
130,BFA,13,2.5649493574615367
131,BDI,13,2.5649493574615367
132,CPV,13,2.5649493574615367
133,CMR,13,2.5649493574615367
134,CAF,13,2.5649493574615367
135,TCD,13,2.5649493574615367
136,COM,13,2.5649493574615367
137,COG,13,2.5649493574615367
138,CIV,13,2.5649493574615367
139,DJI,13,2.5649493574615367
140,COD,13,2.5649493574615367
141,GNQ,13,2.5649493574615367
142,ERI,13,2.5649493574615367
143,SWZ,13,2.5649493574615367
144,ETH,13,2.5649493574615367
145,ATF,13,2.5649493574615367
146,GAB,13,2.5649493574615367
147,GMB,13,2.5649493574615367
148,GHA,13,2.5649493574615367
149,GIN,13,2.5649493574615367
150,GNB,13,2.5649493574615367
151,KEN,13,2.5649493574615367
152,LSO,13,2.5649493574615367
153,LBR,13,2.5649493574615367
154,LBY,13,2.5649493574615367
155,MDG,13,2.5649493574615367
156,MWI,13,2.5649493574615367
157,MLI,13,2.5649493574615367
158,MRT,13,2.5649493574615367
159,MUS,13,2.5649493574615367
160,MYT,13,2.5649493574615367
161,MAR,13,2.5649493574615367
162,MOZ,13,2.5649493574615367
163,NAM,13,2.5649493574615367
164,NER,13,2.5649493574615367
165,NGA,13,2.5649493574615367
166,REU,13,2.5649493574615367
167,RWA,13,2.5649493574615367
168,STP,13,2.5649493574615367
169,SEN,13,2.5649493574615367
170,SYC,13,2.5649493574615367
171,SLE,13,2.5649493574615367
172,SOM,13,2.5649493574615367
173,SSD,13,2.5649493574615367
174,SHN,13,2.5649493574615367
175,SDN,13,2.5649493574615367
176,TZA,13,2.5649493574615367
177,TGO,13,2.5649493574615367
178,TUN,13,2.5649493574615367
179,UGA,13,2.5649493574615367
180,ESH,13,2.5649493574615367
181,ZMB,13,2.5649493574615367
182,ZWE,13,2.5649493574615367
183,AIA,33,3.4965075614664802
