,country,emission,emission_log
0,AUT,1227,7.112327444710911
1,AUS,7486,8.920789888464375
2,BEL,6814,8.826734598220911
3,BGR,132,4.882801922586371
4,BRA,7964,8.982686665184087
5,CAN,63550,11.0595822766176
6,CHE,6179,8.72891172506098
7,CHN,34658,10.45328385820019
8,CYP,44,3.784189633918261
9,CZE,566,6.338594078203183
10,DEU,40092,10.598932092144757
11,DNK,1005,6.912742820493176
12,EST,64,4.1588830833596715
13,ESP,6121,8.71948076085107
14,FIN,1247,7.1284959456800365
15,FRA,20116,9.909270797291855
16,GBR,24600,10.110501721920453
17,GRC,832,6.723832440821209
18,HRV,105,4.653960350157523
19,HUN,853,6.748759547491679
20,IDN,1392,7.238496840894365
21,IRL,11266,9.329544619454659
22,IND,4123,8.3243363327069
23,ITA,11910,9.385133662349347
24,JPN,30364,10.321012975136659
25,KOR,15483,9.647497926816836
26,LTU,72,4.276666119016055
27,LUX,869,6.767343125265392
28,LVA,35,3.5553480614894135
29,MLT,104,4.6443908991413725
30,MEX,63125,11.05287216657766
31,NLD,15409,9.642707033281853
32,NOR,1119,7.020190708311925
33,POL,774,6.651571873589727
34,PRT,568,6.342121418721152
35,ROU,272,5.605802066295998
36,RUS,1314,7.1808311990445555
37,SWE,2606,7.8655717576847906
38,SVN,143,4.962844630259907
39,SVK,124,4.820281565605037
40,TUR,1986,7.593877844605118
41,TWN,8974,9.102086786535928
42,USA,7585562,15.841757261625775
43,AFG,17178,9.75138477432617
44,ASM,17178,9.75138477432617
45,ATA,17178,9.75138477432617
46,ARM,17178,9.75138477432617
47,AZE,17178,9.75138477432617
48,BGD,17178,9.75138477432617
49,BTN,17178,9.75138477432617
50,BVT,17178,9.75138477432617
51,IOT,17178,9.75138477432617
52,BRN,17178,9.75138477432617
53,KHM,17178,9.75138477432617
54,CXR,17178,9.75138477432617
55,CCK,17178,9.75138477432617
56,COK,17178,9.75138477432617
57,FJI,17178,9.75138477432617
58,PYF,17178,9.75138477432617
59,GEO,17178,9.75138477432617
60,GUM,17178,9.75138477432617
61,HMD,17178,9.75138477432617
62,HKG,17178,9.75138477432617
63,KAZ,17178,9.75138477432617
64,KIR,17178,9.75138477432617
65,KGZ,17178,9.75138477432617
66,LAO,17178,9.75138477432617
67,MAC,17178,9.75138477432617
68,MYS,17178,9.75138477432617
69,MDV,17178,9.75138477432617
70,MHL,17178,9.75138477432617
71,FSM,17178,9.75138477432617
72,MNG,17178,9.75138477432617
73,MMR,17178,9.75138477432617
74,NRU,17178,9.75138477432617
75,NPL,17178,9.75138477432617
76,NCL,17178,9.75138477432617
77,NZL,17178,9.75138477432617
78,NIU,17178,9.75138477432617
79,NFK,17178,9.75138477432617
80,PRK,17178,9.75138477432617
81,MNP,17178,9.75138477432617
82,PAK,17178,9.75138477432617
83,PLW,17178,9.75138477432617
84,PNG,17178,9.75138477432617
85,PHL,17178,9.75138477432617
86,PCN,17178,9.75138477432617
87,WSM,17178,9.75138477432617
88,SGP,17178,9.75138477432617
89,SLB,17178,9.75138477432617
90,SGS,17178,9.75138477432617
91,LKA,17178,9.75138477432617
92,TJK,17178,9.75138477432617
93,THA,17178,9.75138477432617
94,TLS,17178,9.75138477432617
95,TKL,17178,9.75138477432617
96,TON,17178,9.75138477432617
97,TKM,17178,9.75138477432617
98,TUV,17178,9.75138477432617
