,country,emission
0,AUT,15
1,AUS,9
2,BEL,22
3,BGR,3
4,BRA,4
5,CAN,7
6,CHE,24
7,CHN,45
8,CYP,5447
9,CZE,4
10,DEU,68
11,DNK,23
12,EST,1
13,ESP,36
14,FIN,10
15,FRA,49
16,GBR,87
17,GRC,138
18,HRV,4
19,HUN,6
20,IDN,4
21,IRL,17
22,IND,19
23,ITA,97
24,JPN,12
25,KOR,6
26,LTU,2
27,LUX,10
28,LVA,1
29,MLT,3
30,MEX,2
31,NLD,37
32,NOR,16
33,POL,11
34,PRT,8
35,ROU,8
36,RUS,1520
37,SWE,27
38,SVN,4
39,SVK,4
40,TUR,84
41,TWN,34
42,USA,44
43,AFG,87
44,ASM,87
45,ATA,87
46,ARM,87
47,AZE,87
48,BGD,87
49,BTN,87
50,BVT,87
51,IOT,87
52,BRN,87
53,KHM,87
54,CXR,87
55,CCK,87
56,COK,87
57,FJI,87
58,PYF,87
59,GEO,87
60,GUM,87
61,HMD,87
62,HKG,87
63,KAZ,87
64,KIR,87
65,KGZ,87
66,LAO,87
67,MAC,87
68,MYS,87
69,MDV,87
70,MHL,87
71,FSM,87
72,MNG,87
73,MMR,87
74,NRU,87
75,NPL,87
76,NCL,87
77,NZL,87
78,NIU,87
79,NFK,87
80,PRK,87
81,MNP,87
82,PAK,87
83,PLW,87
84,PNG,87
85,PHL,87
86,PCN,87
87,WSM,87
88,SGP,87
89,SLB,87
90,SGS,87
91,LKA,87
92,TJK,87
93,THA,87
94,TLS,87
95,TKL,87
96,TON,87
97,TKM,87
98,TUV,87
99,UMI,87
100,UZB,87
101,VUT,87
102,VNM,87
103,WLF,87
104,ALA,81
105,ALB,81
106,AND,81
107,BLR,81
108,BIH,81
109,FRO,81
110,GIB,81
111,GGY,81
112,ISL,81
113,IMN,81
114,JEY,81
115,XKX,81
116,LIE,81
117,MKD,81
118,MDA,81
119,MCO,81
120,MNE,81
121,SMR,81
122,SRB,81
123,SJM,81
124,UKR,81
125,VAT,81
126,DZA,28
127,AGO,28
128,BEN,28
129,BWA,28
130,BFA,28
131,BDI,28
132,CPV,28
133,CMR,28
134,CAF,28
135,TCD,28
136,COM,28
137,COG,28
138,CIV,28
139,DJI,28
140,COD,28
141,GNQ,28
142,ERI,28
143,SWZ,28
144,ETH,28
145,ATF,28
146,GAB,28
147,GMB,28
148,GHA,28
149,GIN,28
150,GNB,28
151,KEN,28
152,LSO,28
153,LBR,28
154,LBY,28
155,MDG,28
156,MWI,28
157,MLI,28
158,MRT,28
159,MUS,28
160,MYT,28
161,MAR,28
162,MOZ,28
163,NAM,28
164,NER,28
165,NGA,28
166,REU,28
167,RWA,28
168,STP,28
169,SEN,28
170,SYC,28
171,SLE,28
172,SOM,28
173,SSD,28
174,SHN,28
175,SDN,28
176,TZA,28
177,TGO,28
178,TUN,28
179,UGA,28
180,ESH,28
181,ZMB,28
182,ZWE,28
183,AIA,33
184,ATG,33
185,ARG,33
186,ABW,33
187,BHS,33
188,BRB,33
189,BLZ,33
190,BMU,33
191,BOL,33
192,BES,33
193,VGB,33
194,CYM,33
195,CHL,33
196,COL,33
197,CRI,33
198,CUB,33
199,CUW,33
200,DMA,33
201,DOM,33
202,ECU,33
203,SLV,33
204,FLK,33
205,GUF,33
206,GRL,33
207,GRD,33
208,GLP,33
209,GTM,33
210,GUY,33
211,HTI,33
212,HND,33
213,JAM,33
214,MTQ,33
215,MSR,33
216,NIC,33
217,PAN,33
218,PRY,33
219,PER,33
220,PRI,33
221,MAF,33
222,SXM,33
223,BLM,33
224,KNA,33
225,LCA,33
226,SPM,33
227,VCT,33
228,SUR,33
229,TTO,33
230,TCA,33
231,VIR,33
232,URY,33
233,VEN,33
234,BHR,295
235,EGY,295
236,IRN,295
237,IRQ,295
238,ISR,295
239,JOR,295
240,KWT,295
241,LBN,295
242,OMN,295
243,PSE,295
244,QAT,295
245,SAU,295
246,SYR,295
247,ARE,295
248,YEM,295
249,ZAF,3
