,country,emission,emission_log
0,AUT,1857,7.526717561352706
1,AUS,95,4.553876891600541
2,BEL,521,6.255750041753367
3,BGR,46,3.828641396489095
4,BRA,101,4.61512051684126
5,CAN,102,4.624972813284271
6,CHE,541,6.293419278846481
7,CHN,1383,7.232010331664759
8,CYP,26,3.258096538021482
9,CZE,943,6.849066282633458
10,DEU,6926,8.843037724962366
11,DNK,236,5.4638318050256105
12,EST,75,4.31748811353631
13,ESP,518,6.249975242259483
14,FIN,367,5.905361848054571
15,FRA,1509,7.319202458767849
16,GBR,1015,6.922643891475888
17,GRC,94,4.543294782270004
18,HRV,77,4.343805421853684
19,HUN,55488,10.923922060140214
20,IDN,93,4.532599493153256
21,IRL,242,5.488937726156687
22,IND,161,5.081404364984463
23,ITA,1649,7.407924322559599
24,JPN,810,6.697034247666484
25,KOR,436,6.077642243349034
26,LTU,23,3.1354942159291497
27,LUX,102,4.624972813284271
28,LVA,17,2.833213344056216
29,MLT,36,3.58351893845611
30,MEX,54,3.9889840465642745
31,NLD,749,6.618738983517219
32,NOR,118,4.770684624465665
33,POL,990,6.897704943128636
34,PRT,105,4.653960350157523
35,ROU,436,6.077642243349034
36,RUS,2557,7.846589975291186
37,SWE,461,6.133398042996649
38,SVN,197,5.2832037287379885
39,SVK,488,6.1903154058531475
40,TUR,201,5.303304908059076
41,TWN,655,6.484635235635252
42,USA,663,6.4967749901858625
43,AFG,1408,7.249925536717988
44,ASM,1408,7.249925536717988
45,ATA,1408,7.249925536717988
46,ARM,1408,7.249925536717988
47,AZE,1408,7.249925536717988
48,BGD,1408,7.249925536717988
49,BTN,1408,7.249925536717988
50,BVT,1408,7.249925536717988
51,IOT,1408,7.249925536717988
52,BRN,1408,7.249925536717988
53,KHM,1408,7.249925536717988
54,CXR,1408,7.249925536717988
55,CCK,1408,7.249925536717988
56,COK,1408,7.249925536717988
57,FJI,1408,7.249925536717988
58,PYF,1408,7.249925536717988
59,GEO,1408,7.249925536717988
60,GUM,1408,7.249925536717988
61,HMD,1408,7.249925536717988
62,HKG,1408,7.249925536717988
63,KAZ,1408,7.249925536717988
64,KIR,1408,7.249925536717988
65,KGZ,1408,7.249925536717988
66,LAO,1408,7.249925536717988
67,MAC,1408,7.249925536717988
68,MYS,1408,7.249925536717988
69,MDV,1408,7.249925536717988
70,MHL,1408,7.249925536717988
71,FSM,1408,7.249925536717988
72,MNG,1408,7.249925536717988
73,MMR,1408,7.249925536717988
74,NRU,1408,7.249925536717988
75,NPL,1408,7.249925536717988
76,NCL,1408,7.249925536717988
77,NZL,1408,7.249925536717988
78,NIU,1408,7.249925536717988
79,NFK,1408,7.249925536717988
80,PRK,1408,7.249925536717988
81,MNP,1408,7.249925536717988
82,PAK,1408,7.249925536717988
83,PLW,1408,7.249925536717988
84,PNG,1408,7.249925536717988
85,PHL,1408,7.249925536717988
86,PCN,1408,7.249925536717988
87,WSM,1408,7.249925536717988
88,SGP,1408,7.249925536717988
89,SLB,1408,7.249925536717988
90,SGS,1408,7.249925536717988
91,LKA,1408,7.249925536717988
92,TJK,1408,7.249925536717988
93,THA,1408,7.249925536717988
94,TLS,1408,7.249925536717988
95,TKL,1408,7.249925536717988
96,TON,1408,7.249925536717988
97,TKM,1408,7.249925536717988
98,TUV,1408,7.249925536717988
99,UMI,1408,7.249925536717988
100,UZB,1408,7.249925536717988
101,VUT,1408,7.249925536717988
102,VNM,1408,7.249925536717988
103,WLF,1408,7.249925536717988
104,ALA,890,6.7912214627261855
105,ALB,890,6.7912214627261855
106,AND,890,6.7912214627261855
107,BLR,890,6.7912214627261855
108,BIH,890,6.7912214627261855
109,FRO,890,6.7912214627261855
110,GIB,890,6.7912214627261855
111,GGY,890,6.7912214627261855
112,ISL,890,6.7912214627261855
113,IMN,890,6.7912214627261855
114,JEY,890,6.7912214627261855
115,XKX,890,6.7912214627261855
116,LIE,890,6.7912214627261855
117,MKD,890,6.7912214627261855
118,MDA,890,6.7912214627261855
119,MCO,890,6.7912214627261855
120,MNE,890,6.7912214627261855
121,SMR,890,6.7912214627261855
122,SRB,890,6.7912214627261855
123,SJM,890,6.7912214627261855
124,UKR,890,6.7912214627261855
125,VAT,890,6.7912214627261855
126,DZA,162,5.087596335232384
127,AGO,162,5.087596335232384
128,BEN,162,5.087596335232384
129,BWA,162,5.087596335232384
130,BFA,162,5.087596335232384
131,BDI,162,5.087596335232384
132,CPV,162,5.087596335232384
133,CMR,162,5.087596335232384
134,CAF,162,5.087596335232384
135,TCD,162,5.087596335232384
136,COM,162,5.087596335232384
137,COG,162,5.087596335232384
138,CIV,162,5.087596335232384
139,DJI,162,5.087596335232384
140,COD,162,5.087596335232384
141,GNQ,162,5.087596335232384
142,ERI,162,5.087596335232384
143,SWZ,162,5.087596335232384
144,ETH,162,5.087596335232384
145,ATF,162,5.087596335232384
146,GAB,162,5.087596335232384
147,GMB,162,5.087596335232384
148,GHA,162,5.087596335232384
149,GIN,162,5.087596335232384
150,GNB,162,5.087596335232384
151,KEN,162,5.087596335232384
152,LSO,162,5.087596335232384
153,LBR,162,5.087596335232384
154,LBY,162,5.087596335232384
155,MDG,162,5.087596335232384
156,MWI,162,5.087596335232384
157,MLI,162,5.087596335232384
158,MRT,162,5.087596335232384
159,MUS,162,5.087596335232384
160,MYT,162,5.087596335232384
161,MAR,162,5.087596335232384
162,MOZ,162,5.087596335232384
163,NAM,162,5.087596335232384
164,NER,162,5.087596335232384
165,NGA,162,5.087596335232384
166,REU,162,5.087596335232384
167,RWA,162,5.087596335232384
168,STP,162,5.087596335232384
169,SEN,162,5.087596335232384
170,SYC,162,5.087596335232384
171,SLE,162,5.087596335232384
172,SOM,162,5.087596335232384
173,SSD,162,5.087596335232384
174,SHN,162,5.087596335232384
175,SDN,162,5.087596335232384
176,TZA,162,5.087596335232384
177,TGO,162,5.087596335232384
178,TUN,162,5.087596335232384
179,UGA,162,5.087596335232384
180,ESH,162,5.087596335232384
181,ZMB,162,5.087596335232384
182,ZWE,162,5.087596335232384
183,AIA,145,4.976733742420574
184,ATG,145,4.976733742420574
185,ARG,145,4.976733742420574
186,ABW,145,4.976733742420574
187,BHS,145,4.976733742420574
188,BRB,145,4.976733742420574
189,BLZ,145,4.976733742420574
190,BMU,145,4.976733742420574
191,BOL,145,4.976733742420574
192,BES,145,4.976733742420574
193,VGB,145,4.976733742420574
194,CYM,145,4.976733742420574
195,CHL,145,4.976733742420574
196,COL,145,4.976733742420574
197,CRI,145,4.976733742420574
198,CUB,145,4.976733742420574
199,CUW,145,4.976733742420574
200,DMA,145,4.976733742420574
201,DOM,145,4.976733742420574
