,country,emission
0,AUT,221
1,AUS,372
2,BEL,469
3,BGR,29
4,BRA,1334
5,CAN,1205
6,CHE,620
7,CHN,3371
8,CYP,34
9,CZE,106
10,DEU,2380
11,DNK,205
12,EST,22
13,ESP,1356
14,FIN,198
15,FRA,1189
16,GBR,803
17,GRC,85
18,HRV,44
19,HUN,126
20,IDN,260
21,IRL,527
22,IND,583
23,ITA,1196
24,JPN,2506
25,KOR,1472
26,LTU,14
27,LUX,130
28,LVA,13
29,MLT,76
30,MEX,309791
31,NLD,540
32,NOR,204
33,POL,111
34,PRT,146
35,ROU,43
36,RUS,360
37,SWE,502
38,SVN,44
39,SVK,42
40,TUR,125
41,TWN,1360
42,USA,58039
43,AFG,3036
44,ASM,3036
45,ATA,3036
46,ARM,3036
47,AZE,3036
48,BGD,3036
49,BTN,3036
50,BVT,3036
51,IOT,3036
52,BRN,3036
53,KHM,3036
54,CXR,3036
55,CCK,3036
56,COK,3036
57,FJI,3036
58,PYF,3036
59,GEO,3036
60,GUM,3036
61,HMD,3036
62,HKG,3036
63,KAZ,3036
64,KIR,3036
65,KGZ,3036
66,LAO,3036
67,MAC,3036
68,MYS,3036
69,MDV,3036
70,MHL,3036
71,FSM,3036
72,MNG,3036
73,MMR,3036
74,NRU,3036
75,NPL,3036
76,NCL,3036
77,NZL,3036
78,NIU,3036
79,NFK,3036
80,PRK,3036
81,MNP,3036
82,PAK,3036
83,PLW,3036
84,PNG,3036
85,PHL,3036
86,PCN,3036
87,WSM,3036
88,SGP,3036
89,SLB,3036
90,SGS,3036
91,LKA,3036
92,TJK,3036
93,THA,3036
94,TLS,3036
95,TKL,3036
96,TON,3036
97,TKM,3036
98,TUV,3036
99,UMI,3036
100,UZB,3036
101,VUT,3036
102,VNM,3036
103,WLF,3036
104,ALA,141
105,ALB,141
106,AND,141
107,BLR,141
108,BIH,141
109,FRO,141
110,GIB,141
111,GGY,141
112,ISL,141
113,IMN,141
114,JEY,141
115,XKX,141
116,LIE,141
117,MKD,141
118,MDA,141
119,MCO,141
120,MNE,141
121,SMR,141
122,SRB,141
123,SJM,141
124,UKR,141
125,VAT,141
126,DZA,508
127,AGO,508
128,BEN,508
129,BWA,508
130,BFA,508
131,BDI,508
132,CPV,508
133,CMR,508
134,CAF,508
135,TCD,508
136,COM,508
137,COG,508
138,CIV,508
139,DJI,508
140,COD,508
141,GNQ,508
142,ERI,508
143,SWZ,508
144,ETH,508
145,ATF,508
146,GAB,508
147,GMB,508
148,GHA,508
149,GIN,508
150,GNB,508
151,KEN,508
152,LSO,508
153,LBR,508
154,LBY,508
155,MDG,508
156,MWI,508
157,MLI,508
158,MRT,508
159,MUS,508
160,MYT,508
161,MAR,508
162,MOZ,508
163,NAM,508
164,NER,508
165,NGA,508
166,REU,508
167,RWA,508
168,STP,508
169,SEN,508
170,SYC,508
171,SLE,508
172,SOM,508
173,SSD,508
174,SHN,508
175,SDN,508
176,TZA,508
177,TGO,508
178,TUN,508
179,UGA,508
180,ESH,508
181,ZMB,508
182,ZWE,508
183,AIA,4674
184,ATG,4674
185,ARG,4674
186,ABW,4674
187,BHS,4674
188,BRB,4674
189,BLZ,4674
190,BMU,4674
191,BOL,4674
192,BES,4674
193,VGB,4674
194,CYM,4674
195,CHL,4674
196,COL,4674
197,CRI,4674
198,CUB,4674
199,CUW,4674
200,DMA,4674
201,DOM,4674
202,ECU,4674
203,SLV,4674
204,FLK,4674
205,GUF,4674
206,GRL,4674
207,GRD,4674
208,GLP,4674
209,GTM,4674
210,GUY,4674
211,HTI,4674
212,HND,4674
213,JAM,4674
214,MTQ,4674
215,MSR,4674
216,NIC,4674
217,PAN,4674
218,PRY,4674
219,PER,4674
220,PRI,4674
221,MAF,4674
222,SXM,4674
223,BLM,4674
224,KNA,4674
225,LCA,4674
226,SPM,4674
227,VCT,4674
228,SUR,4674
229,TTO,4674
230,TCA,4674
231,VIR,4674
232,URY,4674
233,VEN,4674
234,BHR,1280
235,EGY,1280
236,IRN,1280
237,IRQ,1280
238,ISR,1280
239,JOR,1280
240,KWT,1280
241,LBN,1280
242,OMN,1280
243,PSE,1280
244,QAT,1280
245,SAU,1280
246,SYR,1280
247,ARE,1280
248,YEM,1280
249,ZAF,142
