,country,emission,emission_log
0,AUT,275,5.616771097666572
1,AUS,738,6.6039438246004725
2,BEL,871,6.769641976852503
3,BGR,65,4.174387269895637
4,BRA,1055,6.961296045910167
5,CAN,695,6.543911845564792
6,CHE,454,6.118097198041348
7,CHN,5110,8.53895468319775
8,CYP,16,2.772588722239781
9,CZE,235,5.459585514144159
10,DEU,2471,7.81237820598861
11,DNK,405,6.003887067106539
12,EST,20,2.995732273553991
13,ESP,1060,6.966024187106113
14,FIN,350,5.857933154483459
15,FRA,2035,7.618251097876695
16,GBR,2295,7.738488122494646
17,GRC,365,5.8998973535824915
18,HRV,51,3.9318256327243257
19,HUN,171,5.14166355650266
20,IDN,910,6.813444599510896
21,IRL,593,6.385194398997726
22,IND,547891,13.21383164103642
23,ITA,2020,7.61085279039525
24,JPN,1483,7.301822342137932
25,KOR,1783,7.48605261786314
26,LTU,22,3.091042453358316
27,LUX,126,4.836281906951478
28,LVA,31,3.4339872044851463
29,MLT,40,3.6888794541139363
30,MEX,661,6.493753839851686
31,NLD,1027,6.934397209928558
32,NOR,203,5.313205979041787
33,POL,254,5.537334267018537
34,PRT,215,5.3706380281276624
35,ROU,89,4.48863636973214
36,RUS,628,6.4425401664681985
37,SWE,514,6.2422232654551655
38,SVN,82,4.406719247264253
39,SVK,57,4.04305126783455
40,TUR,1062,6.967909201801884
41,TWN,1806,7.498869733976931
42,USA,7039,8.85922139360813
43,AFG,9121,9.118334726180159
44,ASM,9121,9.118334726180159
45,ATA,9121,9.118334726180159
46,ARM,9121,9.118334726180159
47,AZE,9121,9.118334726180159
48,BGD,9121,9.118334726180159
49,BTN,9121,9.118334726180159
50,BVT,9121,9.118334726180159
51,IOT,9121,9.118334726180159
52,BRN,9121,9.118334726180159
53,KHM,9121,9.118334726180159
54,CXR,9121,9.118334726180159
55,CCK,9121,9.118334726180159
56,COK,9121,9.118334726180159
57,FJI,9121,9.118334726180159
58,PYF,9121,9.118334726180159
59,GEO,9121,9.118334726180159
60,GUM,9121,9.118334726180159
61,HMD,9121,9.118334726180159
62,HKG,9121,9.118334726180159
63,KAZ,9121,9.118334726180159
64,KIR,9121,9.118334726180159
65,KGZ,9121,9.118334726180159
66,LAO,9121,9.118334726180159
67,MAC,9121,9.118334726180159
68,MYS,9121,9.118334726180159
69,MDV,9121,9.118334726180159
70,MHL,9121,9.118334726180159
71,FSM,9121,9.118334726180159
72,MNG,9121,9.118334726180159
73,MMR,9121,9.118334726180159
74,NRU,9121,9.118334726180159
75,NPL,9121,9.118334726180159
76,NCL,9121,9.118334726180159
77,NZL,9121,9.118334726180159
78,NIU,9121,9.118334726180159
79,NFK,9121,9.118334726180159
80,PRK,9121,9.118334726180159
81,MNP,9121,9.118334726180159
82,PAK,9121,9.118334726180159
83,PLW,9121,9.118334726180159
84,PNG,9121,9.118334726180159
85,PHL,9121,9.118334726180159
86,PCN,9121,9.118334726180159
87,WSM,9121,9.118334726180159
88,SGP,9121,9.118334726180159
89,SLB,9121,9.118334726180159
90,SGS,9121,9.118334726180159
91,LKA,9121,9.118334726180159
92,TJK,9121,9.118334726180159
93,THA,9121,9.118334726180159
94,TLS,9121,9.118334726180159
95,TKL,9121,9.118334726180159
96,TON,9121,9.118334726180159
97,TKM,9121,9.118334726180159
98,TUV,9121,9.118334726180159
99,UMI,9121,9.118334726180159
100,UZB,9121,9.118334726180159
101,VUT,9121,9.118334726180159
102,VNM,9121,9.118334726180159
103,WLF,9121,9.118334726180159
104,ALA,269,5.594711379601839
105,ALB,269,5.594711379601839
106,AND,269,5.594711379601839
107,BLR,269,5.594711379601839
108,BIH,269,5.594711379601839
109,FRO,269,5.594711379601839
110,GIB,269,5.594711379601839
111,GGY,269,5.594711379601839
112,ISL,269,5.594711379601839
113,IMN,269,5.594711379601839
114,JEY,269,5.594711379601839
115,XKX,269,5.594711379601839
116,LIE,269,5.594711379601839
117,MKD,269,5.594711379601839
118,MDA,269,5.594711379601839
119,MCO,269,5.594711379601839
120,MNE,269,5.594711379601839
121,SMR,269,5.594711379601839
122,SRB,269,5.594711379601839
123,SJM,269,5.594711379601839
