,country,emission
0,AUT,2816
1,AUS,21198
2,BEL,6824
3,BGR,495
4,BRA,2462
5,CAN,5593
6,CHE,7330
7,CHN,66851
8,CYP,384
9,CZE,1894
10,DEU,16922
11,DNK,2418
12,EST,246
13,ESP,6887
14,FIN,1558
15,FRA,15235
16,GBR,17961
17,GRC,1306
18,HRV,344
19,HUN,2122
20,IDN,19192
21,IRL,6310
22,IND,14619
23,ITA,13838
24,JPN,39092
25,KOR,23751
26,LTU,178
27,LUX,1822
28,LVA,148
29,MLT,142
30,MEX,3591
31,NLD,9089
32,NOR,1106
33,POL,1752
34,PRT,973
35,ROU,1423
36,RUS,6864
37,SWE,2471
38,SVN,193
39,SVK,281
40,TUR,3366
41,TWN,17220
42,USA,45154
43,AFG,842173
44,ASM,842173
45,ATA,842173
46,ARM,842173
47,AZE,842173
48,BGD,842173
49,BTN,842173
50,BVT,842173
51,IOT,842173
52,BRN,842173
53,KHM,842173
54,CXR,842173
55,CCK,842173
56,COK,842173
57,FJI,842173
58,PYF,842173
59,GEO,842173
60,GUM,842173
61,HMD,842173
62,HKG,842173
63,KAZ,842173
64,KIR,842173
65,KGZ,842173
66,LAO,842173
67,MAC,842173
68,MYS,842173
69,MDV,842173
70,MHL,842173
71,FSM,842173
72,MNG,842173
73,MMR,842173
74,NRU,842173
75,NPL,842173
76,NCL,842173
77,NZL,842173
78,NIU,842173
79,NFK,842173
80,PRK,842173
81,MNP,842173
82,PAK,842173
83,PLW,842173
84,PNG,842173
85,PHL,842173
86,PCN,842173
87,WSM,842173
88,SGP,842173
89,SLB,842173
90,SGS,842173
91,LKA,842173
92,TJK,842173
93,THA,842173
94,TLS,842173
95,TKL,842173
96,TON,842173
97,TKM,842173
98,TUV,842173
99,UMI,842173
100,UZB,842173
101,VUT,842173
102,VNM,842173
103,WLF,842173
104,ALA,3927
105,ALB,3927
106,AND,3927
107,BLR,3927
108,BIH,3927
109,FRO,3927
110,GIB,3927
111,GGY,3927
112,ISL,3927
113,IMN,3927
114,JEY,3927
115,XKX,3927
116,LIE,3927
117,MKD,3927
118,MDA,3927
119,MCO,3927
120,MNE,3927
121,SMR,3927
122,SRB,3927
123,SJM,3927
124,UKR,3927
125,VAT,3927
126,DZA,5187
127,AGO,5187
128,BEN,5187
129,BWA,5187
130,BFA,5187
131,BDI,5187
132,CPV,5187
133,CMR,5187
134,CAF,5187
135,TCD,5187
136,COM,5187
137,COG,5187
138,CIV,5187
139,DJI,5187
140,COD,5187
141,GNQ,5187
142,ERI,5187
143,SWZ,5187
144,ETH,5187
145,ATF,5187
146,GAB,5187
147,GMB,5187
148,GHA,5187
149,GIN,5187
150,GNB,5187
151,KEN,5187
152,LSO,5187
153,LBR,5187
154,LBY,5187
155,MDG,5187
156,MWI,5187
157,MLI,5187
158,MRT,5187
159,MUS,5187
160,MYT,5187
161,MAR,5187
162,MOZ,5187
163,NAM,5187
164,NER,5187
165,NGA,5187
166,REU,5187
167,RWA,5187
168,STP,5187
169,SEN,5187
170,SYC,5187
171,SLE,5187
172,SOM,5187
173,SSD,5187
174,SHN,5187
175,SDN,5187
176,TZA,5187
177,TGO,5187
178,TUN,5187
179,UGA,5187
180,ESH,5187
181,ZMB,5187
182,ZWE,5187
183,AIA,7418
184,ATG,7418
185,ARG,7418
186,ABW,7418
187,BHS,7418
188,BRB,7418
189,BLZ,7418
190,BMU,7418
191,BOL,7418
192,BES,7418
193,VGB,7418
194,CYM,7418
195,CHL,7418
196,COL,7418
197,CRI,7418
198,CUB,7418
199,CUW,7418
200,DMA,7418
201,DOM,7418
202,ECU,7418
203,SLV,7418
204,FLK,7418
205,GUF,7418
206,GRL,7418
207,GRD,7418
208,GLP,7418
209,GTM,7418
210,GUY,7418
211,HTI,7418
212,HND,7418
213,JAM,7418
214,MTQ,7418
215,MSR,7418
216,NIC,7418
217,PAN,7418
218,PRY,7418
219,PER,7418
220,PRI,7418
221,MAF,7418
222,SXM,7418
223,BLM,7418
224,KNA,7418
225,LCA,7418
226,SPM,7418
227,VCT,7418
228,SUR,7418
229,TTO,7418
230,TCA,7418
231,VIR,7418
232,URY,7418
233,VEN,7418
234,BHR,16570
235,EGY,16570
236,IRN,16570
237,IRQ,16570
238,ISR,16570
239,JOR,16570
240,KWT,16570
241,LBN,16570
242,OMN,16570
243,PSE,16570
244,QAT,16570
245,SAU,16570
246,SYR,16570
247,ARE,16570
248,YEM,16570
249,ZAF,5463
