,country,emission,emission_log
0,AUT,460,6.131226489483141
1,AUS,5660,8.641179171197228
2,BEL,1041,6.947937068614969
3,BGR,57,4.04305126783455
4,BRA,679,6.520621127558696
5,CAN,865,6.762729506931879
6,CHE,1842,7.518607216815252
7,CHN,5780,8.662158961666423
8,CYP,55,4.007333185232471
9,CZE,242,5.488937726156687
10,DEU,3467,8.151044945685024
11,DNK,472,6.156978985585555
12,EST,47,3.8501476017100584
13,ESP,875,6.774223886357614
14,FIN,399,5.988961416889864
15,FRA,2623,7.872073979866873
16,GBR,3996,8.293049139768444
17,GRC,163,5.093750200806762
18,HRV,76,4.330733340286331
19,HUN,160,5.075173815233827
20,IDN,2041,7.621195162809845
21,IRL,474,6.161207321695077
22,IND,547891,13.21383164103642
23,ITA,2386,7.777373602657861
24,JPN,2867,7.96102146588337
25,KOR,2762,7.923710333969238
26,LTU,37,3.6109179126442243
27,LUX,269,5.594711379601839
28,LVA,27,3.295836866004329
29,MLT,22,3.091042453358316
30,MEX,698,6.548219102762372
31,NLD,1322,7.186901020411631
32,NOR,480,6.173786103901937
33,POL,252,5.529429087511423
34,PRT,165,5.10594547390058
35,ROU,219,5.389071729816501
36,RUS,2873,7.96311205897929
37,SWE,981,6.8885724595653635
38,SVN,69,4.23410650459726
39,SVK,67,4.204692619390966
40,TUR,407,6.008813185442595
41,TWN,1932,7.566311014772463
42,USA,6335,8.75384509275524
43,AFG,14619,9.590077331511615
44,ASM,14619,9.590077331511615
45,ATA,14619,9.590077331511615
46,ARM,14619,9.590077331511615
47,AZE,14619,9.590077331511615
48,BGD,14619,9.590077331511615
49,BTN,14619,9.590077331511615
50,BVT,14619,9.590077331511615
51,IOT,14619,9.590077331511615
52,BRN,14619,9.590077331511615
53,KHM,14619,9.590077331511615
54,CXR,14619,9.590077331511615
55,CCK,14619,9.590077331511615
56,COK,14619,9.590077331511615
57,FJI,14619,9.590077331511615
58,PYF,14619,9.590077331511615
59,GEO,14619,9.590077331511615
60,GUM,14619,9.590077331511615
61,HMD,14619,9.590077331511615
62,HKG,14619,9.590077331511615
63,KAZ,14619,9.590077331511615
64,KIR,14619,9.590077331511615
65,KGZ,14619,9.590077331511615
66,LAO,14619,9.590077331511615
67,MAC,14619,9.590077331511615
68,MYS,14619,9.590077331511615
69,MDV,14619,9.590077331511615
70,MHL,14619,9.590077331511615
71,FSM,14619,9.590077331511615
72,MNG,14619,9.590077331511615
73,MMR,14619,9.590077331511615
74,NRU,14619,9.590077331511615
75,NPL,14619,9.590077331511615
76,NCL,14619,9.590077331511615
77,NZL,14619,9.590077331511615
78,NIU,14619,9.590077331511615
79,NFK,14619,9.590077331511615
80,PRK,14619,9.590077331511615
81,MNP,14619,9.590077331511615
82,PAK,14619,9.590077331511615
83,PLW,14619,9.590077331511615
84,PNG,14619,9.590077331511615
85,PHL,14619,9.590077331511615
86,PCN,14619,9.590077331511615
87,WSM,14619,9.590077331511615
88,SGP,14619,9.590077331511615
89,SLB,14619,9.590077331511615
90,SGS,14619,9.590077331511615
91,LKA,14619,9.590077331511615
92,TJK,14619,9.590077331511615
93,THA,14619,9.590077331511615
94,TLS,14619,9.590077331511615
95,TKL,14619,9.590077331511615
96,TON,14619,9.590077331511615
97,TKM,14619,9.590077331511615
98,TUV,14619,9.590077331511615
99,UMI,14619,9.590077331511615
100,UZB,14619,9.590077331511615
101,VUT,14619,9.590077331511615
102,VNM,14619,9.590077331511615
103,WLF,14619,9.590077331511615
104,ALA,625,6.437751649736401
105,ALB,625,6.437751649736401
106,AND,625,6.437751649736401
107,BLR,625,6.437751649736401
108,BIH,625,6.437751649736401
109,FRO,625,6.437751649736401
110,GIB,625,6.437751649736401
111,GGY,625,6.437751649736401
112,ISL,625,6.437751649736401
113,IMN,625,6.437751649736401
114,JEY,625,6.437751649736401
115,XKX,625,6.437751649736401
116,LIE,625,6.437751649736401
117,MKD,625,6.437751649736401
118,MDA,625,6.437751649736401
119,MCO,625,6.437751649736401
120,MNE,625,6.437751649736401
121,SMR,625,6.437751649736401
122,SRB,625,6.437751649736401
123,SJM,625,6.437751649736401
124,UKR,625,6.437751649736401
125,VAT,625,6.437751649736401
126,DZA,3170,8.061486866871327
127,AGO,3170,8.061486866871327
128,BEN,3170,8.061486866871327
129,BWA,3170,8.061486866871327
130,BFA,3170,8.061486866871327
131,BDI,3170,8.061486866871327
132,CPV,3170,8.061486866871327
133,CMR,3170,8.061486866871327
134,CAF,3170,8.061486866871327
135,TCD,3170,8.061486866871327
136,COM,3170,8.061486866871327
137,COG,3170,8.061486866871327
138,CIV,3170,8.061486866871327
139,DJI,3170,8.061486866871327
140,COD,3170,8.061486866871327
141,GNQ,3170,8.061486866871327
142,ERI,3170,8.061486866871327
143,SWZ,3170,8.061486866871327
144,ETH,3170,8.061486866871327
145,ATF,3170,8.061486866871327
146,GAB,3170,8.061486866871327
147,GMB,3170,8.061486866871327
148,GHA,3170,8.061486866871327
149,GIN,3170,8.061486866871327
150,GNB,3170,8.061486866871327
151,KEN,3170,8.061486866871327
152,LSO,3170,8.061486866871327
153,LBR,3170,8.061486866871327
154,LBY,3170,8.061486866871327
155,MDG,3170,8.061486866871327
156,MWI,3170,8.061486866871327
157,MLI,3170,8.061486866871327
158,MRT,3170,8.061486866871327
159,MUS,3170,8.061486866871327
160,MYT,3170,8.061486866871327
161,MAR,3170,8.061486866871327
162,MOZ,3170,8.061486866871327
163,NAM,3170,8.061486866871327
164,NER,3170,8.061486866871327
165,NGA,3170,8.061486866871327
166,REU,3170,8.061486866871327
167,RWA,3170,8.061486866871327
168,STP,3170,8.061486866871327
169,SEN,3170,8.061486866871327
170,SYC,3170,8.061486866871327
171,SLE,3170,8.061486866871327
172,SOM,3170,8.061486866871327
173,SSD,3170,8.061486866871327
174,SHN,3170,8.061486866871327
175,SDN,3170,8.061486866871327
176,TZA,3170,8.061486866871327
177,TGO,3170,8.061486866871327
178,TUN,3170,8.061486866871327
179,UGA,3170,8.061486866871327
180,ESH,3170,8.061486866871327
181,ZMB,3170,8.061486866871327
182,ZWE,3170,8.061486866871327
183,AIA,1823,7.508238774678663
184,ATG,1823,7.508238774678663
185,ARG,1823,7.508238774678663
186,ABW,1823,7.508238774678663
187,BHS,1823,7.508238774678663
188,BRB,1823,7.508238774678663
189,BLZ,1823,7.508238774678663
190,BMU,1823,7.508238774678663
191,BOL,1823,7.508238774678663
192,BES,1823,7.508238774678663
193,VGB,1823,7.508238774678663
194,CYM,1823,7.508238774678663
195,CHL,1823,7.508238774678663
196,COL,1823,7.508238774678663
197,CRI,1823,7.508238774678663
198,CUB,1823,7.508238774678663
199,CUW,1823,7.508238774678663
200,DMA,1823,7.508238774678663
201,DOM,1823,7.508238774678663
202,ECU,1823,7.508238774678663
203,SLV,1823,7.508238774678663
204,FLK,1823,7.508238774678663
205,GUF,1823,7.508238774678663
206,GRL,1823,7.508238774678663
207,GRD,1823,7.508238774678663
208,GLP,1823,7.508238774678663
209,GTM,1823,7.508238774678663
210,GUY,1823,7.508238774678663
211,HTI,1823,7.508238774678663
212,HND,1823,7.508238774678663
213,JAM,1823,7.508238774678663
214,MTQ,1823,7.508238774678663
215,MSR,1823,7.508238774678663
216,NIC,1823,7.508238774678663
217,PAN,1823,7.508238774678663
218,PRY,1823,7.508238774678663
219,PER,1823,7.508238774678663
220,PRI,1823,7.508238774678663
221,MAF,1823,7.508238774678663
222,SXM,1823,7.508238774678663
223,BLM,1823,7.508238774678663
224,KNA,1823,7.508238774678663
225,LCA,1823,7.508238774678663
226,SPM,1823,7.508238774678663
227,VCT,1823,7.508238774678663
228,SUR,1823,7.508238774678663
229,TTO,1823,7.508238774678663
230,TCA,1823,7.508238774678663
231,VIR,1823,7.508238774678663
232,URY,1823,7.508238774678663
233,VEN,1823,7.508238774678663
234,BHR,12050,9.396819938918801
235,EGY,12050,9.396819938918801
236,IRN,12050,9.396819938918801
237,IRQ,12050,9.396819938918801
238,ISR,12050,9.396819938918801
