,country,emission,emission_log
0,AUT,578,6.359573868672378
1,AUS,541,6.293419278846481
2,BEL,864,6.761572768804055
3,BGR,55,4.007333185232471
4,BRA,578,6.359573868672378
5,CAN,409,6.013715156042802
6,CHE,702,6.553933404025811
7,CHN,1664,7.416979621381154
8,CYP,54,3.9889840465642745
9,CZE,424,6.049733455231958
10,DEU,3872,8.261526448396468
11,DNK,419,6.037870919922137
12,EST,144,4.969813299576001
13,ESP,847,6.741700694652055
14,FIN,1249,7.130098510125578
15,FRA,1693,7.4342573821331355
16,GBR,1563,7.354362330421477
17,GRC,338,5.823045895483019
18,HRV,106,4.663439094112067
19,HUN,302,5.71042701737487
20,IDN,166,5.111987788356544
21,IRL,672,6.51025834052315
22,IND,628,6.4425401664681985
23,ITA,1647,7.4067107301776405
24,JPN,975,6.882437470997847
25,KOR,887,6.787844982309579
26,LTU,217,5.37989735354046
27,LUX,215,5.3706380281276624
28,LVA,95,4.553876891600541
29,MLT,22,3.091042453358316
30,MEX,152,5.0238805208462765
31,NLD,1242,7.124478262493424
32,NOR,772,6.648984550024776
33,POL,1235,7.118826249062078
34,PRT,160,5.075173815233827
35,ROU,75,4.31748811353631
36,RUS,390003,12.873909710383936
37,SWE,833,6.725033642166843
38,SVN,210,5.3471075307174685
39,SVK,157,5.056245805348308
40,TUR,882,6.782192056006791
41,TWN,547,6.304448802421981
42,USA,2075,7.637716432664798
43,AFG,6864,8.834045641167798
44,ASM,6864,8.834045641167798
45,ATA,6864,8.834045641167798
46,ARM,6864,8.834045641167798
47,AZE,6864,8.834045641167798
48,BGD,6864,8.834045641167798
49,BTN,6864,8.834045641167798
50,BVT,6864,8.834045641167798
51,IOT,6864,8.834045641167798
52,BRN,6864,8.834045641167798
53,KHM,6864,8.834045641167798
54,CXR,6864,8.834045641167798
55,CCK,6864,8.834045641167798
56,COK,6864,8.834045641167798
57,FJI,6864,8.834045641167798
58,PYF,6864,8.834045641167798
59,GEO,6864,8.834045641167798
60,GUM,6864,8.834045641167798
61,HMD,6864,8.834045641167798
62,HKG,6864,8.834045641167798
63,KAZ,6864,8.834045641167798
64,KIR,6864,8.834045641167798
65,KGZ,6864,8.834045641167798
66,LAO,6864,8.834045641167798
67,MAC,6864,8.834045641167798
68,MYS,6864,8.834045641167798
69,MDV,6864,8.834045641167798
70,MHL,6864,8.834045641167798
71,FSM,6864,8.834045641167798
72,MNG,6864,8.834045641167798
73,MMR,6864,8.834045641167798
74,NRU,6864,8.834045641167798
75,NPL,6864,8.834045641167798
76,NCL,6864,8.834045641167798
77,NZL,6864,8.834045641167798
78,NIU,6864,8.834045641167798
79,NFK,6864,8.834045641167798
80,PRK,6864,8.834045641167798
81,MNP,6864,8.834045641167798
82,PAK,6864,8.834045641167798
83,PLW,6864,8.834045641167798
84,PNG,6864,8.834045641167798
85,PHL,6864,8.834045641167798
86,PCN,6864,8.834045641167798
87,WSM,6864,8.834045641167798
88,SGP,6864,8.834045641167798
89,SLB,6864,8.834045641167798
90,SGS,6864,8.834045641167798
91,LKA,6864,8.834045641167798
92,TJK,6864,8.834045641167798
93,THA,6864,8.834045641167798
94,TLS,6864,8.834045641167798
95,TKL,6864,8.834045641167798
96,TON,6864,8.834045641167798
97,TKM,6864,8.834045641167798
98,TUV,6864,8.834045641167798
99,UMI,6864,8.834045641167798
100,UZB,6864,8.834045641167798
101,VUT,6864,8.834045641167798
102,VNM,6864,8.834045641167798
103,WLF,6864,8.834045641167798
104,ALA,4350,8.37793112408273
105,ALB,4350,8.37793112408273
106,AND,4350,8.37793112408273
107,BLR,4350,8.37793112408273
108,BIH,4350,8.37793112408273
109,FRO,4350,8.37793112408273
110,GIB,4350,8.37793112408273
111,GGY,4350,8.37793112408273
112,ISL,4350,8.37793112408273
113,IMN,4350,8.37793112408273
114,JEY,4350,8.37793112408273
115,XKX,4350,8.37793112408273
116,LIE,4350,8.37793112408273
117,MKD,4350,8.37793112408273
118,MDA,4350,8.37793112408273
119,MCO,4350,8.37793112408273
120,MNE,4350,8.37793112408273
121,SMR,4350,8.37793112408273
122,SRB,4350,8.37793112408273
123,SJM,4350,8.37793112408273
124,UKR,4350,8.37793112408273
125,VAT,4350,8.37793112408273
126,DZA,1003,6.910750787961936
127,AGO,1003,6.910750787961936
128,BEN,1003,6.910750787961936
129,BWA,1003,6.910750787961936
130,BFA,1003,6.910750787961936
131,BDI,1003,6.910750787961936
132,CPV,1003,6.910750787961936
133,CMR,1003,6.910750787961936
134,CAF,1003,6.910750787961936
135,TCD,1003,6.910750787961936
136,COM,1003,6.910750787961936
137,COG,1003,6.910750787961936
138,CIV,1003,6.910750787961936
139,DJI,1003,6.910750787961936
140,COD,1003,6.910750787961936
141,GNQ,1003,6.910750787961936
142,ERI,1003,6.910750787961936
143,SWZ,1003,6.910750787961936
144,ETH,1003,6.910750787961936
145,ATF,1003,6.910750787961936
146,GAB,1003,6.910750787961936
147,GMB,1003,6.910750787961936
148,GHA,1003,6.910750787961936
149,GIN,1003,6.910750787961936
150,GNB,1003,6.910750787961936
151,KEN,1003,6.910750787961936
152,LSO,1003,6.910750787961936
153,LBR,1003,6.910750787961936
154,LBY,1003,6.910750787961936
155,MDG,1003,6.910750787961936
156,MWI,1003,6.910750787961936
157,MLI,1003,6.910750787961936
158,MRT,1003,6.910750787961936
159,MUS,1003,6.910750787961936
160,MYT,1003,6.910750787961936
161,MAR,1003,6.910750787961936
162,MOZ,1003,6.910750787961936
163,NAM,1003,6.910750787961936
164,NER,1003,6.910750787961936
165,NGA,1003,6.910750787961936
166,REU,1003,6.910750787961936
167,RWA,1003,6.910750787961936
168,STP,1003,6.910750787961936
169,SEN,1003,6.910750787961936
170,SYC,1003,6.910750787961936
171,SLE,1003,6.910750787961936
172,SOM,1003,6.910750787961936
173,SSD,1003,6.910750787961936
174,SHN,1003,6.910750787961936
175,SDN,1003,6.910750787961936
176,TZA,1003,6.910750787961936
177,TGO,1003,6.910750787961936
178,TUN,1003,6.910750787961936
179,UGA,1003,6.910750787961936
180,ESH,1003,6.910750787961936
181,ZMB,1003,6.910750787961936
