,country,emission
0,AUT,1293
1,AUS,2226
2,BEL,2348
3,BGR,228
4,BRA,2075
5,CAN,1249
6,CHE,3313
7,CHN,9544
8,CYP,95
9,CZE,616
10,DEU,10509
11,DNK,815
12,EST,31
13,ESP,2436
14,FIN,1753
15,FRA,7864
16,GBR,11379
17,GRC,1096
18,HRV,309
19,HUN,769
20,IDN,1478
21,IRL,2068
22,IND,9768
23,ITA,7418
24,JPN,6849
25,KOR,5032
26,LTU,44
27,LUX,868
28,LVA,27
29,MLT,53
30,MEX,403
31,NLD,3471
32,NOR,520
33,POL,661
34,PRT,345
35,ROU,733
36,RUS,7488
37,SWE,1963
38,SVN,128
39,SVK,153
40,TUR,7516
41,TWN,3161
42,USA,15695
43,AFG,16570
44,ASM,16570
45,ATA,16570
46,ARM,16570
47,AZE,16570
48,BGD,16570
49,BTN,16570
50,BVT,16570
51,IOT,16570
52,BRN,16570
53,KHM,16570
54,CXR,16570
55,CCK,16570
56,COK,16570
57,FJI,16570
58,PYF,16570
59,GEO,16570
60,GUM,16570
61,HMD,16570
62,HKG,16570
63,KAZ,16570
64,KIR,16570
65,KGZ,16570
66,LAO,16570
67,MAC,16570
68,MYS,16570
69,MDV,16570
70,MHL,16570
71,FSM,16570
72,MNG,16570
73,MMR,16570
74,NRU,16570
75,NPL,16570
76,NCL,16570
77,NZL,16570
78,NIU,16570
79,NFK,16570
80,PRK,16570
81,MNP,16570
82,PAK,16570
83,PLW,16570
84,PNG,16570
85,PHL,16570
86,PCN,16570
87,WSM,16570
88,SGP,16570
89,SLB,16570
90,SGS,16570
91,LKA,16570
92,TJK,16570
93,THA,16570
94,TLS,16570
95,TKL,16570
96,TON,16570
97,TKM,16570
98,TUV,16570
99,UMI,16570
100,UZB,16570
101,VUT,16570
102,VNM,16570
103,WLF,16570
104,ALA,2622
105,ALB,2622
106,AND,2622
107,BLR,2622
108,BIH,2622
109,FRO,2622
110,GIB,2622
111,GGY,2622
112,ISL,2622
113,IMN,2622
114,JEY,2622
115,XKX,2622
116,LIE,2622
117,MKD,2622
118,MDA,2622
119,MCO,2622
120,MNE,2622
121,SMR,2622
122,SRB,2622
123,SJM,2622
124,UKR,2622
125,VAT,2622
126,DZA,3159
127,AGO,3159
128,BEN,3159
129,BWA,3159
130,BFA,3159
131,BDI,3159
132,CPV,3159
133,CMR,3159
134,CAF,3159
135,TCD,3159
136,COM,3159
137,COG,3159
138,CIV,3159
139,DJI,3159
140,COD,3159
141,GNQ,3159
142,ERI,3159
143,SWZ,3159
144,ETH,3159
145,ATF,3159
146,GAB,3159
147,GMB,3159
148,GHA,3159
149,GIN,3159
150,GNB,3159
151,KEN,3159
152,LSO,3159
153,LBR,3159
154,LBY,3159
155,MDG,3159
156,MWI,3159
157,MLI,3159
158,MRT,3159
159,MUS,3159
160,MYT,3159
161,MAR,3159
162,MOZ,3159
163,NAM,3159
164,NER,3159
165,NGA,3159
166,REU,3159
167,RWA,3159
168,STP,3159
169,SEN,3159
170,SYC,3159
171,SLE,3159
172,SOM,3159
173,SSD,3159
174,SHN,3159
175,SDN,3159
176,TZA,3159
177,TGO,3159
178,TUN,3159
179,UGA,3159
180,ESH,3159
181,ZMB,3159
182,ZWE,3159
183,AIA,3300
184,ATG,3300
185,ARG,3300
186,ABW,3300
187,BHS,3300
188,BRB,3300
189,BLZ,3300
190,BMU,3300
191,BOL,3300
192,BES,3300
193,VGB,3300
194,CYM,3300
195,CHL,3300
196,COL,3300
197,CRI,3300
198,CUB,3300
199,CUW,3300
200,DMA,3300
201,DOM,3300
202,ECU,3300
203,SLV,3300
204,FLK,3300
205,GUF,3300
206,GRL,3300
207,GRD,3300
208,GLP,3300
209,GTM,3300
210,GUY,3300
211,HTI,3300
212,HND,3300
213,JAM,3300
214,MTQ,3300
215,MSR,3300
216,NIC,3300
217,PAN,3300
218,PRY,3300
219,PER,3300
220,PRI,3300
221,MAF,3300
222,SXM,3300
223,BLM,3300
224,KNA,3300
225,LCA,3300
226,SPM,3300
227,VCT,3300
228,SUR,3300
229,TTO,3300
230,TCA,3300
231,VIR,3300
232,URY,3300
233,VEN,3300
234,BHR,557152
235,EGY,557152
236,IRN,557152
237,IRQ,557152
238,ISR,557152
239,JOR,557152
240,KWT,557152
241,LBN,557152
242,OMN,557152
243,PSE,557152
244,QAT,557152
245,SAU,557152
246,SYR,557152
247,ARE,557152
248,YEM,557152
249,ZAF,1113
