,country,emission,emission_log
0,AUT,179612,12.09855424776297
1,AUS,481,6.175867270105761
2,BEL,719,6.577861357721047
3,BGR,168,5.123963979403259
4,BRA,324,5.780743515792329
5,CAN,852,6.747586526829315
6,CHE,1364,7.218176838403408
7,CHN,2136,7.666690200080086
8,CYP,13,2.5649493574615367
9,CZE,1568,7.357556200910353
10,DEU,12697,9.449121024069791
11,DNK,490,6.194405391104672
12,EST,42,3.7376696182833684
13,ESP,1565,7.355641102974253
14,FIN,337,5.820082930352362
15,FRA,2711,7.905072849498666
16,GBR,1858,7.527255919373784
17,GRC,421,6.042632833682381
18,HRV,302,5.71042701737487
19,HUN,1800,7.495541943884256
20,IDN,178,5.181783550292085
21,IRL,560,6.327936783729195
22,IND,537,6.285998094508865
23,ITA,4766,8.469262657658687
24,JPN,946,6.852242569051878
25,KOR,975,6.882437470997847
26,LTU,53,3.970291913552122
27,LUX,73,4.290459441148391
28,LVA,49,3.8918202981106265
29,MLT,66,4.189654742026425
30,MEX,314,5.749392985908253
31,NLD,619,6.428105272684596
32,NOR,294,5.683579767338681
33,POL,899,6.80128303447162
34,PRT,245,5.501258210544727
35,ROU,535,6.282266746896006
36,RUS,656,6.486160788944089
37,SWE,681,6.523562306149512
38,SVN,672,6.51025834052315
39,SVK,726,6.587550014824796
40,TUR,481,6.175867270105761
41,TWN,435,6.075346031088684
42,USA,3342,8.114324709155339
43,AFG,1380,7.22983877815125
44,ASM,1380,7.22983877815125
45,ATA,1380,7.22983877815125
46,ARM,1380,7.22983877815125
47,AZE,1380,7.22983877815125
48,BGD,1380,7.22983877815125
49,BTN,1380,7.22983877815125
50,BVT,1380,7.22983877815125
51,IOT,1380,7.22983877815125
52,BRN,1380,7.22983877815125
53,KHM,1380,7.22983877815125
54,CXR,1380,7.22983877815125
55,CCK,1380,7.22983877815125
56,COK,1380,7.22983877815125
57,FJI,1380,7.22983877815125
58,PYF,1380,7.22983877815125
59,GEO,1380,7.22983877815125
60,GUM,1380,7.22983877815125
61,HMD,1380,7.22983877815125
62,HKG,1380,7.22983877815125
63,KAZ,1380,7.22983877815125
64,KIR,1380,7.22983877815125
65,KGZ,1380,7.22983877815125
66,LAO,1380,7.22983877815125
67,MAC,1380,7.22983877815125
68,MYS,1380,7.22983877815125
69,MDV,1380,7.22983877815125
70,MHL,1380,7.22983877815125
71,FSM,1380,7.22983877815125
72,MNG,1380,7.22983877815125
73,MMR,1380,7.22983877815125
74,NRU,1380,7.22983877815125
75,NPL,1380,7.22983877815125
76,NCL,1380,7.22983877815125
77,NZL,1380,7.22983877815125
78,NIU,1380,7.22983877815125
79,NFK,1380,7.22983877815125
80,PRK,1380,7.22983877815125
81,MNP,1380,7.22983877815125
82,PAK,1380,7.22983877815125
83,PLW,1380,7.22983877815125
84,PNG,1380,7.22983877815125
85,PHL,1380,7.22983877815125
86,PCN,1380,7.22983877815125
87,WSM,1380,7.22983877815125
88,SGP,1380,7.22983877815125
89,SLB,1380,7.22983877815125
