,country,emission
0,AUT,28
1,AUS,19
2,BEL,45
3,BGR,14
4,BRA,17
5,CAN,31
6,CHE,18
7,CHN,74
8,CYP,3
9,CZE,34
10,DEU,248
11,DNK,98
12,EST,134
13,ESP,60
14,FIN,82
15,FRA,78
16,GBR,230
17,GRC,27
18,HRV,8
19,HUN,25
20,IDN,15
21,IRL,69
22,IND,32
23,ITA,83
24,JPN,24
25,KOR,39
26,LTU,183
27,LUX,6
28,LVA,13070
29,MLT,6
30,MEX,23
31,NLD,30
32,NOR,86
33,POL,80
34,PRT,16
35,ROU,14
36,RUS,120
37,SWE,219
38,SVN,9
39,SVK,13
40,TUR,29
41,TWN,31
42,USA,78
43,AFG,62
44,ASM,62
45,ATA,62
46,ARM,62
47,AZE,62
48,BGD,62
49,BTN,62
50,BVT,62
51,IOT,62
52,BRN,62
53,KHM,62
54,CXR,62
55,CCK,62
56,COK,62
57,FJI,62
58,PYF,62
59,GEO,62
60,GUM,62
61,HMD,62
62,HKG,62
63,KAZ,62
64,KIR,62
65,KGZ,62
66,LAO,62
67,MAC,62
68,MYS,62
69,MDV,62
70,MHL,62
71,FSM,62
72,MNG,62
73,MMR,62
74,NRU,62
75,NPL,62
76,NCL,62
77,NZL,62
78,NIU,62
79,NFK,62
80,PRK,62
81,MNP,62
82,PAK,62
83,PLW,62
84,PNG,62
85,PHL,62
86,PCN,62
87,WSM,62
88,SGP,62
89,SLB,62
90,SGS,62
91,LKA,62
92,TJK,62
93,THA,62
94,TLS,62
95,TKL,62
96,TON,62
97,TKM,62
98,TUV,62
99,UMI,62
100,UZB,62
101,VUT,62
102,VNM,62
103,WLF,62
104,ALA,61
105,ALB,61
106,AND,61
107,BLR,61
108,BIH,61
109,FRO,61
110,GIB,61
111,GGY,61
112,ISL,61
113,IMN,61
114,JEY,61
115,XKX,61
116,LIE,61
117,MKD,61
118,MDA,61
119,MCO,61
120,MNE,61
121,SMR,61
122,SRB,61
123,SJM,61
124,UKR,61
125,VAT,61
126,DZA,38
127,AGO,38
128,BEN,38
129,BWA,38
130,BFA,38
131,BDI,38
132,CPV,38
133,CMR,38
134,CAF,38
135,TCD,38
136,COM,38
137,COG,38
138,CIV,38
139,DJI,38
140,COD,38
141,GNQ,38
142,ERI,38
143,SWZ,38
144,ETH,38
145,ATF,38
146,GAB,38
147,GMB,38
148,GHA,38
149,GIN,38
150,GNB,38
151,KEN,38
152,LSO,38
153,LBR,38
154,LBY,38
155,MDG,38
156,MWI,38
157,MLI,38
158,MRT,38
159,MUS,38
160,MYT,38
161,MAR,38
162,MOZ,38
163,NAM,38
164,NER,38
165,NGA,38
166,REU,38
167,RWA,38
168,STP,38
169,SEN,38
170,SYC,38
171,SLE,38
172,SOM,38
173,SSD,38
174,SHN,38
175,SDN,38
176,TZA,38
177,TGO,38
178,TUN,38
179,UGA,38
180,ESH,38
181,ZMB,38
182,ZWE,38
183,AIA,34
184,ATG,34
185,ARG,34
186,ABW,34
187,BHS,34
188,BRB,34
189,BLZ,34
190,BMU,34
191,BOL,34
192,BES,34
193,VGB,34
194,CYM,34
195,CHL,34
196,COL,34
197,CRI,34
198,CUB,34
199,CUW,34
200,DMA,34
201,DOM,34
202,ECU,34
203,SLV,34
204,FLK,34
205,GUF,34
206,GRL,34
207,GRD,34
208,GLP,34
209,GTM,34
210,GUY,34
211,HTI,34
212,HND,34
213,JAM,34
214,MTQ,34
215,MSR,34
216,NIC,34
217,PAN,34
218,PRY,34
219,PER,34
220,PRI,34
221,MAF,34
222,SXM,34
223,BLM,34
224,KNA,34
225,LCA,34
226,SPM,34
227,VCT,34
228,SUR,34
229,TTO,34
230,TCA,34
231,VIR,34
232,URY,34
233,VEN,34
234,BHR,35
235,EGY,35
236,IRN,35
237,IRQ,35
238,ISR,35
239,JOR,35
240,KWT,35
241,LBN,35
242,OMN,35
243,PSE,35
244,QAT,35
245,SAU,35
246,SYR,35
247,ARE,35
248,YEM,35
249,ZAF,7
