,country,emission
0,AUT,2711
1,AUS,1788
2,BEL,14850
3,BGR,223
4,BRA,1950
5,CAN,2109
6,CHE,5830
7,CHN,7706
8,CYP,96
9,CZE,2038
10,DEU,43044
11,DNK,2261
12,EST,91
13,ESP,15814
14,FIN,1623
15,FRA,1325103
16,GBR,24633
17,GRC,1188
18,HRV,254
19,HUN,1430
20,IDN,657
21,IRL,3926
22,IND,2304
23,ITA,22446
24,JPN,5146
25,KOR,1870
26,LTU,239
27,LUX,1867
28,LVA,78
29,MLT,128
30,MEX,722
31,NLD,8498
32,NOR,8886
33,POL,3144
34,PRT,2157
35,ROU,598
36,RUS,5486
37,SWE,4297
38,SVN,542
39,SVK,693
40,TUR,2223
41,TWN,1806
42,USA,23352
43,AFG,16415
44,ASM,16415
45,ATA,16415
46,ARM,16415
47,AZE,16415
48,BGD,16415
49,BTN,16415
50,BVT,16415
51,IOT,16415
52,BRN,16415
53,KHM,16415
54,CXR,16415
55,CCK,16415
56,COK,16415
57,FJI,16415
58,PYF,16415
59,GEO,16415
60,GUM,16415
61,HMD,16415
62,HKG,16415
63,KAZ,16415
64,KIR,16415
65,KGZ,16415
66,LAO,16415
67,MAC,16415
68,MYS,16415
69,MDV,16415
70,MHL,16415
71,FSM,16415
72,MNG,16415
73,MMR,16415
74,NRU,16415
75,NPL,16415
76,NCL,16415
77,NZL,16415
78,NIU,16415
79,NFK,16415
80,PRK,16415
81,MNP,16415
82,PAK,16415
83,PLW,16415
84,PNG,16415
85,PHL,16415
86,PCN,16415
87,WSM,16415
88,SGP,16415
89,SLB,16415
90,SGS,16415
91,LKA,16415
92,TJK,16415
93,THA,16415
94,TLS,16415
95,TKL,16415
96,TON,16415
97,TKM,16415
98,TUV,16415
99,UMI,16415
100,UZB,16415
101,VUT,16415
102,VNM,16415
103,WLF,16415
104,ALA,691
105,ALB,691
106,AND,691
107,BLR,691
108,BIH,691
109,FRO,691
110,GIB,691
111,GGY,691
112,ISL,691
113,IMN,691
114,JEY,691
115,XKX,691
116,LIE,691
117,MKD,691
118,MDA,691
119,MCO,691
120,MNE,691
121,SMR,691
122,SRB,691
123,SJM,691
124,UKR,691
125,VAT,691
126,DZA,15746
127,AGO,15746
128,BEN,15746
129,BWA,15746
130,BFA,15746
131,BDI,15746
132,CPV,15746
133,CMR,15746
134,CAF,15746
135,TCD,15746
136,COM,15746
137,COG,15746
138,CIV,15746
139,DJI,15746
140,COD,15746
141,GNQ,15746
142,ERI,15746
143,SWZ,15746
144,ETH,15746
145,ATF,15746
146,GAB,15746
147,GMB,15746
148,GHA,15746
149,GIN,15746
150,GNB,15746
151,KEN,15746
152,LSO,15746
153,LBR,15746
154,LBY,15746
155,MDG,15746
156,MWI,15746
157,MLI,15746
158,MRT,15746
159,MUS,15746
160,MYT,15746
161,MAR,15746
162,MOZ,15746
163,NAM,15746
164,NER,15746
165,NGA,15746
166,REU,15746
167,RWA,15746
168,STP,15746
169,SEN,15746
170,SYC,15746
171,SLE,15746
172,SOM,15746
173,SSD,15746
174,SHN,15746
175,SDN,15746
176,TZA,15746
177,TGO,15746
178,TUN,15746
179,UGA,15746
180,ESH,15746
181,ZMB,15746
182,ZWE,15746
183,AIA,6862
184,ATG,6862
185,ARG,6862
186,ABW,6862
187,BHS,6862
188,BRB,6862
189,BLZ,6862
190,BMU,6862
191,BOL,6862
192,BES,6862
193,VGB,6862
194,CYM,6862
195,CHL,6862
196,COL,6862
197,CRI,6862
198,CUB,6862
199,CUW,6862
200,DMA,6862
201,DOM,6862
202,ECU,6862
203,SLV,6862
204,FLK,6862
205,GUF,6862
206,GRL,6862
207,GRD,6862
208,GLP,6862
209,GTM,6862
210,GUY,6862
211,HTI,6862
212,HND,6862
213,JAM,6862
214,MTQ,6862
215,MSR,6862
216,NIC,6862
217,PAN,6862
218,PRY,6862
219,PER,6862
220,PRI,6862
221,MAF,6862
222,SXM,6862
223,BLM,6862
224,KNA,6862
225,LCA,6862
226,SPM,6862
227,VCT,6862
228,SUR,6862
229,TTO,6862
230,TCA,6862
231,VIR,6862
232,URY,6862
233,VEN,6862
234,BHR,16035
235,EGY,16035
236,IRN,16035
237,IRQ,16035
238,ISR,16035
239,JOR,16035
240,KWT,16035
241,LBN,16035
242,OMN,16035
243,PSE,16035
244,QAT,16035
245,SAU,16035
246,SYR,16035
247,ARE,16035
248,YEM,16035
249,ZAF,865
