,country,emission,emission_log
0,AUT,726,6.587550014824796
1,AUS,45,3.8066624897703196
2,BEL,231,5.442417710521793
3,BGR,31,3.4339872044851463
4,BRA,48,3.871201010907891
5,CAN,41,3.713572066704308
6,CHE,149,5.003946305945459
7,CHN,324,5.780743515792329
8,CYP,11,2.3978952727983707
9,CZE,3068,8.028781162487148
10,DEU,4047,8.305731144875866
11,DNK,93,4.532599493153256
12,EST,11,2.3978952727983707
13,ESP,301,5.707110264748875
14,FIN,89,4.48863636973214
15,FRA,722,6.582025138892826
16,GBR,298,5.697093486505405
17,GRC,67,4.204692619390966
18,HRV,37,3.6109179126442243
19,HUN,1190,7.081708586105575
20,IDN,41,3.713572066704308
21,IRL,107,4.672828834461906
22,IND,73,4.290459441148391
23,ITA,849,6.744059186311348
24,JPN,195,5.272999558563747
25,KOR,448,6.104793232414985
26,LTU,15,2.70805020110221
27,LUX,48,3.871201010907891
28,LVA,13,2.5649493574615367
29,MLT,11,2.3978952727983707
30,MEX,26,3.258096538021482
31,NLD,212,5.356586274672012
32,NOR,72,4.276666119016055
33,POL,970,6.877296071497429
34,PRT,69,4.23410650459726
35,ROU,76,4.330733340286331
36,RUS,2131,7.664346632098617
37,SWE,175,5.1647859739235145
38,SVN,147,4.990432586778736
39,SVK,39027,10.57200899326967
40,TUR,118,4.770684624465665
41,TWN,120,4.787491742782046
42,USA,280,5.634789603169249
43,AFG,361,5.8888779583328805
44,ASM,361,5.8888779583328805
45,ATA,361,5.8888779583328805
46,ARM,361,5.8888779583328805
47,AZE,361,5.8888779583328805
48,BGD,361,5.8888779583328805
49,BTN,361,5.8888779583328805
50,BVT,361,5.8888779583328805
51,IOT,361,5.8888779583328805
52,BRN,361,5.8888779583328805
53,KHM,361,5.8888779583328805
54,CXR,361,5.8888779583328805
55,CCK,361,5.8888779583328805
56,COK,361,5.8888779583328805
57,FJI,361,5.8888779583328805
58,PYF,361,5.8888779583328805
59,GEO,361,5.8888779583328805
60,GUM,361,5.8888779583328805
61,HMD,361,5.8888779583328805
62,HKG,361,5.8888779583328805
63,KAZ,361,5.8888779583328805
64,KIR,361,5.8888779583328805
65,KGZ,361,5.8888779583328805
66,LAO,361,5.8888779583328805
67,MAC,361,5.8888779583328805
68,MYS,361,5.8888779583328805
69,MDV,361,5.8888779583328805
70,MHL,361,5.8888779583328805
71,FSM,361,5.8888779583328805
72,MNG,361,5.8888779583328805
73,MMR,361,5.8888779583328805
74,NRU,361,5.8888779583328805
75,NPL,361,5.8888779583328805
76,NCL,361,5.8888779583328805
77,NZL,361,5.8888779583328805
78,NIU,361,5.8888779583328805
79,NFK,361,5.8888779583328805
80,PRK,361,5.8888779583328805
81,MNP,361,5.8888779583328805
82,PAK,361,5.8888779583328805
83,PLW,361,5.8888779583328805
84,PNG,361,5.8888779583328805
85,PHL,361,5.8888779583328805
86,PCN,361,5.8888779583328805
87,WSM,361,5.8888779583328805
88,SGP,361,5.8888779583328805
89,SLB,361,5.8888779583328805
90,SGS,361,5.8888779583328805
91,LKA,361,5.8888779583328805
92,TJK,361,5.8888779583328805
93,THA,361,5.8888779583328805
94,TLS,361,5.8888779583328805
95,TKL,361,5.8888779583328805
96,TON,361,5.8888779583328805
97,TKM,361,5.8888779583328805
98,TUV,361,5.8888779583328805
99,UMI,361,5.8888779583328805
100,UZB,361,5.8888779583328805
101,VUT,361,5.8888779583328805
102,VNM,361,5.8888779583328805
103,WLF,361,5.8888779583328805
104,ALA,390,5.966146739123692
105,ALB,390,5.966146739123692
106,AND,390,5.966146739123692
107,BLR,390,5.966146739123692
108,BIH,390,5.966146739123692
109,FRO,390,5.966146739123692
110,GIB,390,5.966146739123692
111,GGY,390,5.966146739123692
112,ISL,390,5.966146739123692
113,IMN,390,5.966146739123692
114,JEY,390,5.966146739123692
115,XKX,390,5.966146739123692
116,LIE,390,5.966146739123692
117,MKD,390,5.966146739123692
118,MDA,390,5.966146739123692
119,MCO,390,5.966146739123692
120,MNE,390,5.966146739123692
121,SMR,390,5.966146739123692
122,SRB,390,5.966146739123692
123,SJM,390,5.966146739123692
124,UKR,390,5.966146739123692
125,VAT,390,5.966146739123692
126,DZA,197,5.2832037287379885
127,AGO,197,5.2832037287379885
128,BEN,197,5.2832037287379885
129,BWA,197,5.2832037287379885
130,BFA,197,5.2832037287379885
131,BDI,197,5.2832037287379885
132,CPV,197,5.2832037287379885
133,CMR,197,5.2832037287379885
134,CAF,197,5.2832037287379885
135,TCD,197,5.2832037287379885
