,country,emission
0,AUT,179612
1,AUS,544525
2,BEL,240993
3,BGR,22754
4,BRA,674388
5,CAN,781743
6,CHE,275983
7,CHN,3816020
8,CYP,6694
9,CZE,146477
10,DEU,1726751
11,DNK,140661
12,EST,9691
13,ESP,888577
14,FIN,135382
15,FRA,1325103
16,GBR,1382025
17,GRC,86814
18,HRV,19658
19,HUN,65057
20,IDN,204235
21,IRL,135031
22,IND,638566
23,ITA,1344092
24,JPN,3070401
25,KOR,894240
26,LTU,12223
27,LUX,41457
28,LVA,13070
29,MLT,3223
30,MEX,380617
31,NLD,354223
32,NOR,166988
33,POL,223839
34,PRT,115626
35,ROU,65504
36,RUS,502177
37,SWE,239501
38,SVN,21068
39,SVK,39027
40,TUR,343473
41,TWN,288073
42,USA,8474822
43,AFG,846309
44,ASM,846309
45,ATA,846309
46,ARM,846309
47,AZE,846309
48,BGD,846309
49,BTN,846309
50,BVT,846309
51,IOT,846309
52,BRN,846309
53,KHM,846309
54,CXR,846309
55,CCK,846309
56,COK,846309
57,FJI,846309
58,PYF,846309
59,GEO,846309
60,GUM,846309
61,HMD,846309
62,HKG,846309
63,KAZ,846309
64,KIR,846309
65,KGZ,846309
66,LAO,846309
67,MAC,846309
68,MYS,846309
69,MDV,846309
70,MHL,846309
71,FSM,846309
72,MNG,846309
73,MMR,846309
74,NRU,846309
75,NPL,846309
76,NCL,846309
77,NZL,846309
78,NIU,846309
79,NFK,846309
80,PRK,846309
81,MNP,846309
82,PAK,846309
83,PLW,846309
84,PNG,846309
85,PHL,846309
86,PCN,846309
87,WSM,846309
88,SGP,846309
89,SLB,846309
90,SGS,846309
91,LKA,846309
92,TJK,846309
93,THA,846309
94,TLS,846309
95,TKL,846309
96,TON,846309
97,TKM,846309
98,TUV,846309
99,UMI,846309
100,UZB,846309
101,VUT,846309
102,VNM,846309
103,WLF,846309
104,ALA,228241
105,ALB,228241
106,AND,228241
107,BLR,228241
108,BIH,228241
109,FRO,228241
110,GIB,228241
111,GGY,228241
112,ISL,228241
113,IMN,228241
114,JEY,228241
115,XKX,228241
116,LIE,228241
117,MKD,228241
118,MDA,228241
119,MCO,228241
120,MNE,228241
121,SMR,228241
122,SRB,228241
123,SJM,228241
124,UKR,228241
125,VAT,228241
126,DZA,428713
127,AGO,428713
128,BEN,428713
129,BWA,428713
130,BFA,428713
131,BDI,428713
132,CPV,428713
133,CMR,428713
134,CAF,428713
135,TCD,428713
136,COM,428713
137,COG,428713
138,CIV,428713
139,DJI,428713
140,COD,428713
141,GNQ,428713
142,ERI,428713
143,SWZ,428713
144,ETH,428713
145,ATF,428713
146,GAB,428713
147,GMB,428713
148,GHA,428713
149,GIN,428713
150,GNB,428713
151,KEN,428713
152,LSO,428713
153,LBR,428713
154,LBY,428713
155,MDG,428713
156,MWI,428713
157,MLI,428713
158,MRT,428713
159,MUS,428713
160,MYT,428713
161,MAR,428713
162,MOZ,428713
163,NAM,428713
164,NER,428713
165,NGA,428713
166,REU,428713
167,RWA,428713
168,STP,428713
169,SEN,428713
170,SYC,428713
171,SLE,428713
172,SOM,428713
173,SSD,428713
174,SHN,428713
175,SDN,428713
176,TZA,428713
177,TGO,428713
178,TUN,428713
179,UGA,428713
180,ESH,428713
181,ZMB,428713
182,ZWE,428713
183,AIA,743668
184,ATG,743668
185,ARG,743668
186,ABW,743668
187,BHS,743668
188,BRB,743668
189,BLZ,743668
190,BMU,743668
191,BOL,743668
192,BES,743668
193,VGB,743668
194,CYM,743668
195,CHL,743668
196,COL,743668
197,CRI,743668
198,CUB,743668
199,CUW,743668
200,DMA,743668
201,DOM,743668
202,ECU,743668
203,SLV,743668
204,FLK,743668
205,GUF,743668
206,GRL,743668
207,GRD,743668
208,GLP,743668
209,GTM,743668
210,GUY,743668
211,HTI,743668
212,HND,743668
213,JAM,743668
214,MTQ,743668
215,MSR,743668
216,NIC,743668
217,PAN,743668
218,PRY,743668
219,PER,743668
220,PRI,743668
221,MAF,743668
222,SXM,743668
223,BLM,743668
224,KNA,743668
225,LCA,743668
226,SPM,743668
227,VCT,743668
228,SUR,743668
229,TTO,743668
230,TCA,743668
231,VIR,743668
232,URY,743668
233,VEN,743668
234,BHR,631639
235,EGY,631639
236,IRN,631639
237,IRQ,631639
238,ISR,631639
239,JOR,631639
240,KWT,631639
241,LBN,631639
242,OMN,631639
243,PSE,631639
244,QAT,631639
245,SAU,631639
246,SYR,631639
247,ARE,631639
248,YEM,631639
249,ZAF,226353
