,country,emission
0,AUT,2366
1,AUS,3515
2,BEL,7618
3,BGR,349
4,BRA,2847
5,CAN,4103
6,CHE,3085
7,CHN,28275
8,CYP,449
9,CZE,1041
10,DEU,13724
11,DNK,2123
12,EST,146
13,ESP,11550
14,FIN,1177
15,FRA,14937
16,GBR,10861
17,GRC,3651
18,HRV,243
19,HUN,922
20,IDN,3033
21,IRL,2870
22,IND,31361
23,ITA,17194
24,JPN,46936
25,KOR,33594
26,LTU,120
27,LUX,1348
28,LVA,116
29,MLT,390
30,MEX,2007
31,NLD,10713
32,NOR,1151
33,POL,1619
34,PRT,1347
35,ROU,1338
36,RUS,3100
37,SWE,2085
38,SVN,221
39,SVK,241
40,TUR,7823
41,TWN,7307
42,USA,44670
43,AFG,32036
44,ASM,32036
45,ATA,32036
46,ARM,32036
47,AZE,32036
48,BGD,32036
49,BTN,32036
50,BVT,32036
51,IOT,32036
52,BRN,32036
53,KHM,32036
54,CXR,32036
55,CCK,32036
56,COK,32036
57,FJI,32036
58,PYF,32036
59,GEO,32036
60,GUM,32036
61,HMD,32036
62,HKG,32036
63,KAZ,32036
64,KIR,32036
65,KGZ,32036
66,LAO,32036
67,MAC,32036
68,MYS,32036
69,MDV,32036
70,MHL,32036
71,FSM,32036
72,MNG,32036
73,MMR,32036
74,NRU,32036
75,NPL,32036
76,NCL,32036
77,NZL,32036
78,NIU,32036
79,NFK,32036
80,PRK,32036
81,MNP,32036
82,PAK,32036
83,PLW,32036
84,PNG,32036
85,PHL,32036
86,PCN,32036
87,WSM,32036
88,SGP,32036
89,SLB,32036
90,SGS,32036
91,LKA,32036
92,TJK,32036
93,THA,32036
94,TLS,32036
95,TKL,32036
96,TON,32036
97,TKM,32036
98,TUV,32036
99,UMI,32036
100,UZB,32036
101,VUT,32036
102,VNM,32036
103,WLF,32036
104,ALA,2368
105,ALB,2368
106,AND,2368
107,BLR,2368
108,BIH,2368
109,FRO,2368
110,GIB,2368
111,GGY,2368
112,ISL,2368
113,IMN,2368
114,JEY,2368
115,XKX,2368
116,LIE,2368
117,MKD,2368
118,MDA,2368
119,MCO,2368
120,MNE,2368
121,SMR,2368
122,SRB,2368
123,SJM,2368
124,UKR,2368
125,VAT,2368
126,DZA,12887
127,AGO,12887
128,BEN,12887
129,BWA,12887
130,BFA,12887
131,BDI,12887
132,CPV,12887
133,CMR,12887
134,CAF,12887
135,TCD,12887
136,COM,12887
137,COG,12887
138,CIV,12887
139,DJI,12887
140,COD,12887
141,GNQ,12887
142,ERI,12887
143,SWZ,12887
144,ETH,12887
145,ATF,12887
146,GAB,12887
147,GMB,12887
148,GHA,12887
149,GIN,12887
150,GNB,12887
151,KEN,12887
152,LSO,12887
153,LBR,12887
154,LBY,12887
155,MDG,12887
156,MWI,12887
157,MLI,12887
158,MRT,12887
159,MUS,12887
160,MYT,12887
161,MAR,12887
162,MOZ,12887
163,NAM,12887
164,NER,12887
165,NGA,12887
166,REU,12887
167,RWA,12887
168,STP,12887
169,SEN,12887
170,SYC,12887
171,SLE,12887
172,SOM,12887
173,SSD,12887
174,SHN,12887
175,SDN,12887
176,TZA,12887
177,TGO,12887
178,TUN,12887
179,UGA,12887
180,ESH,12887
181,ZMB,12887
182,ZWE,12887
183,AIA,3194
184,ATG,3194
185,ARG,3194
186,ABW,3194
187,BHS,3194
188,BRB,3194
189,BLZ,3194
190,BMU,3194
191,BOL,3194
192,BES,3194
193,VGB,3194
194,CYM,3194
195,CHL,3194
196,COL,3194
197,CRI,3194
198,CUB,3194
199,CUW,3194
200,DMA,3194
201,DOM,3194
202,ECU,3194
203,SLV,3194
204,FLK,3194
205,GUF,3194
206,GRL,3194
207,GRD,3194
208,GLP,3194
209,GTM,3194
210,GUY,3194
211,HTI,3194
212,HND,3194
213,JAM,3194
214,MTQ,3194
215,MSR,3194
216,NIC,3194
217,PAN,3194
218,PRY,3194
219,PER,3194
220,PRI,3194
221,MAF,3194
222,SXM,3194
223,BLM,3194
224,KNA,3194
225,LCA,3194
226,SPM,3194
227,VCT,3194
228,SUR,3194
229,TTO,3194
230,TCA,3194
231,VIR,3194
232,URY,3194
233,VEN,3194
234,BHR,730461
235,EGY,730461
236,IRN,730461
237,IRQ,730461
238,ISR,730461
239,JOR,730461
240,KWT,730461
241,LBN,730461
242,OMN,730461
243,PSE,730461
244,QAT,730461
245,SAU,730461
246,SYR,730461
247,ARE,730461
248,YEM,730461
249,ZAF,5352
