,country,emission
0,AUT,998
1,AUS,8500
2,BEL,1294
3,BGR,100
4,BRA,1658
5,CAN,1734
6,CHE,1652
7,CHN,33640
8,CYP,71
9,CZE,286
10,DEU,7206
11,DNK,749
12,EST,59
13,ESP,1875
14,FIN,853
15,FRA,4404
16,GBR,4231
17,GRC,570
18,HRV,156
19,HUN,340
20,IDN,4182
21,IRL,1201
22,IND,3191
23,ITA,2913
24,JPN,28839
25,KOR,945130
26,LTU,27
27,LUX,264
28,LVA,47
29,MLT,101
30,MEX,811
31,NLD,2291
32,NOR,1559
33,POL,456
34,PRT,378
35,ROU,105
36,RUS,5676
37,SWE,1532
38,SVN,95
39,SVK,108
40,TUR,632
41,TWN,8533
42,USA,22351
43,AFG,14217
44,ASM,14217
45,ATA,14217
46,ARM,14217
47,AZE,14217
48,BGD,14217
49,BTN,14217
50,BVT,14217
51,IOT,14217
52,BRN,14217
53,KHM,14217
54,CXR,14217
55,CCK,14217
56,COK,14217
57,FJI,14217
58,PYF,14217
59,GEO,14217
60,GUM,14217
61,HMD,14217
62,HKG,14217
63,KAZ,14217
64,KIR,14217
65,KGZ,14217
66,LAO,14217
67,MAC,14217
68,MYS,14217
69,MDV,14217
70,MHL,14217
71,FSM,14217
72,MNG,14217
73,MMR,14217
74,NRU,14217
75,NPL,14217
76,NCL,14217
77,NZL,14217
78,NIU,14217
79,NFK,14217
80,PRK,14217
81,MNP,14217
82,PAK,14217
83,PLW,14217
84,PNG,14217
85,PHL,14217
86,PCN,14217
87,WSM,14217
88,SGP,14217
89,SLB,14217
90,SGS,14217
91,LKA,14217
92,TJK,14217
93,THA,14217
94,TLS,14217
95,TKL,14217
96,TON,14217
97,TKM,14217
98,TUV,14217
99,UMI,14217
100,UZB,14217
101,VUT,14217
102,VNM,14217
103,WLF,14217
104,ALA,295
105,ALB,295
106,AND,295
107,BLR,295
108,BIH,295
109,FRO,295
110,GIB,295
111,GGY,295
112,ISL,295
113,IMN,295
114,JEY,295
115,XKX,295
116,LIE,295
117,MKD,295
118,MDA,295
119,MCO,295
120,MNE,295
121,SMR,295
122,SRB,295
123,SJM,295
124,UKR,295
125,VAT,295
126,DZA,2635
127,AGO,2635
128,BEN,2635
129,BWA,2635
130,BFA,2635
131,BDI,2635
132,CPV,2635
133,CMR,2635
134,CAF,2635
135,TCD,2635
136,COM,2635
137,COG,2635
138,CIV,2635
139,DJI,2635
140,COD,2635
141,GNQ,2635
142,ERI,2635
143,SWZ,2635
144,ETH,2635
145,ATF,2635
146,GAB,2635
147,GMB,2635
148,GHA,2635
149,GIN,2635
150,GNB,2635
151,KEN,2635
152,LSO,2635
153,LBR,2635
154,LBY,2635
155,MDG,2635
156,MWI,2635
157,MLI,2635
158,MRT,2635
159,MUS,2635
160,MYT,2635
161,MAR,2635
162,MOZ,2635
163,NAM,2635
164,NER,2635
165,NGA,2635
166,REU,2635
167,RWA,2635
168,STP,2635
169,SEN,2635
170,SYC,2635
171,SLE,2635
172,SOM,2635
173,SSD,2635
174,SHN,2635
175,SDN,2635
176,TZA,2635
177,TGO,2635
178,TUN,2635
179,UGA,2635
180,ESH,2635
181,ZMB,2635
182,ZWE,2635
183,AIA,5081
184,ATG,5081
185,ARG,5081
186,ABW,5081
187,BHS,5081
188,BRB,5081
189,BLZ,5081
190,BMU,5081
191,BOL,5081
192,BES,5081
193,VGB,5081
194,CYM,5081
195,CHL,5081
196,COL,5081
197,CRI,5081
198,CUB,5081
199,CUW,5081
200,DMA,5081
201,DOM,5081
202,ECU,5081
203,SLV,5081
204,FLK,5081
205,GUF,5081
206,GRL,5081
207,GRD,5081
208,GLP,5081
209,GTM,5081
210,GUY,5081
211,HTI,5081
212,HND,5081
213,JAM,5081
214,MTQ,5081
215,MSR,5081
216,NIC,5081
217,PAN,5081
218,PRY,5081
219,PER,5081
220,PRI,5081
221,MAF,5081
222,SXM,5081
223,BLM,5081
224,KNA,5081
225,LCA,5081
226,SPM,5081
227,VCT,5081
228,SUR,5081
229,TTO,5081
230,TCA,5081
231,VIR,5081
232,URY,5081
233,VEN,5081
234,BHR,33594
235,EGY,33594
236,IRN,33594
237,IRQ,33594
238,ISR,33594
239,JOR,33594
240,KWT,33594
241,LBN,33594
242,OMN,33594
243,PSE,33594
244,QAT,33594
245,SAU,33594
246,SYR,33594
247,ARE,33594
248,YEM,33594
249,ZAF,591
