,country,emission,emission_log
0,AUT,18,2.8903717578961645
1,AUS,23,3.1354942159291497
2,BEL,24,3.1780538303479458
3,BGR,23,3.1354942159291497
4,BRA,22,3.091042453358316
5,CAN,26,3.258096538021482
6,CHE,10,2.302585092994046
7,CHN,98,4.584967478670572
8,CYP,7468,8.918382504661613
9,CZE,15,2.70805020110221
10,DEU,43,3.7612001156935624
11,DNK,25,3.2188758248682006
12,EST,3,1.0986122886681098
13,ESP,28,3.332204510175204
14,FIN,20,2.995732273553991
15,FRA,66,4.189654742026425
16,GBR,51,3.9318256327243257
17,GRC,118,4.770684624465665
18,HRV,5,1.6094379124341003
19,HUN,21,3.044522437723423
20,IDN,18,2.8903717578961645
21,IRL,32,3.4657359027997265
22,IND,43,3.7612001156935624
23,ITA,42,3.7376696182833684
24,JPN,40,3.6888794541139363
25,KOR,53,3.970291913552122
26,LTU,2,0.6931471805599453
27,LUX,0,-inf
28,LVA,6,1.791759469228055
29,MLT,2,0.6931471805599453
30,MEX,26,3.258096538021482
31,NLD,1,0.0
32,NOR,15,2.70805020110221
33,POL,20,2.995732273553991
34,PRT,16,2.772588722239781
35,ROU,16,2.772588722239781
36,RUS,32,3.4657359027997265
37,SWE,28,3.332204510175204
38,SVN,6,1.791759469228055
39,SVK,9,2.1972245773362196
40,TUR,55,4.007333185232471
41,TWN,33,3.4965075614664802
42,USA,46,3.828641396489095
43,AFG,48,3.871201010907891
44,ASM,48,3.871201010907891
45,ATA,48,3.871201010907891
46,ARM,48,3.871201010907891
47,AZE,48,3.871201010907891
48,BGD,48,3.871201010907891
49,BTN,48,3.871201010907891
50,BVT,48,3.871201010907891
51,IOT,48,3.871201010907891
52,BRN,48,3.871201010907891
53,KHM,48,3.871201010907891
54,CXR,48,3.871201010907891
55,CCK,48,3.871201010907891
56,COK,48,3.871201010907891
57,FJI,48,3.871201010907891
58,PYF,48,3.871201010907891
59,GEO,48,3.871201010907891
60,GUM,48,3.871201010907891
61,HMD,48,3.871201010907891
62,HKG,48,3.871201010907891
63,KAZ,48,3.871201010907891
64,KIR,48,3.871201010907891
65,KGZ,48,3.871201010907891
66,LAO,48,3.871201010907891
67,MAC,48,3.871201010907891
68,MYS,48,3.871201010907891
69,MDV,48,3.871201010907891
70,MHL,48,3.871201010907891
71,FSM,48,3.871201010907891
72,MNG,48,3.871201010907891
73,MMR,48,3.871201010907891
74,NRU,48,3.871201010907891
75,NPL,48,3.871201010907891
76,NCL,48,3.871201010907891
77,NZL,48,3.871201010907891
78,NIU,48,3.871201010907891
79,NFK,48,3.871201010907891
80,PRK,48,3.871201010907891
81,MNP,48,3.871201010907891
82,PAK,48,3.871201010907891
83,PLW,48,3.871201010907891
84,PNG,48,3.871201010907891
85,PHL,48,3.871201010907891
86,PCN,48,3.871201010907891
87,WSM,48,3.871201010907891
88,SGP,48,3.871201010907891
89,SLB,48,3.871201010907891
90,SGS,48,3.871201010907891
91,LKA,48,3.871201010907891
92,TJK,48,3.871201010907891
93,THA,48,3.871201010907891
94,TLS,48,3.871201010907891
95,TKL,48,3.871201010907891
96,TON,48,3.871201010907891
97,TKM,48,3.871201010907891
98,TUV,48,3.871201010907891
99,UMI,48,3.871201010907891
100,UZB,48,3.871201010907891
101,VUT,48,3.871201010907891
102,VNM,48,3.871201010907891
103,WLF,48,3.871201010907891
104,ALA,9,2.1972245773362196
105,ALB,9,2.1972245773362196
106,AND,9,2.1972245773362196
107,BLR,9,2.1972245773362196
108,BIH,9,2.1972245773362196
109,FRO,9,2.1972245773362196
110,GIB,9,2.1972245773362196
111,GGY,9,2.1972245773362196
112,ISL,9,2.1972245773362196
113,IMN,9,2.1972245773362196
114,JEY,9,2.1972245773362196
115,XKX,9,2.1972245773362196
116,LIE,9,2.1972245773362196
117,MKD,9,2.1972245773362196
118,MDA,9,2.1972245773362196
119,MCO,9,2.1972245773362196
120,MNE,9,2.1972245773362196
121,SMR,9,2.1972245773362196
122,SRB,9,2.1972245773362196
123,SJM,9,2.1972245773362196
124,UKR,9,2.1972245773362196
125,VAT,9,2.1972245773362196
126,DZA,22,3.091042453358316
127,AGO,22,3.091042453358316
128,BEN,22,3.091042453358316
129,BWA,22,3.091042453358316
130,BFA,22,3.091042453358316
131,BDI,22,3.091042453358316
132,CPV,22,3.091042453358316
133,CMR,22,3.091042453358316
134,CAF,22,3.091042453358316
135,TCD,22,3.091042453358316
136,COM,22,3.091042453358316
137,COG,22,3.091042453358316
138,CIV,22,3.091042453358316
139,DJI,22,3.091042453358316
140,COD,22,3.091042453358316
141,GNQ,22,3.091042453358316
142,ERI,22,3.091042453358316
143,SWZ,22,3.091042453358316
144,ETH,22,3.091042453358316
145,ATF,22,3.091042453358316
146,GAB,22,3.091042453358316
147,GMB,22,3.091042453358316
148,GHA,22,3.091042453358316
149,GIN,22,3.091042453358316
150,GNB,22,3.091042453358316
151,KEN,22,3.091042453358316
152,LSO,22,3.091042453358316
153,LBR,22,3.091042453358316
154,LBY,22,3.091042453358316
155,MDG,22,3.091042453358316
156,MWI,22,3.091042453358316
157,MLI,22,3.091042453358316
158,MRT,22,3.091042453358316
159,MUS,22,3.091042453358316
160,MYT,22,3.091042453358316
161,MAR,22,3.091042453358316
162,MOZ,22,3.091042453358316
163,NAM,22,3.091042453358316
164,NER,22,3.091042453358316
165,NGA,22,3.091042453358316
166,REU,22,3.091042453358316
167,RWA,22,3.091042453358316
168,STP,22,3.091042453358316
169,SEN,22,3.091042453358316
170,SYC,22,3.091042453358316
171,SLE,22,3.091042453358316
172,SOM,22,3.091042453358316
173,SSD,22,3.091042453358316
174,SHN,22,3.091042453358316
175,SDN,22,3.091042453358316
176,TZA,22,3.091042453358316
177,TGO,22,3.091042453358316
178,TUN,22,3.091042453358316
179,UGA,22,3.091042453358316
180,ESH,22,3.091042453358316
181,ZMB,22,3.091042453358316
182,ZWE,22,3.091042453358316
183,AIA,29,3.367295829986474
184,ATG,29,3.367295829986474
185,ARG,29,3.367295829986474
186,ABW,29,3.367295829986474
187,BHS,29,3.367295829986474
188,BRB,29,3.367295829986474
189,BLZ,29,3.367295829986474
190,BMU,29,3.367295829986474
191,BOL,29,3.367295829986474
192,BES,29,3.367295829986474
193,VGB,29,3.367295829986474
194,CYM,29,3.367295829986474
195,CHL,29,3.367295829986474
196,COL,29,3.367295829986474
197,CRI,29,3.367295829986474
198,CUB,29,3.367295829986474
199,CUW,29,3.367295829986474
200,DMA,29,3.367295829986474
201,DOM,29,3.367295829986474
202,ECU,29,3.367295829986474
203,SLV,29,3.367295829986474
204,FLK,29,3.367295829986474
205,GUF,29,3.367295829986474
206,GRL,29,3.367295829986474
207,GRD,29,3.367295829986474
208,GLP,29,3.367295829986474
209,GTM,29,3.367295829986474
210,GUY,29,3.367295829986474
211,HTI,29,3.367295829986474
212,HND,29,3.367295829986474
213,JAM,29,3.367295829986474
214,MTQ,29,3.367295829986474
215,MSR,29,3.367295829986474
216,NIC,29,3.367295829986474
217,PAN,29,3.367295829986474
218,PRY,29,3.367295829986474
219,PER,29,3.367295829986474
220,PRI,29,3.367295829986474
221,MAF,29,3.367295829986474
222,SXM,29,3.367295829986474
223,BLM,29,3.367295829986474
224,KNA,29,3.367295829986474
225,LCA,29,3.367295829986474
226,SPM,29,3.367295829986474
227,VCT,29,3.367295829986474
228,SUR,29,3.367295829986474
229,TTO,29,3.367295829986474
230,TCA,29,3.367295829986474
231,VIR,29,3.367295829986474
232,URY,29,3.367295829986474
233,VEN,29,3.367295829986474
234,BHR,73,4.290459441148391
235,EGY,73,4.290459441148391
236,IRN,73,4.290459441148391
237,IRQ,73,4.290459441148391
238,ISR,73,4.290459441148391
239,JOR,73,4.290459441148391
240,KWT,73,4.290459441148391
241,LBN,73,4.290459441148391
242,OMN,73,4.290459441148391
243,PSE,73,4.290459441148391
244,QAT,73,4.290459441148391
245,SAU,73,4.290459441148391
246,SYR,73,4.290459441148391
247,ARE,73,4.290459441148391
248,YEM,73,4.290459441148391
249,ZAF,0,-inf
