,country,emission
0,AUT,452
1,AUS,890
2,BEL,2572
3,BGR,130
4,BRA,2359
5,CAN,862
6,CHE,1316
7,CHN,4000
8,CYP,30
9,CZE,543
10,DEU,7443
11,DNK,742
12,EST,46
13,ESP,2674
14,FIN,556
15,FRA,4307
16,GBR,7860
17,GRC,431
18,HRV,72
19,HUN,398
20,IDN,254
21,IRL,155297
22,IND,783
23,ITA,2619
24,JPN,1841
25,KOR,1234
26,LTU,28
27,LUX,431
28,LVA,37
29,MLT,28
30,MEX,655
31,NLD,1549
32,NOR,735
33,POL,529
34,PRT,359
35,ROU,225
36,RUS,928
37,SWE,1033
38,SVN,70
39,SVK,144
40,TUR,546
41,TWN,558
42,USA,14721
43,AFG,4111
44,ASM,4111
45,ATA,4111
46,ARM,4111
47,AZE,4111
48,BGD,4111
49,BTN,4111
50,BVT,4111
51,IOT,4111
52,BRN,4111
53,KHM,4111
54,CXR,4111
55,CCK,4111
56,COK,4111
57,FJI,4111
58,PYF,4111
59,GEO,4111
60,GUM,4111
61,HMD,4111
62,HKG,4111
63,KAZ,4111
64,KIR,4111
65,KGZ,4111
66,LAO,4111
67,MAC,4111
68,MYS,4111
69,MDV,4111
70,MHL,4111
71,FSM,4111
72,MNG,4111
73,MMR,4111
74,NRU,4111
75,NPL,4111
76,NCL,4111
77,NZL,4111
78,NIU,4111
79,NFK,4111
80,PRK,4111
81,MNP,4111
82,PAK,4111
83,PLW,4111
84,PNG,4111
85,PHL,4111
86,PCN,4111
87,WSM,4111
88,SGP,4111
89,SLB,4111
90,SGS,4111
91,LKA,4111
92,TJK,4111
93,THA,4111
94,TLS,4111
95,TKL,4111
96,TON,4111
97,TKM,4111
98,TUV,4111
99,UMI,4111
100,UZB,4111
101,VUT,4111
102,VNM,4111
103,WLF,4111
104,ALA,1101
105,ALB,1101
106,AND,1101
107,BLR,1101
108,BIH,1101
109,FRO,1101
110,GIB,1101
111,GGY,1101
112,ISL,1101
113,IMN,1101
114,JEY,1101
115,XKX,1101
116,LIE,1101
117,MKD,1101
118,MDA,1101
119,MCO,1101
120,MNE,1101
121,SMR,1101
122,SRB,1101
123,SJM,1101
124,UKR,1101
125,VAT,1101
126,DZA,1376
127,AGO,1376
128,BEN,1376
129,BWA,1376
130,BFA,1376
131,BDI,1376
132,CPV,1376
133,CMR,1376
134,CAF,1376
135,TCD,1376
136,COM,1376
137,COG,1376
138,CIV,1376
139,DJI,1376
140,COD,1376
141,GNQ,1376
142,ERI,1376
143,SWZ,1376
144,ETH,1376
145,ATF,1376
146,GAB,1376
147,GMB,1376
148,GHA,1376
149,GIN,1376
150,GNB,1376
151,KEN,1376
152,LSO,1376
153,LBR,1376
154,LBY,1376
155,MDG,1376
156,MWI,1376
157,MLI,1376
158,MRT,1376
159,MUS,1376
160,MYT,1376
161,MAR,1376
162,MOZ,1376
163,NAM,1376
164,NER,1376
165,NGA,1376
166,REU,1376
167,RWA,1376
168,STP,1376
169,SEN,1376
170,SYC,1376
171,SLE,1376
172,SOM,1376
173,SSD,1376
174,SHN,1376
175,SDN,1376
176,TZA,1376
177,TGO,1376
178,TUN,1376
179,UGA,1376
180,ESH,1376
181,ZMB,1376
182,ZWE,1376
183,AIA,2223
184,ATG,2223
185,ARG,2223
186,ABW,2223
187,BHS,2223
188,BRB,2223
189,BLZ,2223
190,BMU,2223
191,BOL,2223
192,BES,2223
193,VGB,2223
194,CYM,2223
195,CHL,2223
196,COL,2223
197,CRI,2223
198,CUB,2223
199,CUW,2223
200,DMA,2223
201,DOM,2223
202,ECU,2223
203,SLV,2223
204,FLK,2223
205,GUF,2223
206,GRL,2223
207,GRD,2223
208,GLP,2223
209,GTM,2223
210,GUY,2223
211,HTI,2223
212,HND,2223
213,JAM,2223
214,MTQ,2223
215,MSR,2223
216,NIC,2223
217,PAN,2223
218,PRY,2223
219,PER,2223
220,PRI,2223
221,MAF,2223
222,SXM,2223
223,BLM,2223
224,KNA,2223
225,LCA,2223
226,SPM,2223
227,VCT,2223
228,SUR,2223
229,TTO,2223
230,TCA,2223
231,VIR,2223
232,URY,2223
233,VEN,2223
234,BHR,2261
235,EGY,2261
236,IRN,2261
237,IRQ,2261
238,ISR,2261
239,JOR,2261
240,KWT,2261
241,LBN,2261
242,OMN,2261
243,PSE,2261
244,QAT,2261
245,SAU,2261
246,SYR,2261
247,ARE,2261
248,YEM,2261
249,ZAF,1360
