,country,emission
0,AUT,313
1,AUS,93
2,BEL,159
3,BGR,31355
4,BRA,115
5,CAN,76
6,CHE,169
7,CHN,575
8,CYP,23
9,CZE,256
10,DEU,1052
11,DNK,106
12,EST,27
13,ESP,201
14,FIN,97
15,FRA,425
16,GBR,235
17,GRC,898
18,HRV,71
19,HUN,274
20,IDN,66
21,IRL,130
22,IND,131
23,ITA,795
24,JPN,136
25,KOR,102
26,LTU,23
27,LUX,57
28,LVA,21
29,MLT,23
30,MEX,58
31,NLD,154
32,NOR,88
33,POL,301
34,PRT,68
35,ROU,584
36,RUS,3346
37,SWE,137
38,SVN,112
39,SVK,117
40,TUR,877
41,TWN,149
42,USA,272
43,AFG,913
44,ASM,913
45,ATA,913
46,ARM,913
47,AZE,913
48,BGD,913
49,BTN,913
50,BVT,913
51,IOT,913
52,BRN,913
53,KHM,913
54,CXR,913
55,CCK,913
56,COK,913
57,FJI,913
58,PYF,913
59,GEO,913
60,GUM,913
61,HMD,913
62,HKG,913
63,KAZ,913
64,KIR,913
65,KGZ,913
66,LAO,913
67,MAC,913
68,MYS,913
69,MDV,913
70,MHL,913
71,FSM,913
72,MNG,913
73,MMR,913
74,NRU,913
75,NPL,913
76,NCL,913
77,NZL,913
78,NIU,913
79,NFK,913
80,PRK,913
81,MNP,913
82,PAK,913
83,PLW,913
84,PNG,913
85,PHL,913
86,PCN,913
87,WSM,913
88,SGP,913
89,SLB,913
90,SGS,913
91,LKA,913
92,TJK,913
93,THA,913
94,TLS,913
95,TKL,913
96,TON,913
97,TKM,913
98,TUV,913
99,UMI,913
100,UZB,913
101,VUT,913
102,VNM,913
103,WLF,913
104,ALA,741
105,ALB,741
106,AND,741
107,BLR,741
108,BIH,741
109,FRO,741
110,GIB,741
111,GGY,741
112,ISL,741
113,IMN,741
114,JEY,741
115,XKX,741
116,LIE,741
117,MKD,741
118,MDA,741
119,MCO,741
120,MNE,741
121,SMR,741
122,SRB,741
123,SJM,741
124,UKR,741
125,VAT,741
126,DZA,301
127,AGO,301
128,BEN,301
129,BWA,301
130,BFA,301
131,BDI,301
132,CPV,301
133,CMR,301
134,CAF,301
135,TCD,301
136,COM,301
137,COG,301
138,CIV,301
139,DJI,301
140,COD,301
141,GNQ,301
142,ERI,301
143,SWZ,301
144,ETH,301
145,ATF,301
146,GAB,301
147,GMB,301
148,GHA,301
149,GIN,301
150,GNB,301
151,KEN,301
152,LSO,301
153,LBR,301
154,LBY,301
155,MDG,301
156,MWI,301
157,MLI,301
158,MRT,301
159,MUS,301
160,MYT,301
161,MAR,301
162,MOZ,301
163,NAM,301
164,NER,301
165,NGA,301
166,REU,301
167,RWA,301
168,STP,301
169,SEN,301
170,SYC,301
171,SLE,301
172,SOM,301
173,SSD,301
174,SHN,301
175,SDN,301
176,TZA,301
177,TGO,301
178,TUN,301
179,UGA,301
180,ESH,301
181,ZMB,301
182,ZWE,301
183,AIA,434
184,ATG,434
185,ARG,434
186,ABW,434
187,BHS,434
188,BRB,434
189,BLZ,434
190,BMU,434
191,BOL,434
192,BES,434
193,VGB,434
194,CYM,434
195,CHL,434
196,COL,434
197,CRI,434
198,CUB,434
199,CUW,434
200,DMA,434
201,DOM,434
202,ECU,434
203,SLV,434
204,FLK,434
205,GUF,434
206,GRL,434
207,GRD,434
208,GLP,434
209,GTM,434
210,GUY,434
211,HTI,434
212,HND,434
213,JAM,434
214,MTQ,434
215,MSR,434
216,NIC,434
217,PAN,434
218,PRY,434
219,PER,434
220,PRI,434
221,MAF,434
222,SXM,434
223,BLM,434
224,KNA,434
225,LCA,434
226,SPM,434
227,VCT,434
228,SUR,434
229,TTO,434
230,TCA,434
231,VIR,434
232,URY,434
233,VEN,434
234,BHR,444
235,EGY,444
236,IRN,444
237,IRQ,444
238,ISR,444
239,JOR,444
240,KWT,444
241,LBN,444
242,OMN,444
243,PSE,444
244,QAT,444
245,SAU,444
246,SYR,444
247,ARE,444
248,YEM,444
249,ZAF,48
