,country,emission
0,AUT,194036
1,AUS,463
2,BEL,718
3,BGR,205
4,BRA,495
5,CAN,608
6,CHE,1647
7,CHN,2793
8,CYP,20
9,CZE,1405
10,DEU,10875
11,DNK,383
12,EST,24
13,ESP,1259
14,FIN,340
15,FRA,2619
16,GBR,1467
17,GRC,338
18,HRV,305
19,HUN,1733
20,IDN,204
21,IRL,508
22,IND,711
23,ITA,3984
24,JPN,679
25,KOR,819
26,LTU,36
27,LUX,71
28,LVA,32
29,MLT,22
30,MEX,288
31,NLD,674
32,NOR,353
33,POL,922
34,PRT,219
35,ROU,622
36,RUS,758
37,SWE,596
38,SVN,621
39,SVK,814
40,TUR,389
41,TWN,443
42,USA,2496
43,AFG,1264
44,ASM,1264
45,ATA,1264
46,ARM,1264
47,AZE,1264
48,BGD,1264
49,BTN,1264
50,BVT,1264
51,IOT,1264
52,BRN,1264
53,KHM,1264
54,CXR,1264
55,CCK,1264
56,COK,1264
57,FJI,1264
58,PYF,1264
59,GEO,1264
60,GUM,1264
61,HMD,1264
62,HKG,1264
63,KAZ,1264
64,KIR,1264
65,KGZ,1264
66,LAO,1264
67,MAC,1264
68,MYS,1264
69,MDV,1264
70,MHL,1264
71,FSM,1264
72,MNG,1264
73,MMR,1264
74,NRU,1264
75,NPL,1264
76,NCL,1264
77,NZL,1264
78,NIU,1264
79,NFK,1264
80,PRK,1264
81,MNP,1264
82,PAK,1264
83,PLW,1264
84,PNG,1264
85,PHL,1264
86,PCN,1264
87,WSM,1264
88,SGP,1264
89,SLB,1264
90,SGS,1264
91,LKA,1264
92,TJK,1264
93,THA,1264
94,TLS,1264
95,TKL,1264
96,TON,1264
97,TKM,1264
98,TUV,1264
99,UMI,1264
100,UZB,1264
101,VUT,1264
102,VNM,1264
103,WLF,1264
104,ALA,473
105,ALB,473
106,AND,473
107,BLR,473
108,BIH,473
109,FRO,473
110,GIB,473
111,GGY,473
112,ISL,473
113,IMN,473
114,JEY,473
115,XKX,473
116,LIE,473
117,MKD,473
118,MDA,473
119,MCO,473
120,MNE,473
121,SMR,473
122,SRB,473
123,SJM,473
124,UKR,473
125,VAT,473
126,DZA,540
127,AGO,540
128,BEN,540
129,BWA,540
130,BFA,540
131,BDI,540
132,CPV,540
133,CMR,540
134,CAF,540
135,TCD,540
136,COM,540
137,COG,540
138,CIV,540
139,DJI,540
140,COD,540
141,GNQ,540
142,ERI,540
143,SWZ,540
144,ETH,540
145,ATF,540
146,GAB,540
147,GMB,540
148,GHA,540
149,GIN,540
150,GNB,540
151,KEN,540
152,LSO,540
153,LBR,540
154,LBY,540
155,MDG,540
156,MWI,540
157,MLI,540
158,MRT,540
159,MUS,540
160,MYT,540
161,MAR,540
162,MOZ,540
163,NAM,540
164,NER,540
165,NGA,540
166,REU,540
167,RWA,540
168,STP,540
169,SEN,540
170,SYC,540
171,SLE,540
172,SOM,540
173,SSD,540
174,SHN,540
175,SDN,540
176,TZA,540
177,TGO,540
178,TUN,540
179,UGA,540
180,ESH,540
181,ZMB,540
182,ZWE,540
183,AIA,662
184,ATG,662
185,ARG,662
186,ABW,662
187,BHS,662
188,BRB,662
189,BLZ,662
190,BMU,662
191,BOL,662
192,BES,662
193,VGB,662
194,CYM,662
195,CHL,662
196,COL,662
197,CRI,662
198,CUB,662
199,CUW,662
200,DMA,662
201,DOM,662
202,ECU,662
203,SLV,662
204,FLK,662
205,GUF,662
206,GRL,662
207,GRD,662
208,GLP,662
209,GTM,662
210,GUY,662
211,HTI,662
212,HND,662
213,JAM,662
214,MTQ,662
215,MSR,662
216,NIC,662
217,PAN,662
218,PRY,662
219,PER,662
220,PRI,662
221,MAF,662
222,SXM,662
223,BLM,662
224,KNA,662
225,LCA,662
226,SPM,662
227,VCT,662
228,SUR,662
229,TTO,662
230,TCA,662
231,VIR,662
232,URY,662
233,VEN,662
234,BHR,1788
235,EGY,1788
236,IRN,1788
237,IRQ,1788
238,ISR,1788
239,JOR,1788
240,KWT,1788
241,LBN,1788
242,OMN,1788
243,PSE,1788
244,QAT,1788
245,SAU,1788
246,SYR,1788
247,ARE,1788
248,YEM,1788
249,ZAF,154
