,country,emission,emission_log
0,AUT,244,5.497168225293202
1,AUS,599064,13.30312371613133
2,BEL,793,6.675823221634848
3,BGR,73,4.290459441148391
4,BRA,704,6.556778356158042
5,CAN,804,6.6895992691789665
6,CHE,516,6.246106765481563
7,CHN,18346,9.8171668460696
8,CYP,20,2.995732273553991
9,CZE,161,5.081404364984463
10,DEU,1485,7.3031700512368
11,DNK,377,5.932245187448011
12,EST,18,2.8903717578961645
13,ESP,567,6.340359303727752
14,FIN,392,5.971261839790462
15,FRA,1792,7.491087593534876
16,GBR,3127,8.047829357457841
17,GRC,188,5.236441962829949
18,HRV,36,3.58351893845611
19,HUN,146,4.983606621708336
20,IDN,1601,7.3783837129967145
21,IRL,362,5.8916442118257715
22,IND,8432,9.039789270781144
23,ITA,1030,6.937314081223682
24,JPN,11150,9.319194776888265
25,KOR,7999,8.987071812848821
26,LTU,16,2.772588722239781
27,LUX,108,4.68213122712422
28,LVA,21,3.044522437723423
29,MLT,23,3.1354942159291497
30,MEX,552,6.313548046277095
31,NLD,942,6.848005274576363
32,NOR,212,5.356586274672012
33,POL,169,5.1298987149230735
34,PRT,119,4.77912349311153
35,ROU,125,4.8283137373023015
36,RUS,706,6.559615237493242
37,SWE,441,6.089044875446846
38,SVN,39,3.6635616461296463
39,SVK,72,4.276666119016055
40,TUR,433,6.07073772800249
41,TWN,3889,8.265907334155747
42,USA,3798,8.242229891372231
43,AFG,13277,9.493788493895902
44,ASM,13277,9.493788493895902
45,ATA,13277,9.493788493895902
46,ARM,13277,9.493788493895902
47,AZE,13277,9.493788493895902
48,BGD,13277,9.493788493895902
49,BTN,13277,9.493788493895902
50,BVT,13277,9.493788493895902
51,IOT,13277,9.493788493895902
52,BRN,13277,9.493788493895902
53,KHM,13277,9.493788493895902
54,CXR,13277,9.493788493895902
55,CCK,13277,9.493788493895902
56,COK,13277,9.493788493895902
57,FJI,13277,9.493788493895902
58,PYF,13277,9.493788493895902
59,GEO,13277,9.493788493895902
60,GUM,13277,9.493788493895902
61,HMD,13277,9.493788493895902
62,HKG,13277,9.493788493895902
63,KAZ,13277,9.493788493895902
64,KIR,13277,9.493788493895902
65,KGZ,13277,9.493788493895902
66,LAO,13277,9.493788493895902
67,MAC,13277,9.493788493895902
68,MYS,13277,9.493788493895902
69,MDV,13277,9.493788493895902
70,MHL,13277,9.493788493895902
71,FSM,13277,9.493788493895902
72,MNG,13277,9.493788493895902
73,MMR,13277,9.493788493895902
74,NRU,13277,9.493788493895902
75,NPL,13277,9.493788493895902
76,NCL,13277,9.493788493895902
77,NZL,13277,9.493788493895902
78,NIU,13277,9.493788493895902
79,NFK,13277,9.493788493895902
80,PRK,13277,9.493788493895902
81,MNP,13277,9.493788493895902
82,PAK,13277,9.493788493895902
83,PLW,13277,9.493788493895902
84,PNG,13277,9.493788493895902
85,PHL,13277,9.493788493895902
86,PCN,13277,9.493788493895902
87,WSM,13277,9.493788493895902
88,SGP,13277,9.493788493895902
89,SLB,13277,9.493788493895902
90,SGS,13277,9.493788493895902
91,LKA,13277,9.493788493895902
92,TJK,13277,9.493788493895902
93,THA,13277,9.493788493895902
94,TLS,13277,9.493788493895902
95,TKL,13277,9.493788493895902
96,TON,13277,9.493788493895902
97,TKM,13277,9.493788493895902
