,country,emission
0,AUT,910
1,AUS,62
2,BEL,246
3,BGR,108
4,BRA,56
5,CAN,110
6,CHE,138
7,CHN,534
8,CYP,15
9,CZE,2401
10,DEU,3170
11,DNK,129
12,EST,15
13,ESP,562
14,FIN,89
15,FRA,886
16,GBR,779
17,GRC,119
18,HRV,66
19,HUN,1382
20,IDN,38
21,IRL,50
22,IND,83
23,ITA,1048
24,JPN,61
25,KOR,101
26,LTU,33
27,LUX,22
28,LVA,38
29,MLT,13
30,MEX,57
31,NLD,195
32,NOR,94
33,POL,1137
34,PRT,86
35,ROU,260
36,RUS,358
37,SWE,288
38,SVN,103
39,SVK,50828
40,TUR,291
41,TWN,119
42,USA,267
43,AFG,167
44,ASM,167
45,ATA,167
46,ARM,167
47,AZE,167
48,BGD,167
49,BTN,167
50,BVT,167
51,IOT,167
52,BRN,167
53,KHM,167
54,CXR,167
55,CCK,167
56,COK,167
57,FJI,167
58,PYF,167
59,GEO,167
60,GUM,167
61,HMD,167
62,HKG,167
63,KAZ,167
64,KIR,167
65,KGZ,167
66,LAO,167
67,MAC,167
68,MYS,167
69,MDV,167
70,MHL,167
71,FSM,167
72,MNG,167
73,MMR,167
74,NRU,167
75,NPL,167
76,NCL,167
77,NZL,167
78,NIU,167
79,NFK,167
80,PRK,167
81,MNP,167
82,PAK,167
83,PLW,167
84,PNG,167
85,PHL,167
86,PCN,167
87,WSM,167
88,SGP,167
89,SLB,167
90,SGS,167
91,LKA,167
92,TJK,167
93,THA,167
94,TLS,167
95,TKL,167
96,TON,167
97,TKM,167
98,TUV,167
99,UMI,167
100,UZB,167
101,VUT,167
102,VNM,167
103,WLF,167
104,ALA,195
105,ALB,195
106,AND,195
107,BLR,195
108,BIH,195
109,FRO,195
110,GIB,195
111,GGY,195
112,ISL,195
113,IMN,195
114,JEY,195
115,XKX,195
116,LIE,195
117,MKD,195
118,MDA,195
119,MCO,195
120,MNE,195
121,SMR,195
122,SRB,195
123,SJM,195
124,UKR,195
125,VAT,195
126,DZA,95
127,AGO,95
128,BEN,95
129,BWA,95
130,BFA,95
131,BDI,95
132,CPV,95
133,CMR,95
134,CAF,95
135,TCD,95
136,COM,95
137,COG,95
138,CIV,95
139,DJI,95
140,COD,95
141,GNQ,95
142,ERI,95
143,SWZ,95
144,ETH,95
145,ATF,95
146,GAB,95
147,GMB,95
148,GHA,95
149,GIN,95
150,GNB,95
151,KEN,95
152,LSO,95
153,LBR,95
154,LBY,95
155,MDG,95
156,MWI,95
157,MLI,95
158,MRT,95
159,MUS,95
160,MYT,95
161,MAR,95
162,MOZ,95
163,NAM,95
164,NER,95
165,NGA,95
166,REU,95
167,RWA,95
168,STP,95
169,SEN,95
170,SYC,95
171,SLE,95
172,SOM,95
173,SSD,95
174,SHN,95
175,SDN,95
176,TZA,95
177,TGO,95
178,TUN,95
179,UGA,95
180,ESH,95
181,ZMB,95
182,ZWE,95
183,AIA,179
184,ATG,179
185,ARG,179
186,ABW,179
187,BHS,179
188,BRB,179
189,BLZ,179
190,BMU,179
191,BOL,179
192,BES,179
193,VGB,179
194,CYM,179
195,CHL,179
196,COL,179
197,CRI,179
198,CUB,179
199,CUW,179
200,DMA,179
201,DOM,179
202,ECU,179
203,SLV,179
204,FLK,179
205,GUF,179
206,GRL,179
207,GRD,179
208,GLP,179
209,GTM,179
210,GUY,179
211,HTI,179
212,HND,179
213,JAM,179
214,MTQ,179
215,MSR,179
216,NIC,179
217,PAN,179
218,PRY,179
219,PER,179
220,PRI,179
221,MAF,179
222,SXM,179
223,BLM,179
224,KNA,179
225,LCA,179
226,SPM,179
227,VCT,179
228,SUR,179
229,TTO,179
230,TCA,179
231,VIR,179
232,URY,179
233,VEN,179
234,BHR,176
235,EGY,176
236,IRN,176
237,IRQ,176
238,ISR,176
239,JOR,176
240,KWT,176
241,LBN,176
242,OMN,176
243,PSE,176
244,QAT,176
245,SAU,176
246,SYR,176
247,ARE,176
248,YEM,176
249,ZAF,32
