,country,emission
0,AUT,65
1,AUS,221
2,BEL,279
3,BGR,36
4,BRA,206
5,CAN,183
6,CHE,335
7,CHN,1803
8,CYP,6
9,CZE,59
10,DEU,1084
11,DNK,93
12,EST,7
13,ESP,568
14,FIN,93
15,FRA,473
16,GBR,852
17,GRC,64
18,HRV,20
19,HUN,45
20,IDN,218
21,IRL,104
22,IND,2070
23,ITA,745
24,JPN,817
25,KOR,450
26,LTU,7
27,LUX,9
28,LVA,10
29,MLT,8
30,MEX,135
31,NLD,376
32,NOR,128
33,POL,108
34,PRT,136
35,ROU,65
36,RUS,127
37,SWE,134
38,SVN,19
39,SVK,30
40,TUR,287
41,TWN,432
42,USA,1314
43,AFG,1479
44,ASM,1479
45,ATA,1479
46,ARM,1479
47,AZE,1479
48,BGD,1479
49,BTN,1479
50,BVT,1479
51,IOT,1479
52,BRN,1479
53,KHM,1479
54,CXR,1479
55,CCK,1479
56,COK,1479
57,FJI,1479
58,PYF,1479
59,GEO,1479
60,GUM,1479
61,HMD,1479
62,HKG,1479
63,KAZ,1479
64,KIR,1479
65,KGZ,1479
66,LAO,1479
67,MAC,1479
68,MYS,1479
69,MDV,1479
70,MHL,1479
71,FSM,1479
72,MNG,1479
73,MMR,1479
74,NRU,1479
75,NPL,1479
76,NCL,1479
77,NZL,1479
78,NIU,1479
79,NFK,1479
80,PRK,1479
81,MNP,1479
82,PAK,1479
83,PLW,1479
84,PNG,1479
85,PHL,1479
86,PCN,1479
87,WSM,1479
88,SGP,1479
89,SLB,1479
90,SGS,1479
91,LKA,1479
92,TJK,1479
93,THA,1479
94,TLS,1479
95,TKL,1479
96,TON,1479
97,TKM,1479
98,TUV,1479
99,UMI,1479
100,UZB,1479
101,VUT,1479
102,VNM,1479
103,WLF,1479
104,ALA,34
105,ALB,34
106,AND,34
107,BLR,34
108,BIH,34
109,FRO,34
110,GIB,34
111,GGY,34
112,ISL,34
113,IMN,34
114,JEY,34
115,XKX,34
116,LIE,34
117,MKD,34
118,MDA,34
119,MCO,34
120,MNE,34
121,SMR,34
122,SRB,34
123,SJM,34
124,UKR,34
125,VAT,34
126,DZA,3063
127,AGO,3063
128,BEN,3063
129,BWA,3063
130,BFA,3063
131,BDI,3063
132,CPV,3063
133,CMR,3063
134,CAF,3063
135,TCD,3063
136,COM,3063
137,COG,3063
138,CIV,3063
139,DJI,3063
140,COD,3063
141,GNQ,3063
142,ERI,3063
143,SWZ,3063
144,ETH,3063
145,ATF,3063
146,GAB,3063
147,GMB,3063
148,GHA,3063
149,GIN,3063
150,GNB,3063
151,KEN,3063
152,LSO,3063
153,LBR,3063
154,LBY,3063
155,MDG,3063
156,MWI,3063
157,MLI,3063
158,MRT,3063
159,MUS,3063
160,MYT,3063
161,MAR,3063
162,MOZ,3063
163,NAM,3063
164,NER,3063
165,NGA,3063
166,REU,3063
167,RWA,3063
168,STP,3063
169,SEN,3063
170,SYC,3063
171,SLE,3063
172,SOM,3063
173,SSD,3063
174,SHN,3063
175,SDN,3063
176,TZA,3063
177,TGO,3063
178,TUN,3063
179,UGA,3063
180,ESH,3063
181,ZMB,3063
182,ZWE,3063
183,AIA,237
184,ATG,237
185,ARG,237
186,ABW,237
187,BHS,237
188,BRB,237
189,BLZ,237
190,BMU,237
191,BOL,237
192,BES,237
193,VGB,237
194,CYM,237
195,CHL,237
196,COL,237
197,CRI,237
198,CUB,237
199,CUW,237
200,DMA,237
201,DOM,237
202,ECU,237
203,SLV,237
204,FLK,237
205,GUF,237
206,GRL,237
207,GRD,237
208,GLP,237
209,GTM,237
210,GUY,237
211,HTI,237
212,HND,237
213,JAM,237
214,MTQ,237
215,MSR,237
216,NIC,237
217,PAN,237
218,PRY,237
219,PER,237
220,PRI,237
221,MAF,237
222,SXM,237
223,BLM,237
224,KNA,237
225,LCA,237
226,SPM,237
227,VCT,237
228,SUR,237
229,TTO,237
230,TCA,237
231,VIR,237
232,URY,237
233,VEN,237
234,BHR,1341
235,EGY,1341
236,IRN,1341
237,IRQ,1341
238,ISR,1341
239,JOR,1341
240,KWT,1341
241,LBN,1341
242,OMN,1341
243,PSE,1341
244,QAT,1341
245,SAU,1341
246,SYR,1341
247,ARE,1341
248,YEM,1341
249,ZAF,229107
