,country,emission
0,AUT,71
1,AUS,108
2,BEL,158
3,BGR,28
4,BRA,23
5,CAN,71
6,CHE,459
7,CHN,10
8,CYP,18
9,CZE,32
10,DEU,933
11,DNK,112
12,EST,7
13,ESP,148
14,FIN,60
15,FRA,529
16,GBR,1428
17,GRC,43
18,HRV,9
19,HUN,42
20,IDN,12
21,IRL,534
22,IND,156
23,ITA,152
24,JPN,0
25,KOR,25
26,LTU,9
27,LUX,42913
28,LVA,10
29,MLT,33
30,MEX,14
31,NLD,791
32,NOR,272
33,POL,59
34,PRT,26
35,ROU,9
36,RUS,311
37,SWE,173
38,SVN,8
39,SVK,22
40,TUR,39
41,TWN,21
42,USA,1142
43,AFG,2333
44,ASM,2333
45,ATA,2333
46,ARM,2333
47,AZE,2333
48,BGD,2333
49,BTN,2333
50,BVT,2333
51,IOT,2333
52,BRN,2333
53,KHM,2333
54,CXR,2333
55,CCK,2333
56,COK,2333
57,FJI,2333
58,PYF,2333
59,GEO,2333
60,GUM,2333
61,HMD,2333
62,HKG,2333
63,KAZ,2333
64,KIR,2333
65,KGZ,2333
66,LAO,2333
67,MAC,2333
68,MYS,2333
69,MDV,2333
70,MHL,2333
71,FSM,2333
72,MNG,2333
73,MMR,2333
74,NRU,2333
75,NPL,2333
76,NCL,2333
77,NZL,2333
78,NIU,2333
79,NFK,2333
80,PRK,2333
81,MNP,2333
82,PAK,2333
83,PLW,2333
84,PNG,2333
85,PHL,2333
86,PCN,2333
87,WSM,2333
88,SGP,2333
89,SLB,2333
90,SGS,2333
91,LKA,2333
92,TJK,2333
93,THA,2333
94,TLS,2333
95,TKL,2333
96,TON,2333
97,TKM,2333
98,TUV,2333
99,UMI,2333
100,UZB,2333
101,VUT,2333
102,VNM,2333
103,WLF,2333
104,ALA,27
105,ALB,27
106,AND,27
107,BLR,27
108,BIH,27
109,FRO,27
110,GIB,27
111,GGY,27
112,ISL,27
113,IMN,27
114,JEY,27
115,XKX,27
116,LIE,27
117,MKD,27
118,MDA,27
119,MCO,27
120,MNE,27
121,SMR,27
122,SRB,27
123,SJM,27
124,UKR,27
125,VAT,27
126,DZA,520
127,AGO,520
128,BEN,520
129,BWA,520
130,BFA,520
131,BDI,520
132,CPV,520
133,CMR,520
134,CAF,520
135,TCD,520
136,COM,520
137,COG,520
138,CIV,520
139,DJI,520
140,COD,520
141,GNQ,520
142,ERI,520
143,SWZ,520
144,ETH,520
145,ATF,520
146,GAB,520
147,GMB,520
148,GHA,520
149,GIN,520
150,GNB,520
151,KEN,520
152,LSO,520
153,LBR,520
154,LBY,520
155,MDG,520
156,MWI,520
157,MLI,520
158,MRT,520
159,MUS,520
160,MYT,520
161,MAR,520
162,MOZ,520
163,NAM,520
164,NER,520
165,NGA,520
166,REU,520
167,RWA,520
168,STP,520
169,SEN,520
170,SYC,520
171,SLE,520
172,SOM,520
173,SSD,520
174,SHN,520
175,SDN,520
176,TZA,520
177,TGO,520
178,TUN,520
179,UGA,520
180,ESH,520
181,ZMB,520
182,ZWE,520
183,AIA,277
184,ATG,277
185,ARG,277
186,ABW,277
187,BHS,277
188,BRB,277
189,BLZ,277
190,BMU,277
191,BOL,277
192,BES,277
193,VGB,277
194,CYM,277
195,CHL,277
196,COL,277
197,CRI,277
198,CUB,277
199,CUW,277
200,DMA,277
201,DOM,277
202,ECU,277
203,SLV,277
204,FLK,277
205,GUF,277
206,GRL,277
207,GRD,277
208,GLP,277
209,GTM,277
210,GUY,277
211,HTI,277
212,HND,277
213,JAM,277
214,MTQ,277
215,MSR,277
216,NIC,277
217,PAN,277
218,PRY,277
219,PER,277
220,PRI,277
221,MAF,277
222,SXM,277
223,BLM,277
224,KNA,277
225,LCA,277
226,SPM,277
227,VCT,277
228,SUR,277
229,TTO,277
230,TCA,277
231,VIR,277
232,URY,277
233,VEN,277
234,BHR,984
235,EGY,984
236,IRN,984
237,IRQ,984
238,ISR,984
239,JOR,984
240,KWT,984
241,LBN,984
242,OMN,984
243,PSE,984
244,QAT,984
245,SAU,984
246,SYR,984
247,ARE,984
248,YEM,984
249,ZAF,9
