,country,emission
0,AUT,389
1,AUS,433
2,BEL,927
3,BGR,503
4,BRA,455
5,CAN,544
6,CHE,781
7,CHN,2761
8,CYP,86
9,CZE,363
10,DEU,4042
11,DNK,300
12,EST,78
13,ESP,1616
14,FIN,336
15,FRA,2591
16,GBR,1544
17,GRC,780
18,HRV,132
19,HUN,426
20,IDN,405
21,IRL,514
22,IND,1123
23,ITA,2586
24,JPN,735
25,KOR,1107
26,LTU,52
27,LUX,196
28,LVA,50
29,MLT,68
30,MEX,201
31,NLD,886
32,NOR,449
33,POL,705
34,PRT,245
35,ROU,770
36,RUS,6599
37,SWE,684
38,SVN,127
39,SVK,291
40,TUR,317015
41,TWN,645
42,USA,3605
43,AFG,4523
44,ASM,4523
45,ATA,4523
46,ARM,4523
47,AZE,4523
48,BGD,4523
49,BTN,4523
50,BVT,4523
51,IOT,4523
52,BRN,4523
53,KHM,4523
54,CXR,4523
55,CCK,4523
56,COK,4523
57,FJI,4523
58,PYF,4523
59,GEO,4523
60,GUM,4523
61,HMD,4523
62,HKG,4523
63,KAZ,4523
64,KIR,4523
65,KGZ,4523
66,LAO,4523
67,MAC,4523
68,MYS,4523
69,MDV,4523
70,MHL,4523
71,FSM,4523
72,MNG,4523
73,MMR,4523
74,NRU,4523
75,NPL,4523
76,NCL,4523
77,NZL,4523
78,NIU,4523
79,NFK,4523
80,PRK,4523
81,MNP,4523
82,PAK,4523
83,PLW,4523
84,PNG,4523
85,PHL,4523
86,PCN,4523
87,WSM,4523
88,SGP,4523
89,SLB,4523
90,SGS,4523
91,LKA,4523
92,TJK,4523
93,THA,4523
94,TLS,4523
95,TKL,4523
96,TON,4523
97,TKM,4523
98,TUV,4523
99,UMI,4523
100,UZB,4523
101,VUT,4523
102,VNM,4523
103,WLF,4523
104,ALA,1001
105,ALB,1001
106,AND,1001
107,BLR,1001
108,BIH,1001
109,FRO,1001
110,GIB,1001
111,GGY,1001
112,ISL,1001
113,IMN,1001
114,JEY,1001
115,XKX,1001
116,LIE,1001
117,MKD,1001
118,MDA,1001
119,MCO,1001
120,MNE,1001
121,SMR,1001
122,SRB,1001
123,SJM,1001
124,UKR,1001
125,VAT,1001
126,DZA,2373
127,AGO,2373
128,BEN,2373
129,BWA,2373
130,BFA,2373
131,BDI,2373
132,CPV,2373
133,CMR,2373
134,CAF,2373
135,TCD,2373
136,COM,2373
137,COG,2373
138,CIV,2373
139,DJI,2373
140,COD,2373
141,GNQ,2373
142,ERI,2373
143,SWZ,2373
144,ETH,2373
145,ATF,2373
146,GAB,2373
147,GMB,2373
148,GHA,2373
149,GIN,2373
150,GNB,2373
151,KEN,2373
152,LSO,2373
153,LBR,2373
154,LBY,2373
155,MDG,2373
156,MWI,2373
157,MLI,2373
158,MRT,2373
159,MUS,2373
160,MYT,2373
161,MAR,2373
162,MOZ,2373
163,NAM,2373
164,NER,2373
165,NGA,2373
166,REU,2373
167,RWA,2373
168,STP,2373
169,SEN,2373
170,SYC,2373
171,SLE,2373
172,SOM,2373
173,SSD,2373
174,SHN,2373
175,SDN,2373
176,TZA,2373
177,TGO,2373
178,TUN,2373
179,UGA,2373
180,ESH,2373
181,ZMB,2373
182,ZWE,2373
183,AIA,1146
184,ATG,1146
185,ARG,1146
186,ABW,1146
187,BHS,1146
188,BRB,1146
189,BLZ,1146
190,BMU,1146
191,BOL,1146
192,BES,1146
193,VGB,1146
194,CYM,1146
195,CHL,1146
196,COL,1146
197,CRI,1146
198,CUB,1146
199,CUW,1146
200,DMA,1146
201,DOM,1146
202,ECU,1146
203,SLV,1146
204,FLK,1146
205,GUF,1146
206,GRL,1146
207,GRD,1146
208,GLP,1146
209,GTM,1146
210,GUY,1146
211,HTI,1146
212,HND,1146
213,JAM,1146
214,MTQ,1146
215,MSR,1146
216,NIC,1146
217,PAN,1146
218,PRY,1146
219,PER,1146
220,PRI,1146
221,MAF,1146
222,SXM,1146
223,BLM,1146
224,KNA,1146
225,LCA,1146
226,SPM,1146
227,VCT,1146
228,SUR,1146
229,TTO,1146
230,TCA,1146
231,VIR,1146
232,URY,1146
233,VEN,1146
234,BHR,5784
235,EGY,5784
236,IRN,5784
237,IRQ,5784
238,ISR,5784
239,JOR,5784
240,KWT,5784
241,LBN,5784
242,OMN,5784
243,PSE,5784
244,QAT,5784
245,SAU,5784
246,SYR,5784
247,ARE,5784
248,YEM,5784
249,ZAF,287
