,country,emission,emission_log
0,AUT,13566,9.515321941506025
1,AUS,2157,7.676473646389156
2,BEL,17062,9.74460904746864
3,BGR,726,6.587550014824796
4,BRA,3654,8.203577736937952
5,CAN,2592,7.860185057472165
6,CHE,16812,9.729848196125007
7,CHN,25583,10.14968334738049
8,CYP,80,4.382026634673881
9,CZE,13202,9.488123612248716
10,DEU,1764917,14.38361422174805
11,DNK,5166,8.549853973655786
12,EST,233,5.4510384535657
13,ESP,11118,9.316320695513415
14,FIN,3335,8.112227958349724
15,FRA,33181,10.409732701928009
16,GBR,25153,10.132732452708314
17,GRC,1197,7.087573705557973
18,HRV,413,6.023447592961033
19,HUN,7733,8.953252164609035
20,IDN,1209,7.097548850614793
21,IRL,8380,9.033603193476129
22,IND,5079,8.532869670801245
23,ITA,19994,9.903187507527125
24,JPN,8828,9.085683767376628
25,KOR,3843,8.254008590564844
26,LTU,511,6.236369590203704
27,LUX,1902,7.550661243105336
28,LVA,297,5.6937321388027
29,MLT,142,4.955827057601261
30,MEX,1324,7.188412736496954
31,NLD,18196,9.808957068689894
32,NOR,4516,8.415381925269553
33,POL,14203,9.561208488881128
34,PRT,1954,7.577633832602728
35,ROU,2767,7.925518979786926
36,RUS,14161,9.55824698622306
37,SWE,7652,8.942722330560143
38,SVN,1600,7.3777589082278725
39,SVK,3943,8.279697133877628
40,TUR,3013,8.0106915391303
41,TWN,4882,8.493310250952906
42,USA,52298,10.864713408404029
43,AFG,32818,10.398732424335096
44,ASM,32818,10.398732424335096
45,ATA,32818,10.398732424335096
46,ARM,32818,10.398732424335096
47,AZE,32818,10.398732424335096
48,BGD,32818,10.398732424335096
49,BTN,32818,10.398732424335096
50,BVT,32818,10.398732424335096
51,IOT,32818,10.398732424335096
52,BRN,32818,10.398732424335096
53,KHM,32818,10.398732424335096
54,CXR,32818,10.398732424335096
55,CCK,32818,10.398732424335096
56,COK,32818,10.398732424335096
57,FJI,32818,10.398732424335096
58,PYF,32818,10.398732424335096
59,GEO,32818,10.398732424335096
60,GUM,32818,10.398732424335096
61,HMD,32818,10.398732424335096
62,HKG,32818,10.398732424335096
63,KAZ,32818,10.398732424335096
64,KIR,32818,10.398732424335096
65,KGZ,32818,10.398732424335096
66,LAO,32818,10.398732424335096
67,MAC,32818,10.398732424335096
68,MYS,32818,10.398732424335096
69,MDV,32818,10.398732424335096
70,MHL,32818,10.398732424335096
71,FSM,32818,10.398732424335096
72,MNG,32818,10.398732424335096
73,MMR,32818,10.398732424335096
74,NRU,32818,10.398732424335096
75,NPL,32818,10.398732424335096
76,NCL,32818,10.398732424335096
77,NZL,32818,10.398732424335096
78,NIU,32818,10.398732424335096
79,NFK,32818,10.398732424335096
80,PRK,32818,10.398732424335096
81,MNP,32818,10.398732424335096
82,PAK,32818,10.398732424335096
83,PLW,32818,10.398732424335096
84,PNG,32818,10.398732424335096
85,PHL,32818,10.398732424335096
86,PCN,32818,10.398732424335096
87,WSM,32818,10.398732424335096
88,SGP,32818,10.398732424335096
89,SLB,32818,10.398732424335096
90,SGS,32818,10.398732424335096
91,LKA,32818,10.398732424335096
92,TJK,32818,10.398732424335096
93,THA,32818,10.398732424335096
94,TLS,32818,10.398732424335096
95,TKL,32818,10.398732424335096
96,TON,32818,10.398732424335096
97,TKM,32818,10.398732424335096
98,TUV,32818,10.398732424335096
99,UMI,32818,10.398732424335096
100,UZB,32818,10.398732424335096
101,VUT,32818,10.398732424335096
102,VNM,32818,10.398732424335096
103,WLF,32818,10.398732424335096
104,ALA,2823,7.945555428253489
105,ALB,2823,7.945555428253489
106,AND,2823,7.945555428253489
107,BLR,2823,7.945555428253489
108,BIH,2823,7.945555428253489
109,FRO,2823,7.945555428253489
110,GIB,2823,7.945555428253489
111,GGY,2823,7.945555428253489
112,ISL,2823,7.945555428253489
113,IMN,2823,7.945555428253489
114,JEY,2823,7.945555428253489
115,XKX,2823,7.945555428253489
116,LIE,2823,7.945555428253489
117,MKD,2823,7.945555428253489
118,MDA,2823,7.945555428253489
119,MCO,2823,7.945555428253489
120,MNE,2823,7.945555428253489
121,SMR,2823,7.945555428253489
122,SRB,2823,7.945555428253489
123,SJM,2823,7.945555428253489
124,UKR,2823,7.945555428253489
125,VAT,2823,7.945555428253489
126,DZA,7985,8.985320060649112
127,AGO,7985,8.985320060649112
128,BEN,7985,8.985320060649112
129,BWA,7985,8.985320060649112
130,BFA,7985,8.985320060649112
131,BDI,7985,8.985320060649112
132,CPV,7985,8.985320060649112
133,CMR,7985,8.985320060649112
134,CAF,7985,8.985320060649112
135,TCD,7985,8.985320060649112
136,COM,7985,8.985320060649112
137,COG,7985,8.985320060649112
138,CIV,7985,8.985320060649112
139,DJI,7985,8.985320060649112
140,COD,7985,8.985320060649112
141,GNQ,7985,8.985320060649112
142,ERI,7985,8.985320060649112
143,SWZ,7985,8.985320060649112
144,ETH,7985,8.985320060649112
145,ATF,7985,8.985320060649112
146,GAB,7985,8.985320060649112
147,GMB,7985,8.985320060649112
148,GHA,7985,8.985320060649112
149,GIN,7985,8.985320060649112
150,GNB,7985,8.985320060649112
151,KEN,7985,8.985320060649112
152,LSO,7985,8.985320060649112
153,LBR,7985,8.985320060649112
154,LBY,7985,8.985320060649112
155,MDG,7985,8.985320060649112
156,MWI,7985,8.985320060649112
157,MLI,7985,8.985320060649112
158,MRT,7985,8.985320060649112
159,MUS,7985,8.985320060649112
160,MYT,7985,8.985320060649112
161,MAR,7985,8.985320060649112
162,MOZ,7985,8.985320060649112
163,NAM,7985,8.985320060649112
164,NER,7985,8.985320060649112
165,NGA,7985,8.985320060649112
166,REU,7985,8.985320060649112
167,RWA,7985,8.985320060649112
168,STP,7985,8.985320060649112
169,SEN,7985,8.985320060649112
170,SYC,7985,8.985320060649112
171,SLE,7985,8.985320060649112
172,SOM,7985,8.985320060649112
173,SSD,7985,8.985320060649112
174,SHN,7985,8.985320060649112
175,SDN,7985,8.985320060649112
176,TZA,7985,8.985320060649112
177,TGO,7985,8.985320060649112
178,TUN,7985,8.985320060649112
179,UGA,7985,8.985320060649112
180,ESH,7985,8.985320060649112
181,ZMB,7985,8.985320060649112
182,ZWE,7985,8.985320060649112
183,AIA,6338,8.754318540250866
184,ATG,6338,8.754318540250866
185,ARG,6338,8.754318540250866
186,ABW,6338,8.754318540250866
187,BHS,6338,8.754318540250866
188,BRB,6338,8.754318540250866
189,BLZ,6338,8.754318540250866
190,BMU,6338,8.754318540250866
191,BOL,6338,8.754318540250866
192,BES,6338,8.754318540250866
193,VGB,6338,8.754318540250866
194,CYM,6338,8.754318540250866
195,CHL,6338,8.754318540250866
196,COL,6338,8.754318540250866
197,CRI,6338,8.754318540250866
198,CUB,6338,8.754318540250866
199,CUW,6338,8.754318540250866
200,DMA,6338,8.754318540250866
201,DOM,6338,8.754318540250866
202,ECU,6338,8.754318540250866
203,SLV,6338,8.754318540250866
204,FLK,6338,8.754318540250866
205,GUF,6338,8.754318540250866
206,GRL,6338,8.754318540250866
207,GRD,6338,8.754318540250866
208,GLP,6338,8.754318540250866
209,GTM,6338,8.754318540250866
210,GUY,6338,8.754318540250866
211,HTI,6338,8.754318540250866
212,HND,6338,8.754318540250866
213,JAM,6338,8.754318540250866
214,MTQ,6338,8.754318540250866
