,country,emission
0,AUT,437
1,AUS,4409
2,BEL,1613
3,BGR,61
4,BRA,2729
5,CAN,2773
6,CHE,1967
7,CHN,120997
8,CYP,0
9,CZE,631
10,DEU,8035
11,DNK,594
12,EST,38
13,ESP,1468
14,FIN,357
15,FRA,4125
16,GBR,5287
17,GRC,211
18,HRV,48
19,HUN,735
20,IDN,3985
21,IRL,2099
22,IND,6765
23,ITA,2460
24,JPN,3932692
25,KOR,33069
26,LTU,18
27,LUX,0
28,LVA,9
29,MLT,7
30,MEX,3906
31,NLD,0
32,NOR,771
33,POL,659
34,PRT,216
35,ROU,175
36,RUS,2262
37,SWE,1095
38,SVN,69
39,SVK,252
40,TUR,1038
41,TWN,19349
42,USA,32163
43,AFG,48552
44,ASM,48552
45,ATA,48552
46,ARM,48552
47,AZE,48552
48,BGD,48552
49,BTN,48552
50,BVT,48552
51,IOT,48552
52,BRN,48552
53,KHM,48552
54,CXR,48552
55,CCK,48552
56,COK,48552
57,FJI,48552
58,PYF,48552
59,GEO,48552
60,GUM,48552
61,HMD,48552
62,HKG,48552
63,KAZ,48552
64,KIR,48552
65,KGZ,48552
66,LAO,48552
67,MAC,48552
68,MYS,48552
69,MDV,48552
70,MHL,48552
71,FSM,48552
72,MNG,48552
73,MMR,48552
74,NRU,48552
75,NPL,48552
76,NCL,48552
77,NZL,48552
78,NIU,48552
79,NFK,48552
80,PRK,48552
81,MNP,48552
82,PAK,48552
83,PLW,48552
84,PNG,48552
85,PHL,48552
86,PCN,48552
87,WSM,48552
88,SGP,48552
89,SLB,48552
90,SGS,48552
91,LKA,48552
92,TJK,48552
93,THA,48552
94,TLS,48552
95,TKL,48552
96,TON,48552
97,TKM,48552
98,TUV,48552
99,UMI,48552
100,UZB,48552
101,VUT,48552
102,VNM,48552
103,WLF,48552
104,ALA,786
105,ALB,786
106,AND,786
107,BLR,786
108,BIH,786
109,FRO,786
110,GIB,786
111,GGY,786
112,ISL,786
113,IMN,786
114,JEY,786
115,XKX,786
116,LIE,786
117,MKD,786
118,MDA,786
119,MCO,786
120,MNE,786
121,SMR,786
122,SRB,786
123,SJM,786
124,UKR,786
125,VAT,786
126,DZA,2654
127,AGO,2654
128,BEN,2654
129,BWA,2654
130,BFA,2654
131,BDI,2654
132,CPV,2654
133,CMR,2654
134,CAF,2654
135,TCD,2654
136,COM,2654
137,COG,2654
138,CIV,2654
139,DJI,2654
140,COD,2654
141,GNQ,2654
142,ERI,2654
143,SWZ,2654
144,ETH,2654
145,ATF,2654
146,GAB,2654
147,GMB,2654
148,GHA,2654
149,GIN,2654
150,GNB,2654
151,KEN,2654
152,LSO,2654
153,LBR,2654
154,LBY,2654
155,MDG,2654
156,MWI,2654
157,MLI,2654
158,MRT,2654
159,MUS,2654
160,MYT,2654
161,MAR,2654
162,MOZ,2654
163,NAM,2654
164,NER,2654
165,NGA,2654
166,REU,2654
167,RWA,2654
168,STP,2654
169,SEN,2654
170,SYC,2654
171,SLE,2654
172,SOM,2654
173,SSD,2654
174,SHN,2654
175,SDN,2654
176,TZA,2654
177,TGO,2654
178,TUN,2654
179,UGA,2654
180,ESH,2654
181,ZMB,2654
182,ZWE,2654
183,AIA,10627
184,ATG,10627
185,ARG,10627
186,ABW,10627
187,BHS,10627
188,BRB,10627
189,BLZ,10627
190,BMU,10627
191,BOL,10627
192,BES,10627
193,VGB,10627
194,CYM,10627
195,CHL,10627
196,COL,10627
197,CRI,10627
198,CUB,10627
199,CUW,10627
200,DMA,10627
201,DOM,10627
202,ECU,10627
203,SLV,10627
204,FLK,10627
205,GUF,10627
206,GRL,10627
207,GRD,10627
208,GLP,10627
209,GTM,10627
210,GUY,10627
211,HTI,10627
212,HND,10627
213,JAM,10627
214,MTQ,10627
215,MSR,10627
216,NIC,10627
217,PAN,10627
218,PRY,10627
219,PER,10627
220,PRI,10627
221,MAF,10627
222,SXM,10627
223,BLM,10627
224,KNA,10627
225,LCA,10627
226,SPM,10627
227,VCT,10627
228,SUR,10627
229,TTO,10627
230,TCA,10627
231,VIR,10627
232,URY,10627
233,VEN,10627
234,BHR,10704
235,EGY,10704
236,IRN,10704
237,IRQ,10704
238,ISR,10704
239,JOR,10704
240,KWT,10704
241,LBN,10704
242,OMN,10704
243,PSE,10704
244,QAT,10704
245,SAU,10704
246,SYR,10704
247,ARE,10704
248,YEM,10704
249,ZAF,40
