,country,emission
0,AUT,2672
1,AUS,854
2,BEL,3107
3,BGR,120
4,BRA,1051
5,CAN,1070
6,CHE,400605
7,CHN,3135
8,CYP,50
9,CZE,926
10,DEU,19492
11,DNK,773
12,EST,83
13,ESP,2685
14,FIN,467
15,FRA,7256
16,GBR,5828
17,GRC,223
18,HRV,124
19,HUN,483
20,IDN,241
21,IRL,2645
22,IND,1513
23,ITA,7819
24,JPN,1967
25,KOR,697
26,LTU,84
27,LUX,737
28,LVA,56
29,MLT,32
30,MEX,766
31,NLD,3279
32,NOR,659
33,POL,910
34,PRT,342
35,ROU,194
36,RUS,5066
37,SWE,1903
38,SVN,175
39,SVK,242
40,TUR,725
41,TWN,404
42,USA,12798
43,AFG,9746
44,ASM,9746
45,ATA,9746
46,ARM,9746
47,AZE,9746
48,BGD,9746
49,BTN,9746
50,BVT,9746
51,IOT,9746
52,BRN,9746
53,KHM,9746
54,CXR,9746
55,CCK,9746
56,COK,9746
57,FJI,9746
58,PYF,9746
59,GEO,9746
60,GUM,9746
61,HMD,9746
62,HKG,9746
63,KAZ,9746
64,KIR,9746
65,KGZ,9746
66,LAO,9746
67,MAC,9746
68,MYS,9746
69,MDV,9746
70,MHL,9746
71,FSM,9746
72,MNG,9746
73,MMR,9746
74,NRU,9746
75,NPL,9746
76,NCL,9746
77,NZL,9746
78,NIU,9746
79,NFK,9746
80,PRK,9746
81,MNP,9746
82,PAK,9746
83,PLW,9746
84,PNG,9746
85,PHL,9746
86,PCN,9746
87,WSM,9746
88,SGP,9746
89,SLB,9746
90,SGS,9746
91,LKA,9746
92,TJK,9746
93,THA,9746
94,TLS,9746
95,TKL,9746
96,TON,9746
97,TKM,9746
98,TUV,9746
99,UMI,9746
100,UZB,9746
101,VUT,9746
102,VNM,9746
103,WLF,9746
104,ALA,610
105,ALB,610
106,AND,610
107,BLR,610
108,BIH,610
109,FRO,610
110,GIB,610
111,GGY,610
112,ISL,610
113,IMN,610
114,JEY,610
115,XKX,610
116,LIE,610
117,MKD,610
118,MDA,610
119,MCO,610
120,MNE,610
121,SMR,610
122,SRB,610
123,SJM,610
124,UKR,610
125,VAT,610
126,DZA,3395
127,AGO,3395
128,BEN,3395
129,BWA,3395
130,BFA,3395
131,BDI,3395
132,CPV,3395
133,CMR,3395
134,CAF,3395
135,TCD,3395
136,COM,3395
137,COG,3395
138,CIV,3395
139,DJI,3395
140,COD,3395
141,GNQ,3395
142,ERI,3395
143,SWZ,3395
144,ETH,3395
145,ATF,3395
146,GAB,3395
147,GMB,3395
148,GHA,3395
149,GIN,3395
150,GNB,3395
151,KEN,3395
152,LSO,3395
153,LBR,3395
154,LBY,3395
155,MDG,3395
156,MWI,3395
157,MLI,3395
158,MRT,3395
159,MUS,3395
160,MYT,3395
161,MAR,3395
162,MOZ,3395
163,NAM,3395
164,NER,3395
165,NGA,3395
166,REU,3395
167,RWA,3395
168,STP,3395
169,SEN,3395
170,SYC,3395
171,SLE,3395
172,SOM,3395
173,SSD,3395
174,SHN,3395
175,SDN,3395
176,TZA,3395
177,TGO,3395
178,TUN,3395
179,UGA,3395
180,ESH,3395
181,ZMB,3395
182,ZWE,3395
183,AIA,2002
184,ATG,2002
185,ARG,2002
186,ABW,2002
187,BHS,2002
188,BRB,2002
189,BLZ,2002
190,BMU,2002
191,BOL,2002
192,BES,2002
193,VGB,2002
194,CYM,2002
195,CHL,2002
196,COL,2002
197,CRI,2002
198,CUB,2002
199,CUW,2002
200,DMA,2002
201,DOM,2002
202,ECU,2002
203,SLV,2002
204,FLK,2002
205,GUF,2002
206,GRL,2002
207,GRD,2002
208,GLP,2002
209,GTM,2002
210,GUY,2002
211,HTI,2002
212,HND,2002
213,JAM,2002
214,MTQ,2002
215,MSR,2002
216,NIC,2002
217,PAN,2002
218,PRY,2002
219,PER,2002
220,PRI,2002
221,MAF,2002
222,SXM,2002
223,BLM,2002
224,KNA,2002
225,LCA,2002
226,SPM,2002
227,VCT,2002
228,SUR,2002
229,TTO,2002
230,TCA,2002
231,VIR,2002
232,URY,2002
233,VEN,2002
234,BHR,3128
235,EGY,3128
236,IRN,3128
237,IRQ,3128
238,ISR,3128
239,JOR,3128
240,KWT,3128
241,LBN,3128
242,OMN,3128
243,PSE,3128
244,QAT,3128
245,SAU,3128
246,SYR,3128
247,ARE,3128
248,YEM,3128
249,ZAF,523
