,country,emission
0,AUT,767
1,AUS,51
2,BEL,148
3,BGR,66
4,BRA,116
5,CAN,43
6,CHE,185
7,CHN,481
8,CYP,12
9,CZE,242
10,DEU,1456
11,DNK,59
12,EST,19
13,ESP,221
14,FIN,70
15,FRA,444
16,GBR,165
17,GRC,129
18,HRV,347
19,HUN,338
20,IDN,36
21,IRL,82
22,IND,182
23,ITA,1744
24,JPN,69
25,KOR,311
26,LTU,15
27,LUX,44
28,LVA,15
29,MLT,10
30,MEX,28
31,NLD,129
32,NOR,70
33,POL,244
34,PRT,42
35,ROU,107
36,RUS,195
37,SWE,99
38,SVN,25152
39,SVK,147
40,TUR,172
41,TWN,126
42,USA,309
43,AFG,337
44,ASM,337
45,ATA,337
46,ARM,337
47,AZE,337
48,BGD,337
49,BTN,337
50,BVT,337
51,IOT,337
52,BRN,337
53,KHM,337
54,CXR,337
55,CCK,337
56,COK,337
57,FJI,337
58,PYF,337
59,GEO,337
60,GUM,337
61,HMD,337
62,HKG,337
63,KAZ,337
64,KIR,337
65,KGZ,337
66,LAO,337
67,MAC,337
68,MYS,337
69,MDV,337
70,MHL,337
71,FSM,337
72,MNG,337
73,MMR,337
74,NRU,337
75,NPL,337
76,NCL,337
77,NZL,337
78,NIU,337
79,NFK,337
80,PRK,337
81,MNP,337
82,PAK,337
83,PLW,337
84,PNG,337
85,PHL,337
86,PCN,337
87,WSM,337
88,SGP,337
89,SLB,337
90,SGS,337
91,LKA,337
92,TJK,337
93,THA,337
94,TLS,337
95,TKL,337
96,TON,337
97,TKM,337
98,TUV,337
99,UMI,337
100,UZB,337
101,VUT,337
102,VNM,337
103,WLF,337
104,ALA,531
105,ALB,531
106,AND,531
107,BLR,531
108,BIH,531
109,FRO,531
110,GIB,531
111,GGY,531
112,ISL,531
113,IMN,531
114,JEY,531
115,XKX,531
116,LIE,531
117,MKD,531
118,MDA,531
119,MCO,531
120,MNE,531
121,SMR,531
122,SRB,531
123,SJM,531
124,UKR,531
125,VAT,531
126,DZA,200
127,AGO,200
128,BEN,200
129,BWA,200
130,BFA,200
131,BDI,200
132,CPV,200
133,CMR,200
134,CAF,200
135,TCD,200
136,COM,200
137,COG,200
138,CIV,200
139,DJI,200
140,COD,200
141,GNQ,200
142,ERI,200
143,SWZ,200
144,ETH,200
145,ATF,200
146,GAB,200
147,GMB,200
148,GHA,200
149,GIN,200
150,GNB,200
151,KEN,200
152,LSO,200
153,LBR,200
154,LBY,200
155,MDG,200
156,MWI,200
157,MLI,200
158,MRT,200
159,MUS,200
160,MYT,200
161,MAR,200
162,MOZ,200
163,NAM,200
164,NER,200
165,NGA,200
166,REU,200
167,RWA,200
168,STP,200
169,SEN,200
170,SYC,200
171,SLE,200
172,SOM,200
173,SSD,200
174,SHN,200
175,SDN,200
176,TZA,200
177,TGO,200
178,TUN,200
179,UGA,200
180,ESH,200
181,ZMB,200
182,ZWE,200
183,AIA,123
184,ATG,123
185,ARG,123
186,ABW,123
187,BHS,123
188,BRB,123
189,BLZ,123
190,BMU,123
191,BOL,123
192,BES,123
193,VGB,123
194,CYM,123
195,CHL,123
196,COL,123
197,CRI,123
198,CUB,123
199,CUW,123
200,DMA,123
201,DOM,123
202,ECU,123
203,SLV,123
204,FLK,123
205,GUF,123
206,GRL,123
207,GRD,123
208,GLP,123
209,GTM,123
210,GUY,123
211,HTI,123
212,HND,123
213,JAM,123
214,MTQ,123
215,MSR,123
216,NIC,123
217,PAN,123
218,PRY,123
219,PER,123
220,PRI,123
221,MAF,123
222,SXM,123
223,BLM,123
224,KNA,123
225,LCA,123
226,SPM,123
227,VCT,123
228,SUR,123
229,TTO,123
230,TCA,123
231,VIR,123
232,URY,123
233,VEN,123
234,BHR,517
235,EGY,517
236,IRN,517
237,IRQ,517
238,ISR,517
239,JOR,517
240,KWT,517
241,LBN,517
242,OMN,517
243,PSE,517
244,QAT,517
245,SAU,517
246,SYR,517
247,ARE,517
248,YEM,517
249,ZAF,24
