,country,emission,emission_log
0,AUT,1185,7.077498053569231
1,AUS,15345,9.638544967053836
2,BEL,4912,8.499436469826978
3,BGR,355,5.872117789475416
4,BRA,13323,9.497247143960212
5,CAN,10626,9.271059107010888
6,CHE,3895,8.267448958304849
7,CHN,11375152,16.246941885349372
8,CYP,47,3.8501476017100584
9,CZE,4593,8.432288684325794
10,DEU,31628,10.361798083190818
11,DNK,2274,7.729295674310482
12,EST,311,5.739792912179234
13,ESP,6896,8.83869681234353
14,FIN,2346,7.76046702921342
15,FRA,13964,9.544237868224927
16,GBR,15241,9.63174444388585
17,GRC,999,6.906754778648554
18,HRV,401,5.993961427306569
19,HUN,2864,7.9599745280805365
20,IDN,10934,9.299632479454944
21,IRL,3438,8.142645185942795
22,IND,27549,10.223721516281632
23,ITA,11866,9.381432446818588
24,JPN,57707,10.963133762295572
25,KOR,49635,10.812451509023822
26,LTU,263,5.572154032177765
27,LUX,56,4.02535169073515
28,LVA,87,4.465908118654584
29,MLT,108,4.68213122712422
30,MEX,18114,9.804440398934894
31,NLD,3641,8.200013648175434
32,NOR,2843,7.952615111651
33,POL,4120,8.323608442343572
34,PRT,946,6.852242569051878
35,ROU,903,6.805722553416985
36,RUS,9832,9.19339765124587
37,SWE,2486,7.818430272070656
38,SVN,488,6.1903154058531475
39,SVK,1220,7.106606137727303
40,TUR,7609,8.937087036176523
41,TWN,231,5.442417710521793
42,USA,101066,11.523529047754419
43,AFG,185713,12.131957750275564
44,ASM,185713,12.131957750275564
45,ATA,185713,12.131957750275564
46,ARM,185713,12.131957750275564
47,AZE,185713,12.131957750275564
48,BGD,185713,12.131957750275564
49,BTN,185713,12.131957750275564
50,BVT,185713,12.131957750275564
51,IOT,185713,12.131957750275564
52,BRN,185713,12.131957750275564
53,KHM,185713,12.131957750275564
54,CXR,185713,12.131957750275564
55,CCK,185713,12.131957750275564
56,COK,185713,12.131957750275564
57,FJI,185713,12.131957750275564
58,PYF,185713,12.131957750275564
59,GEO,185713,12.131957750275564
60,GUM,185713,12.131957750275564
61,HMD,185713,12.131957750275564
62,HKG,185713,12.131957750275564
63,KAZ,185713,12.131957750275564
64,KIR,185713,12.131957750275564
65,KGZ,185713,12.131957750275564
66,LAO,185713,12.131957750275564
67,MAC,185713,12.131957750275564
68,MYS,185713,12.131957750275564
69,MDV,185713,12.131957750275564
70,MHL,185713,12.131957750275564
71,FSM,185713,12.131957750275564
72,MNG,185713,12.131957750275564
73,MMR,185713,12.131957750275564
74,NRU,185713,12.131957750275564
75,NPL,185713,12.131957750275564
