,country,emission
0,AUT,228
1,AUS,80
2,BEL,121
3,BGR,46
4,BRA,76
5,CAN,80
6,CHE,114
7,CHN,308
8,CYP,10
9,CZE,92
10,DEU,531
11,DNK,122
12,EST,14
13,ESP,72
14,FIN,82
15,FRA,245
16,GBR,112
17,GRC,96
18,HRV,20317
19,HUN,104
20,IDN,55
21,IRL,42
22,IND,131
23,ITA,733
24,JPN,116
25,KOR,210
26,LTU,9
27,LUX,13
28,LVA,13
29,MLT,22
30,MEX,81
31,NLD,73
32,NOR,68
33,POL,76
34,PRT,35
35,ROU,64
36,RUS,214
37,SWE,95
38,SVN,345
39,SVK,52
40,TUR,213
41,TWN,63
42,USA,210
43,AFG,164
44,ASM,164
45,ATA,164
46,ARM,164
47,AZE,164
48,BGD,164
49,BTN,164
50,BVT,164
51,IOT,164
52,BRN,164
53,KHM,164
54,CXR,164
55,CCK,164
56,COK,164
57,FJI,164
58,PYF,164
59,GEO,164
60,GUM,164
61,HMD,164
62,HKG,164
63,KAZ,164
64,KIR,164
65,KGZ,164
66,LAO,164
67,MAC,164
68,MYS,164
69,MDV,164
70,MHL,164
71,FSM,164
72,MNG,164
73,MMR,164
74,NRU,164
75,NPL,164
76,NCL,164
77,NZL,164
78,NIU,164
79,NFK,164
80,PRK,164
81,MNP,164
82,PAK,164
83,PLW,164
84,PNG,164
85,PHL,164
86,PCN,164
87,WSM,164
88,SGP,164
89,SLB,164
90,SGS,164
91,LKA,164
92,TJK,164
93,THA,164
94,TLS,164
95,TKL,164
96,TON,164
97,TKM,164
98,TUV,164
99,UMI,164
100,UZB,164
101,VUT,164
102,VNM,164
103,WLF,164
104,ALA,749
105,ALB,749
106,AND,749
107,BLR,749
108,BIH,749
109,FRO,749
110,GIB,749
111,GGY,749
112,ISL,749
113,IMN,749
114,JEY,749
115,XKX,749
116,LIE,749
117,MKD,749
118,MDA,749
119,MCO,749
120,MNE,749
121,SMR,749
122,SRB,749
123,SJM,749
124,UKR,749
125,VAT,749
126,DZA,209
127,AGO,209
128,BEN,209
129,BWA,209
130,BFA,209
131,BDI,209
132,CPV,209
133,CMR,209
134,CAF,209
135,TCD,209
136,COM,209
137,COG,209
138,CIV,209
139,DJI,209
140,COD,209
141,GNQ,209
142,ERI,209
143,SWZ,209
144,ETH,209
145,ATF,209
146,GAB,209
147,GMB,209
148,GHA,209
149,GIN,209
150,GNB,209
151,KEN,209
152,LSO,209
153,LBR,209
154,LBY,209
155,MDG,209
156,MWI,209
157,MLI,209
158,MRT,209
159,MUS,209
160,MYT,209
161,MAR,209
162,MOZ,209
163,NAM,209
164,NER,209
165,NGA,209
166,REU,209
167,RWA,209
168,STP,209
169,SEN,209
170,SYC,209
171,SLE,209
172,SOM,209
173,SSD,209
174,SHN,209
175,SDN,209
176,TZA,209
177,TGO,209
178,TUN,209
179,UGA,209
180,ESH,209
181,ZMB,209
182,ZWE,209
183,AIA,204
184,ATG,204
185,ARG,204
186,ABW,204
187,BHS,204
188,BRB,204
189,BLZ,204
190,BMU,204
191,BOL,204
192,BES,204
193,VGB,204
194,CYM,204
195,CHL,204
196,COL,204
197,CRI,204
198,CUB,204
199,CUW,204
200,DMA,204
201,DOM,204
202,ECU,204
203,SLV,204
204,FLK,204
205,GUF,204
206,GRL,204
207,GRD,204
208,GLP,204
209,GTM,204
210,GUY,204
211,HTI,204
212,HND,204
213,JAM,204
214,MTQ,204
215,MSR,204
216,NIC,204
217,PAN,204
218,PRY,204
219,PER,204
220,PRI,204
221,MAF,204
222,SXM,204
223,BLM,204
224,KNA,204
225,LCA,204
226,SPM,204
227,VCT,204
228,SUR,204
229,TTO,204
230,TCA,204
231,VIR,204
232,URY,204
233,VEN,204
234,BHR,341
235,EGY,341
236,IRN,341
237,IRQ,341
238,ISR,341
239,JOR,341
240,KWT,341
241,LBN,341
242,OMN,341
243,PSE,341
244,QAT,341
245,SAU,341
246,SYR,341
247,ARE,341
248,YEM,341
249,ZAF,27
