,country,emission,emission_log
0,AUT,401,5.993961427306569
1,AUS,388,5.961005339623274
2,BEL,1101,7.00397413672268
3,BGR,84,4.430816798843313
4,BRA,405,6.003887067106539
5,CAN,480,6.173786103901937
6,CHE,942,6.848005274576363
7,CHN,2346,7.76046702921342
8,CYP,56,4.02535169073515
9,CZE,344,5.840641657373398
10,DEU,3143,8.052933036797567
11,DNK,811,6.698268054115413
12,EST,890,6.7912214627261855
13,ESP,528,6.269096283706261
14,FIN,153569,11.941905256410056
15,FRA,1141,7.039660349862076
16,GBR,1263,7.141245122350491
17,GRC,148,4.997212273764115
18,HRV,82,4.406719247264253
19,HUN,210,5.3471075307174685
20,IDN,184,5.214935757608986
21,IRL,653,6.481577129276431
22,IND,538,6.2878585601617845
23,ITA,903,6.805722553416985
24,JPN,457,6.124683390894205
25,KOR,509,6.2324480165505225
26,LTU,165,5.10594547390058
27,LUX,224,5.4116460518550396
28,LVA,206,5.327876168789581
29,MLT,46,3.828641396489095
30,MEX,124,4.820281565605037
31,NLD,986,6.893656354602635
32,NOR,1472,7.294377299288821
33,POL,693,6.541029999189903
34,PRT,179,5.187385805840755
35,ROU,123,4.812184355372417
36,RUS,8126,9.002824076547672
37,SWE,3415,8.13593277200489
38,SVN,95,4.553876891600541
39,SVK,134,4.897839799950911
40,TUR,210,5.3471075307174685
41,TWN,404,6.0014148779611505
42,USA,1542,7.340835554123275
43,AFG,2672,7.890582534656536
44,ASM,2672,7.890582534656536
45,ATA,2672,7.890582534656536
46,ARM,2672,7.890582534656536
47,AZE,2672,7.890582534656536
48,BGD,2672,7.890582534656536
49,BTN,2672,7.890582534656536
50,BVT,2672,7.890582534656536
51,IOT,2672,7.890582534656536
52,BRN,2672,7.890582534656536
53,KHM,2672,7.890582534656536
54,CXR,2672,7.890582534656536
55,CCK,2672,7.890582534656536
56,COK,2672,7.890582534656536
57,FJI,2672,7.890582534656536
58,PYF,2672,7.890582534656536
59,GEO,2672,7.890582534656536
60,GUM,2672,7.890582534656536
61,HMD,2672,7.890582534656536
62,HKG,2672,7.890582534656536
63,KAZ,2672,7.890582534656536
64,KIR,2672,7.890582534656536
65,KGZ,2672,7.890582534656536
66,LAO,2672,7.890582534656536
67,MAC,2672,7.890582534656536
68,MYS,2672,7.890582534656536
69,MDV,2672,7.890582534656536
70,MHL,2672,7.890582534656536
71,FSM,2672,7.890582534656536
72,MNG,2672,7.890582534656536
