,country,emission,emission_log
0,AUT,482,6.1779441140506
1,AUS,887,6.787844982309579
2,BEL,736,6.601230118728877
3,BGR,97,4.574710978503383
4,BRA,1901,7.550135342488429
5,CAN,3122,8.046229101075378
6,CHE,1369,7.221835825288449
7,CHN,18114,9.804440398934894
8,CYP,53,3.970291913552122
9,CZE,315,5.752572638825633
10,DEU,4736,8.462948176563842
11,DNK,355,5.872117789475416
12,EST,122,4.804021044733257
13,ESP,1878,7.537962659768208
14,FIN,308,5.730099782973574
15,FRA,1724,7.452402451223638
16,GBR,1363,7.217443431696533
17,GRC,178,5.181783550292085
18,HRV,81,4.394449154672439
19,HUN,346,5.846438775057725
20,IDN,500,6.214608098422191
21,IRL,967,6.874198495453294
22,IND,1645,7.405495663199472
23,ITA,2282,7.732807530422021
24,JPN,4644,8.443331342817782
25,KOR,4341,8.375860015299594
26,LTU,38,3.6375861597263857
27,LUX,266,5.583496308781699
28,LVA,44,3.784189633918261
29,MLT,81,4.394449154672439
30,MEX,477622,13.076574903651224
31,NLD,1093,6.996681488176539
32,NOR,298,5.697093486505405
33,POL,436,6.077642243349034
34,PRT,257,5.54907608489522
35,ROU,140,4.941642422609304
36,RUS,987,6.894670039433482
37,SWE,785,6.665683717782408
38,SVN,99,4.59511985013459
39,SVK,117,4.762173934797756
40,TUR,262,5.568344503761097
41,TWN,3438,8.142645185942795
42,USA,103970,11.551857674972016
43,AFG,7667,8.944680683558895
44,ASM,7667,8.944680683558895
45,ATA,7667,8.944680683558895
46,ARM,7667,8.944680683558895
47,AZE,7667,8.944680683558895
48,BGD,7667,8.944680683558895
49,BTN,7667,8.944680683558895
50,BVT,7667,8.944680683558895
51,IOT,7667,8.944680683558895
52,BRN,7667,8.944680683558895
53,KHM,7667,8.944680683558895
54,CXR,7667,8.944680683558895
55,CCK,7667,8.944680683558895
56,COK,7667,8.944680683558895
57,FJI,7667,8.944680683558895
58,PYF,7667,8.944680683558895
59,GEO,7667,8.944680683558895
60,GUM,7667,8.944680683558895
61,HMD,7667,8.944680683558895
62,HKG,7667,8.944680683558895
63,KAZ,7667,8.944680683558895
64,KIR,7667,8.944680683558895
65,KGZ,7667,8.944680683558895
66,LAO,7667,8.944680683558895
67,MAC,7667,8.944680683558895
68,MYS,7667,8.944680683558895
69,MDV,7667,8.944680683558895
70,MHL,7667,8.944680683558895
71,FSM,7667,8.944680683558895
72,MNG,7667,8.944680683558895
73,MMR,7667,8.944680683558895
74,NRU,7667,8.944680683558895
75,NPL,7667,8.944680683558895
76,NCL,7667,8.944680683558895
77,NZL,7667,8.944680683558895
78,NIU,7667,8.944680683558895
79,NFK,7667,8.944680683558895
80,PRK,7667,8.944680683558895
81,MNP,7667,8.944680683558895
82,PAK,7667,8.944680683558895
83,PLW,7667,8.944680683558895
84,PNG,7667,8.944680683558895
85,PHL,7667,8.944680683558895
86,PCN,7667,8.944680683558895
87,WSM,7667,8.944680683558895
88,SGP,7667,8.944680683558895
89,SLB,7667,8.944680683558895
90,SGS,7667,8.944680683558895
91,LKA,7667,8.944680683558895
92,TJK,7667,8.944680683558895
93,THA,7667,8.944680683558895
94,TLS,7667,8.944680683558895
95,TKL,7667,8.944680683558895
