,country,emission,emission_log
0,AUT,242,5.488937726156687
1,AUS,251,5.5254529391317835
2,BEL,535,6.282266746896006
3,BGR,59,4.07753744390572
4,BRA,583,6.368187186350492
5,CAN,319,5.765191102784844
6,CHE,404,6.0014148779611505
7,CHN,1575,7.362010551259734
8,CYP,16,2.772588722239781
9,CZE,280,5.634789603169249
10,DEU,2871,7.962415680121064
11,DNK,303,5.713732805509369
12,EST,28,3.332204510175204
13,ESP,4778,8.471777327885755
14,FIN,176,5.170483995038151
15,FRA,2674,7.891330757661889
16,GBR,1203,7.0925737159746784
17,GRC,192,5.2574953720277815
18,HRV,25,3.2188758248682006
19,HUN,182,5.204006687076795
20,IDN,133,4.890349128221754
21,IRL,233,5.4510384535657
22,IND,382,5.945420608606575
23,ITA,957,6.863803391452954
24,JPN,218,5.384495062789089
25,KOR,498,6.210600077024653
26,LTU,22,3.091042453358316
27,LUX,60,4.0943445622221
28,LVA,20,2.995732273553991
29,MLT,18,2.8903717578961645
30,MEX,242,5.488937726156687
31,NLD,357,5.877735781779639
32,NOR,205,5.3230099791384085
33,POL,318,5.762051382780177
34,PRT,111815,11.624600998860817
35,ROU,228,5.429345628954441
36,RUS,445,6.09807428216624
37,SWE,320,5.768320995793772
38,SVN,59,4.07753744390572
39,SVK,111,4.709530201312334
40,TUR,426,6.054439346269371
41,TWN,293,5.680172609017068
42,USA,1318,7.183870715062453
43,AFG,651,6.478509642208569
44,ASM,651,6.478509642208569
45,ATA,651,6.478509642208569
46,ARM,651,6.478509642208569
47,AZE,651,6.478509642208569
48,BGD,651,6.478509642208569
49,BTN,651,6.478509642208569
50,BVT,651,6.478509642208569
51,IOT,651,6.478509642208569
52,BRN,651,6.478509642208569
53,KHM,651,6.478509642208569
54,CXR,651,6.478509642208569
55,CCK,651,6.478509642208569
56,COK,651,6.478509642208569
57,FJI,651,6.478509642208569
58,PYF,651,6.478509642208569
59,GEO,651,6.478509642208569
60,GUM,651,6.478509642208569
61,HMD,651,6.478509642208569
62,HKG,651,6.478509642208569
63,KAZ,651,6.478509642208569
64,KIR,651,6.478509642208569
65,KGZ,651,6.478509642208569
66,LAO,651,6.478509642208569
67,MAC,651,6.478509642208569
68,MYS,651,6.478509642208569
69,MDV,651,6.478509642208569
70,MHL,651,6.478509642208569
71,FSM,651,6.478509642208569
72,MNG,651,6.478509642208569
73,MMR,651,6.478509642208569
74,NRU,651,6.478509642208569
75,NPL,651,6.478509642208569
76,NCL,651,6.478509642208569
77,NZL,651,6.478509642208569
78,NIU,651,6.478509642208569
79,NFK,651,6.478509642208569
80,PRK,651,6.478509642208569
81,MNP,651,6.478509642208569
82,PAK,651,6.478509642208569
83,PLW,651,6.478509642208569
84,PNG,651,6.478509642208569
85,PHL,651,6.478509642208569
86,PCN,651,6.478509642208569
87,WSM,651,6.478509642208569
88,SGP,651,6.478509642208569
89,SLB,651,6.478509642208569
90,SGS,651,6.478509642208569
91,LKA,651,6.478509642208569
92,TJK,651,6.478509642208569
93,THA,651,6.478509642208569
94,TLS,651,6.478509642208569
95,TKL,651,6.478509642208569
96,TON,651,6.478509642208569
97,TKM,651,6.478509642208569
98,TUV,651,6.478509642208569
99,UMI,651,6.478509642208569
100,UZB,651,6.478509642208569
101,VUT,651,6.478509642208569
102,VNM,651,6.478509642208569
103,WLF,651,6.478509642208569
104,ALA,290,5.66988092298052
105,ALB,290,5.66988092298052
106,AND,290,5.66988092298052
107,BLR,290,5.66988092298052
108,BIH,290,5.66988092298052
109,FRO,290,5.66988092298052
110,GIB,290,5.66988092298052
111,GGY,290,5.66988092298052
112,ISL,290,5.66988092298052
113,IMN,290,5.66988092298052
114,JEY,290,5.66988092298052
115,XKX,290,5.66988092298052
116,LIE,290,5.66988092298052
117,MKD,290,5.66988092298052
118,MDA,290,5.66988092298052
119,MCO,290,5.66988092298052
120,MNE,290,5.66988092298052
121,SMR,290,5.66988092298052
122,SRB,290,5.66988092298052
123,SJM,290,5.66988092298052
124,UKR,290,5.66988092298052
125,VAT,290,5.66988092298052
126,DZA,2271,7.7279755421055585
127,AGO,2271,7.7279755421055585
128,BEN,2271,7.7279755421055585
129,BWA,2271,7.7279755421055585
130,BFA,2271,7.7279755421055585
131,BDI,2271,7.7279755421055585
132,CPV,2271,7.7279755421055585
133,CMR,2271,7.7279755421055585
134,CAF,2271,7.7279755421055585
135,TCD,2271,7.7279755421055585
136,COM,2271,7.7279755421055585
137,COG,2271,7.7279755421055585
138,CIV,2271,7.7279755421055585
139,DJI,2271,7.7279755421055585
140,COD,2271,7.7279755421055585
141,GNQ,2271,7.7279755421055585
142,ERI,2271,7.7279755421055585
143,SWZ,2271,7.7279755421055585
144,ETH,2271,7.7279755421055585
145,ATF,2271,7.7279755421055585
146,GAB,2271,7.7279755421055585
147,GMB,2271,7.7279755421055585
148,GHA,2271,7.7279755421055585
149,GIN,2271,7.7279755421055585
150,GNB,2271,7.7279755421055585
