,country,emission
0,AUT,1150
1,AUS,99
2,BEL,359
3,BGR,90
4,BRA,60
5,CAN,117
6,CHE,414
7,CHN,1534
8,CYP,28
9,CZE,4319
10,DEU,5645
11,DNK,193
12,EST,44
13,ESP,447
14,FIN,113
15,FRA,1561
16,GBR,377
17,GRC,105
18,HRV,67
19,HUN,1926
20,IDN,65
21,IRL,199
22,IND,137
23,ITA,1204
24,JPN,229
25,KOR,1524
26,LTU,41
27,LUX,93
28,LVA,36
29,MLT,32
30,MEX,49
31,NLD,373
32,NOR,123
33,POL,2011
34,PRT,111
35,ROU,436
36,RUS,3575
37,SWE,225
38,SVN,207
39,SVK,62137
40,TUR,182
41,TWN,290
42,USA,315
43,AFG,998
44,ASM,998
45,ATA,998
46,ARM,998
47,AZE,998
48,BGD,998
49,BTN,998
50,BVT,998
51,IOT,998
52,BRN,998
53,KHM,998
54,CXR,998
55,CCK,998
56,COK,998
57,FJI,998
58,PYF,998
59,GEO,998
60,GUM,998
61,HMD,998
62,HKG,998
63,KAZ,998
64,KIR,998
65,KGZ,998
66,LAO,998
67,MAC,998
68,MYS,998
69,MDV,998
70,MHL,998
71,FSM,998
72,MNG,998
73,MMR,998
74,NRU,998
75,NPL,998
76,NCL,998
77,NZL,998
78,NIU,998
79,NFK,998
80,PRK,998
81,MNP,998
82,PAK,998
83,PLW,998
84,PNG,998
85,PHL,998
86,PCN,998
87,WSM,998
88,SGP,998
89,SLB,998
90,SGS,998
91,LKA,998
92,TJK,998
93,THA,998
94,TLS,998
95,TKL,998
96,TON,998
97,TKM,998
98,TUV,998
99,UMI,998
100,UZB,998
101,VUT,998
102,VNM,998
103,WLF,998
104,ALA,586
105,ALB,586
106,AND,586
107,BLR,586
108,BIH,586
109,FRO,586
110,GIB,586
111,GGY,586
112,ISL,586
113,IMN,586
114,JEY,586
115,XKX,586
116,LIE,586
117,MKD,586
118,MDA,586
119,MCO,586
120,MNE,586
121,SMR,586
122,SRB,586
123,SJM,586
124,UKR,586
125,VAT,586
126,DZA,375
127,AGO,375
128,BEN,375
129,BWA,375
130,BFA,375
131,BDI,375
132,CPV,375
133,CMR,375
134,CAF,375
135,TCD,375
136,COM,375
137,COG,375
138,CIV,375
139,DJI,375
140,COD,375
141,GNQ,375
142,ERI,375
143,SWZ,375
144,ETH,375
145,ATF,375
146,GAB,375
147,GMB,375
148,GHA,375
149,GIN,375
150,GNB,375
151,KEN,375
152,LSO,375
153,LBR,375
154,LBY,375
155,MDG,375
156,MWI,375
157,MLI,375
158,MRT,375
159,MUS,375
160,MYT,375
161,MAR,375
162,MOZ,375
163,NAM,375
164,NER,375
165,NGA,375
166,REU,375
167,RWA,375
168,STP,375
169,SEN,375
170,SYC,375
171,SLE,375
172,SOM,375
173,SSD,375
174,SHN,375
175,SDN,375
176,TZA,375
177,TGO,375
178,TUN,375
179,UGA,375
180,ESH,375
181,ZMB,375
182,ZWE,375
183,AIA,160
184,ATG,160
185,ARG,160
186,ABW,160
187,BHS,160
188,BRB,160
189,BLZ,160
190,BMU,160
191,BOL,160
192,BES,160
193,VGB,160
194,CYM,160
195,CHL,160
196,COL,160
197,CRI,160
198,CUB,160
199,CUW,160
200,DMA,160
201,DOM,160
202,ECU,160
203,SLV,160
204,FLK,160
205,GUF,160
206,GRL,160
207,GRD,160
208,GLP,160
209,GTM,160
210,GUY,160
211,HTI,160
212,HND,160
213,JAM,160
214,MTQ,160
215,MSR,160
216,NIC,160
217,PAN,160
218,PRY,160
219,PER,160
220,PRI,160
221,MAF,160
222,SXM,160
223,BLM,160
224,KNA,160
225,LCA,160
226,SPM,160
227,VCT,160
228,SUR,160
229,TTO,160
230,TCA,160
231,VIR,160
232,URY,160
233,VEN,160
234,BHR,612
235,EGY,612
236,IRN,612
237,IRQ,612
238,ISR,612
239,JOR,612
240,KWT,612
241,LBN,612
242,OMN,612
243,PSE,612
244,QAT,612
245,SAU,612
246,SYR,612
247,ARE,612
248,YEM,612
249,ZAF,36
