,country,emission,emission_log
0,AUT,919,6.823286122355687
1,AUS,909,6.812345094177479
2,BEL,2775,7.928406026180535
3,BGR,118,4.770684624465665
4,BRA,1159,7.055312843339752
5,CAN,1361,7.215975002651466
6,CHE,1615,7.387090235656757
7,CHN,7429,8.913146539151807
8,CYP,41,3.713572066704308
9,CZE,739,6.6052979209482015
10,DEU,8351,9.03013657115323
11,DNK,3414,8.135639903354386
12,EST,369,5.910796644040527
13,ESP,1820,7.506591780070841
14,FIN,3365,8.121183242078828
15,FRA,4245,8.353497098745448
16,GBR,5535,8.618846845142738
17,GRC,272,5.605802066295998
18,HRV,65,4.174387269895637
19,HUN,566,6.338594078203183
20,IDN,464,6.139884552226255
21,IRL,1911,7.555381944240273
22,IND,1650,7.408530566894626
23,ITA,2969,7.99598047476376
24,JPN,2219,7.704811922932594
25,KOR,2154,7.675081857716334
26,LTU,229,5.43372200355424
27,LUX,447,6.102558594613569
28,LVA,104,4.6443908991413725
29,MLT,44,3.784189633918261
30,MEX,735,6.5998704992128365
31,NLD,2063,7.631916513071252
32,NOR,8138,9.004299728561636
33,POL,2373,7.771910256435763
34,PRT,374,5.924255797414532
35,ROU,276,5.62040086571715
36,RUS,1612,7.385230923066573
37,SWE,274259,12.521828194372036
38,SVN,91,4.51085950651685
39,SVK,235,5.459585514144159
40,TUR,1073,6.9782137426306985
41,TWN,1105,7.007600613951853
42,USA,5752,8.657302899400882
43,AFG,2910,7.975908360165538
44,ASM,2910,7.975908360165538
45,ATA,2910,7.975908360165538
46,ARM,2910,7.975908360165538
47,AZE,2910,7.975908360165538
48,BGD,2910,7.975908360165538
49,BTN,2910,7.975908360165538
50,BVT,2910,7.975908360165538
51,IOT,2910,7.975908360165538
52,BRN,2910,7.975908360165538
53,KHM,2910,7.975908360165538
54,CXR,2910,7.975908360165538
55,CCK,2910,7.975908360165538
56,COK,2910,7.975908360165538
57,FJI,2910,7.975908360165538
58,PYF,2910,7.975908360165538
59,GEO,2910,7.975908360165538
60,GUM,2910,7.975908360165538
61,HMD,2910,7.975908360165538
62,HKG,2910,7.975908360165538
63,KAZ,2910,7.975908360165538
64,KIR,2910,7.975908360165538
65,KGZ,2910,7.975908360165538
66,LAO,2910,7.975908360165538
67,MAC,2910,7.975908360165538
68,MYS,2910,7.975908360165538
69,MDV,2910,7.975908360165538
70,MHL,2910,7.975908360165538
71,FSM,2910,7.975908360165538
72,MNG,2910,7.975908360165538
73,MMR,2910,7.975908360165538
74,NRU,2910,7.975908360165538
75,NPL,2910,7.975908360165538
76,NCL,2910,7.975908360165538
77,NZL,2910,7.975908360165538
78,NIU,2910,7.975908360165538
79,NFK,2910,7.975908360165538
80,PRK,2910,7.975908360165538
81,MNP,2910,7.975908360165538
82,PAK,2910,7.975908360165538
83,PLW,2910,7.975908360165538
84,PNG,2910,7.975908360165538
85,PHL,2910,7.975908360165538
86,PCN,2910,7.975908360165538
87,WSM,2910,7.975908360165538
88,SGP,2910,7.975908360165538
89,SLB,2910,7.975908360165538
90,SGS,2910,7.975908360165538
91,LKA,2910,7.975908360165538
92,TJK,2910,7.975908360165538
93,THA,2910,7.975908360165538
94,TLS,2910,7.975908360165538
95,TKL,2910,7.975908360165538
96,TON,2910,7.975908360165538
97,TKM,2910,7.975908360165538
98,TUV,2910,7.975908360165538
99,UMI,2910,7.975908360165538
100,UZB,2910,7.975908360165538
101,VUT,2910,7.975908360165538
102,VNM,2910,7.975908360165538
103,WLF,2910,7.975908360165538
104,ALA,1149,7.046647277848756
105,ALB,1149,7.046647277848756
106,AND,1149,7.046647277848756
107,BLR,1149,7.046647277848756
108,BIH,1149,7.046647277848756
109,FRO,1149,7.046647277848756
110,GIB,1149,7.046647277848756
111,GGY,1149,7.046647277848756
112,ISL,1149,7.046647277848756
113,IMN,1149,7.046647277848756
114,JEY,1149,7.046647277848756
115,XKX,1149,7.046647277848756
116,LIE,1149,7.046647277848756
117,MKD,1149,7.046647277848756
118,MDA,1149,7.046647277848756
119,MCO,1149,7.046647277848756
120,MNE,1149,7.046647277848756
121,SMR,1149,7.046647277848756
122,SRB,1149,7.046647277848756
123,SJM,1149,7.046647277848756
124,UKR,1149,7.046647277848756
125,VAT,1149,7.046647277848756
126,DZA,2059,7.629975707027789
127,AGO,2059,7.629975707027789
128,BEN,2059,7.629975707027789
129,BWA,2059,7.629975707027789
130,BFA,2059,7.629975707027789
131,BDI,2059,7.629975707027789
132,CPV,2059,7.629975707027789
133,CMR,2059,7.629975707027789
134,CAF,2059,7.629975707027789
135,TCD,2059,7.629975707027789
136,COM,2059,7.629975707027789
137,COG,2059,7.629975707027789
138,CIV,2059,7.629975707027789
139,DJI,2059,7.629975707027789
140,COD,2059,7.629975707027789
141,GNQ,2059,7.629975707027789
142,ERI,2059,7.629975707027789
143,SWZ,2059,7.629975707027789
144,ETH,2059,7.629975707027789
145,ATF,2059,7.629975707027789
146,GAB,2059,7.629975707027789
147,GMB,2059,7.629975707027789
148,GHA,2059,7.629975707027789
149,GIN,2059,7.629975707027789
150,GNB,2059,7.629975707027789
151,KEN,2059,7.629975707027789
152,LSO,2059,7.629975707027789
153,LBR,2059,7.629975707027789
154,LBY,2059,7.629975707027789
155,MDG,2059,7.629975707027789
156,MWI,2059,7.629975707027789
157,MLI,2059,7.629975707027789
158,MRT,2059,7.629975707027789
159,MUS,2059,7.629975707027789
160,MYT,2059,7.629975707027789
161,MAR,2059,7.629975707027789
