,country,emission,emission_log
0,AUT,1601,7.3783837129967145
1,AUS,98,4.584967478670572
2,BEL,371,5.916202062607435
3,BGR,155,5.043425116919247
4,BRA,103,4.634728988229636
5,CAN,174,5.159055299214529
6,CHE,447,6.102558594613569
7,CHN,1194,7.085064293952548
8,CYP,23,3.1354942159291497
9,CZE,3459,8.148734808937169
10,DEU,6515,8.781862489558945
11,DNK,205,5.3230099791384085
12,EST,37,3.6109179126442243
13,ESP,708,6.56244409369372
14,FIN,135,4.90527477843843
15,FRA,1170,7.064759027791802
16,GBR,1363,7.217443431696533
17,GRC,110,4.700480365792417
18,HRV,106,4.663439094112067
19,HUN,1670,7.4205789054108005
20,IDN,61,4.110873864173311
21,IRL,108,4.68213122712422
22,IND,94,4.543294782270004
23,ITA,1259,7.138073034044347
24,JPN,121,4.795790545596741
25,KOR,183,5.209486152841421
26,LTU,53,3.970291913552122
27,LUX,63,4.143134726391533
28,LVA,31,3.4339872044851463
29,MLT,12,2.4849066497880004
30,MEX,122,4.804021044733257
31,NLD,237,5.4680601411351315
32,NOR,163,5.093750200806762
33,POL,2121,7.659642954564682
34,PRT,117,4.762173934797756
35,ROU,550,6.309918278226516
36,RUS,499,6.212606095751519
37,SWE,399,5.988961416889864
38,SVN,161,5.081404364984463
39,SVK,64065,11.067653471943677
40,TUR,441,6.089044875446846
41,TWN,286,5.655991810819852
42,USA,571,6.3473892096560105
43,AFG,283,5.645446897643238
44,ASM,283,5.645446897643238
45,ATA,283,5.645446897643238
46,ARM,283,5.645446897643238
47,AZE,283,5.645446897643238
48,BGD,283,5.645446897643238
49,BTN,283,5.645446897643238
50,BVT,283,5.645446897643238
51,IOT,283,5.645446897643238
52,BRN,283,5.645446897643238
53,KHM,283,5.645446897643238
54,CXR,283,5.645446897643238
55,CCK,283,5.645446897643238
56,COK,283,5.645446897643238
57,FJI,283,5.645446897643238
58,PYF,283,5.645446897643238
59,GEO,283,5.645446897643238
60,GUM,283,5.645446897643238
61,HMD,283,5.645446897643238
62,HKG,283,5.645446897643238
63,KAZ,283,5.645446897643238
64,KIR,283,5.645446897643238
65,KGZ,283,5.645446897643238
66,LAO,283,5.645446897643238
67,MAC,283,5.645446897643238
68,MYS,283,5.645446897643238
69,MDV,283,5.645446897643238
70,MHL,283,5.645446897643238
71,FSM,283,5.645446897643238
72,MNG,283,5.645446897643238
73,MMR,283,5.645446897643238
74,NRU,283,5.645446897643238
75,NPL,283,5.645446897643238
76,NCL,283,5.645446897643238
77,NZL,283,5.645446897643238
78,NIU,283,5.645446897643238
79,NFK,283,5.645446897643238
80,PRK,283,5.645446897643238
81,MNP,283,5.645446897643238
82,PAK,283,5.645446897643238
83,PLW,283,5.645446897643238
84,PNG,283,5.645446897643238
85,PHL,283,5.645446897643238
86,PCN,283,5.645446897643238
87,WSM,283,5.645446897643238
88,SGP,283,5.645446897643238
89,SLB,283,5.645446897643238
90,SGS,283,5.645446897643238
91,LKA,283,5.645446897643238
92,TJK,283,5.645446897643238
93,THA,283,5.645446897643238
94,TLS,283,5.645446897643238
95,TKL,283,5.645446897643238
96,TON,283,5.645446897643238
97,TKM,283,5.645446897643238
98,TUV,283,5.645446897643238
99,UMI,283,5.645446897643238
100,UZB,283,5.645446897643238
101,VUT,283,5.645446897643238
102,VNM,283,5.645446897643238
103,WLF,283,5.645446897643238
104,ALA,296,5.69035945432406
105,ALB,296,5.69035945432406
106,AND,296,5.69035945432406
107,BLR,296,5.69035945432406
108,BIH,296,5.69035945432406
109,FRO,296,5.69035945432406
110,GIB,296,5.69035945432406
111,GGY,296,5.69035945432406
112,ISL,296,5.69035945432406
113,IMN,296,5.69035945432406
114,JEY,296,5.69035945432406
115,XKX,296,5.69035945432406
116,LIE,296,5.69035945432406
117,MKD,296,5.69035945432406
118,MDA,296,5.69035945432406
119,MCO,296,5.69035945432406
120,MNE,296,5.69035945432406
121,SMR,296,5.69035945432406
122,SRB,296,5.69035945432406
123,SJM,296,5.69035945432406
124,UKR,296,5.69035945432406
125,VAT,296,5.69035945432406
126,DZA,148,4.997212273764115
127,AGO,148,4.997212273764115
128,BEN,148,4.997212273764115
129,BWA,148,4.997212273764115
130,BFA,148,4.997212273764115
131,BDI,148,4.997212273764115
132,CPV,148,4.997212273764115
133,CMR,148,4.997212273764115
134,CAF,148,4.997212273764115
135,TCD,148,4.997212273764115
136,COM,148,4.997212273764115
137,COG,148,4.997212273764115
138,CIV,148,4.997212273764115
139,DJI,148,4.997212273764115
140,COD,148,4.997212273764115
141,GNQ,148,4.997212273764115
142,ERI,148,4.997212273764115
143,SWZ,148,4.997212273764115
144,ETH,148,4.997212273764115
145,ATF,148,4.997212273764115
146,GAB,148,4.997212273764115
147,GMB,148,4.997212273764115
148,GHA,148,4.997212273764115
149,GIN,148,4.997212273764115
150,GNB,148,4.997212273764115
151,KEN,148,4.997212273764115
152,LSO,148,4.997212273764115
153,LBR,148,4.997212273764115
154,LBY,148,4.997212273764115
155,MDG,148,4.997212273764115
156,MWI,148,4.997212273764115
157,MLI,148,4.997212273764115
158,MRT,148,4.997212273764115
159,MUS,148,4.997212273764115
160,MYT,148,4.997212273764115
161,MAR,148,4.997212273764115
162,MOZ,148,4.997212273764115
163,NAM,148,4.997212273764115
164,NER,148,4.997212273764115
165,NGA,148,4.997212273764115
166,REU,148,4.997212273764115
167,RWA,148,4.997212273764115
168,STP,148,4.997212273764115
169,SEN,148,4.997212273764115
170,SYC,148,4.997212273764115
171,SLE,148,4.997212273764115
172,SOM,148,4.997212273764115
173,SSD,148,4.997212273764115
174,SHN,148,4.997212273764115
175,SDN,148,4.997212273764115
176,TZA,148,4.997212273764115
177,TGO,148,4.997212273764115
178,TUN,148,4.997212273764115
179,UGA,148,4.997212273764115
180,ESH,148,4.997212273764115
181,ZMB,148,4.997212273764115
182,ZWE,148,4.997212273764115
183,AIA,187,5.231108616854587
184,ATG,187,5.231108616854587
185,ARG,187,5.231108616854587
186,ABW,187,5.231108616854587
187,BHS,187,5.231108616854587
188,BRB,187,5.231108616854587
189,BLZ,187,5.231108616854587
190,BMU,187,5.231108616854587
191,BOL,187,5.231108616854587
192,BES,187,5.231108616854587
193,VGB,187,5.231108616854587
194,CYM,187,5.231108616854587
195,CHL,187,5.231108616854587
196,COL,187,5.231108616854587
197,CRI,187,5.231108616854587
198,CUB,187,5.231108616854587
199,CUW,187,5.231108616854587
200,DMA,187,5.231108616854587
201,DOM,187,5.231108616854587
202,ECU,187,5.231108616854587
203,SLV,187,5.231108616854587
204,FLK,187,5.231108616854587
205,GUF,187,5.231108616854587
206,GRL,187,5.231108616854587
207,GRD,187,5.231108616854587
208,GLP,187,5.231108616854587
209,GTM,187,5.231108616854587
210,GUY,187,5.231108616854587
211,HTI,187,5.231108616854587
212,HND,187,5.231108616854587
213,JAM,187,5.231108616854587
214,MTQ,187,5.231108616854587
215,MSR,187,5.231108616854587
216,NIC,187,5.231108616854587
217,PAN,187,5.231108616854587
218,PRY,187,5.231108616854587
219,PER,187,5.231108616854587
220,PRI,187,5.231108616854587
221,MAF,187,5.231108616854587
222,SXM,187,5.231108616854587
223,BLM,187,5.231108616854587
224,KNA,187,5.231108616854587
225,LCA,187,5.231108616854587
226,SPM,187,5.231108616854587
227,VCT,187,5.231108616854587
228,SUR,187,5.231108616854587
229,TTO,187,5.231108616854587
230,TCA,187,5.231108616854587
231,VIR,187,5.231108616854587
232,URY,187,5.231108616854587
233,VEN,187,5.231108616854587
234,BHR,409,6.013715156042802
235,EGY,409,6.013715156042802
236,IRN,409,6.013715156042802
237,IRQ,409,6.013715156042802
238,ISR,409,6.013715156042802
239,JOR,409,6.013715156042802
240,KWT,409,6.013715156042802
241,LBN,409,6.013715156042802
242,OMN,409,6.013715156042802
243,PSE,409,6.013715156042802
244,QAT,409,6.013715156042802
245,SAU,409,6.013715156042802
246,SYR,409,6.013715156042802
247,ARE,409,6.013715156042802
248,YEM,409,6.013715156042802
249,ZAF,49,3.8918202981106265
