,country,emission
0,AUT,853
1,AUS,518
2,BEL,3281
3,BGR,139
4,BRA,487
5,CAN,682
6,CHE,1495
7,CHN,2541
8,CYP,81
9,CZE,728
10,DEU,8471
11,DNK,4259
12,EST,804
13,ESP,1482
14,FIN,3103
15,FRA,3522
16,GBR,5234
17,GRC,264
18,HRV,111
19,HUN,526
20,IDN,197
21,IRL,1812
22,IND,759
23,ITA,1998
24,JPN,1080
25,KOR,673
26,LTU,272
27,LUX,601
28,LVA,382
29,MLT,74
30,MEX,116
31,NLD,2681
32,NOR,5408
33,POL,2194
34,PRT,337
35,ROU,318
36,RUS,4242
37,SWE,274259
38,SVN,162
39,SVK,399
40,TUR,522
41,TWN,410
42,USA,2996
43,AFG,4825
44,ASM,4825
45,ATA,4825
46,ARM,4825
47,AZE,4825
48,BGD,4825
49,BTN,4825
50,BVT,4825
51,IOT,4825
52,BRN,4825
53,KHM,4825
54,CXR,4825
55,CCK,4825
56,COK,4825
57,FJI,4825
58,PYF,4825
59,GEO,4825
60,GUM,4825
61,HMD,4825
62,HKG,4825
63,KAZ,4825
64,KIR,4825
65,KGZ,4825
66,LAO,4825
67,MAC,4825
68,MYS,4825
69,MDV,4825
70,MHL,4825
71,FSM,4825
72,MNG,4825
73,MMR,4825
74,NRU,4825
75,NPL,4825
76,NCL,4825
77,NZL,4825
78,NIU,4825
79,NFK,4825
80,PRK,4825
81,MNP,4825
82,PAK,4825
83,PLW,4825
84,PNG,4825
85,PHL,4825
86,PCN,4825
87,WSM,4825
88,SGP,4825
89,SLB,4825
90,SGS,4825
91,LKA,4825
92,TJK,4825
93,THA,4825
94,TLS,4825
95,TKL,4825
96,TON,4825
97,TKM,4825
98,TUV,4825
99,UMI,4825
100,UZB,4825
101,VUT,4825
102,VNM,4825
103,WLF,4825
104,ALA,414
105,ALB,414
106,AND,414
107,BLR,414
108,BIH,414
109,FRO,414
110,GIB,414
111,GGY,414
112,ISL,414
113,IMN,414
114,JEY,414
115,XKX,414
116,LIE,414
117,MKD,414
118,MDA,414
119,MCO,414
120,MNE,414
121,SMR,414
122,SRB,414
123,SJM,414
124,UKR,414
125,VAT,414
126,DZA,1462
127,AGO,1462
128,BEN,1462
129,BWA,1462
130,BFA,1462
131,BDI,1462
132,CPV,1462
133,CMR,1462
134,CAF,1462
135,TCD,1462
136,COM,1462
137,COG,1462
138,CIV,1462
139,DJI,1462
140,COD,1462
141,GNQ,1462
142,ERI,1462
143,SWZ,1462
144,ETH,1462
145,ATF,1462
146,GAB,1462
147,GMB,1462
148,GHA,1462
149,GIN,1462
150,GNB,1462
151,KEN,1462
152,LSO,1462
153,LBR,1462
154,LBY,1462
155,MDG,1462
156,MWI,1462
157,MLI,1462
158,MRT,1462
159,MUS,1462
160,MYT,1462
161,MAR,1462
162,MOZ,1462
163,NAM,1462
164,NER,1462
165,NGA,1462
166,REU,1462
167,RWA,1462
168,STP,1462
169,SEN,1462
170,SYC,1462
171,SLE,1462
172,SOM,1462
173,SSD,1462
174,SHN,1462
175,SDN,1462
176,TZA,1462
177,TGO,1462
178,TUN,1462
179,UGA,1462
180,ESH,1462
181,ZMB,1462
182,ZWE,1462
183,AIA,1246
184,ATG,1246
185,ARG,1246
186,ABW,1246
187,BHS,1246
188,BRB,1246
189,BLZ,1246
190,BMU,1246
191,BOL,1246
192,BES,1246
193,VGB,1246
194,CYM,1246
195,CHL,1246
196,COL,1246
197,CRI,1246
198,CUB,1246
199,CUW,1246
200,DMA,1246
201,DOM,1246
202,ECU,1246
203,SLV,1246
204,FLK,1246
205,GUF,1246
206,GRL,1246
207,GRD,1246
208,GLP,1246
209,GTM,1246
210,GUY,1246
211,HTI,1246
212,HND,1246
213,JAM,1246
214,MTQ,1246
215,MSR,1246
216,NIC,1246
217,PAN,1246
218,PRY,1246
219,PER,1246
220,PRI,1246
221,MAF,1246
222,SXM,1246
223,BLM,1246
224,KNA,1246
225,LCA,1246
226,SPM,1246
227,VCT,1246
228,SUR,1246
229,TTO,1246
230,TCA,1246
231,VIR,1246
232,URY,1246
233,VEN,1246
234,BHR,1889
235,EGY,1889
236,IRN,1889
237,IRQ,1889
238,ISR,1889
239,JOR,1889
240,KWT,1889
241,LBN,1889
242,OMN,1889
243,PSE,1889
244,QAT,1889
245,SAU,1889
246,SYR,1889
247,ARE,1889
248,YEM,1889
249,ZAF,151
