,country,emission
0,AUT,444
1,AUS,543
2,BEL,855
3,BGR,87
4,BRA,545
5,CAN,969
6,CHE,1351
7,CHN,2531
8,CYP,57
9,CZE,349
10,DEU,3454
11,DNK,432
12,EST,49
13,ESP,1168
14,FIN,347
15,FRA,3374
16,GBR,3446
17,GRC,223
18,HRV,49
19,HUN,341
20,IDN,335
21,IRL,1909
22,IND,1157
23,ITA,1528
24,JPN,898
25,KOR,818
26,LTU,43
27,LUX,77595
28,LVA,43
29,MLT,53
30,MEX,433
31,NLD,1410
32,NOR,250
33,POL,462
34,PRT,245
35,ROU,212
36,RUS,910
37,SWE,684
38,SVN,71
39,SVK,152
40,TUR,443
41,TWN,330
42,USA,3850
43,AFG,3066
44,ASM,3066
45,ATA,3066
46,ARM,3066
47,AZE,3066
48,BGD,3066
49,BTN,3066
50,BVT,3066
51,IOT,3066
52,BRN,3066
53,KHM,3066
54,CXR,3066
55,CCK,3066
56,COK,3066
57,FJI,3066
58,PYF,3066
59,GEO,3066
60,GUM,3066
61,HMD,3066
62,HKG,3066
63,KAZ,3066
64,KIR,3066
65,KGZ,3066
66,LAO,3066
67,MAC,3066
68,MYS,3066
69,MDV,3066
70,MHL,3066
71,FSM,3066
72,MNG,3066
73,MMR,3066
74,NRU,3066
75,NPL,3066
76,NCL,3066
77,NZL,3066
78,NIU,3066
79,NFK,3066
80,PRK,3066
81,MNP,3066
82,PAK,3066
83,PLW,3066
84,PNG,3066
85,PHL,3066
86,PCN,3066
87,WSM,3066
88,SGP,3066
89,SLB,3066
90,SGS,3066
91,LKA,3066
92,TJK,3066
93,THA,3066
94,TLS,3066
95,TKL,3066
96,TON,3066
97,TKM,3066
98,TUV,3066
99,UMI,3066
100,UZB,3066
101,VUT,3066
102,VNM,3066
103,WLF,3066
104,ALA,1157
105,ALB,1157
106,AND,1157
107,BLR,1157
108,BIH,1157
109,FRO,1157
110,GIB,1157
111,GGY,1157
112,ISL,1157
113,IMN,1157
114,JEY,1157
115,XKX,1157
116,LIE,1157
117,MKD,1157
118,MDA,1157
119,MCO,1157
120,MNE,1157
121,SMR,1157
122,SRB,1157
123,SJM,1157
124,UKR,1157
125,VAT,1157
126,DZA,1536
127,AGO,1536
128,BEN,1536
129,BWA,1536
130,BFA,1536
131,BDI,1536
132,CPV,1536
133,CMR,1536
134,CAF,1536
135,TCD,1536
136,COM,1536
137,COG,1536
138,CIV,1536
139,DJI,1536
140,COD,1536
141,GNQ,1536
142,ERI,1536
143,SWZ,1536
144,ETH,1536
145,ATF,1536
146,GAB,1536
147,GMB,1536
148,GHA,1536
149,GIN,1536
150,GNB,1536
151,KEN,1536
152,LSO,1536
153,LBR,1536
154,LBY,1536
155,MDG,1536
156,MWI,1536
157,MLI,1536
158,MRT,1536
159,MUS,1536
160,MYT,1536
161,MAR,1536
162,MOZ,1536
163,NAM,1536
164,NER,1536
165,NGA,1536
166,REU,1536
167,RWA,1536
168,STP,1536
169,SEN,1536
170,SYC,1536
171,SLE,1536
172,SOM,1536
173,SSD,1536
174,SHN,1536
175,SDN,1536
176,TZA,1536
177,TGO,1536
178,TUN,1536
179,UGA,1536
180,ESH,1536
181,ZMB,1536
182,ZWE,1536
183,AIA,2372
184,ATG,2372
185,ARG,2372
186,ABW,2372
187,BHS,2372
188,BRB,2372
189,BLZ,2372
190,BMU,2372
191,BOL,2372
192,BES,2372
193,VGB,2372
194,CYM,2372
195,CHL,2372
196,COL,2372
197,CRI,2372
198,CUB,2372
199,CUW,2372
200,DMA,2372
201,DOM,2372
202,ECU,2372
203,SLV,2372
204,FLK,2372
205,GUF,2372
206,GRL,2372
207,GRD,2372
208,GLP,2372
209,GTM,2372
210,GUY,2372
211,HTI,2372
212,HND,2372
213,JAM,2372
214,MTQ,2372
215,MSR,2372
216,NIC,2372
217,PAN,2372
218,PRY,2372
219,PER,2372
220,PRI,2372
221,MAF,2372
222,SXM,2372
223,BLM,2372
224,KNA,2372
225,LCA,2372
226,SPM,2372
227,VCT,2372
228,SUR,2372
229,TTO,2372
230,TCA,2372
231,VIR,2372
232,URY,2372
233,VEN,2372
234,BHR,2603
235,EGY,2603
236,IRN,2603
237,IRQ,2603
238,ISR,2603
239,JOR,2603
240,KWT,2603
241,LBN,2603
242,OMN,2603
243,PSE,2603
244,QAT,2603
245,SAU,2603
246,SYR,2603
247,ARE,2603
248,YEM,2603
249,ZAF,1332
