,country,emission
0,AUT,1677
1,AUS,483
2,BEL,1690
3,BGR,395
4,BRA,428
5,CAN,1010
6,CHE,1237
7,CHN,3673
8,CYP,64
9,CZE,5318
10,DEU,23661
11,DNK,1304
12,EST,472
13,ESP,2606
14,FIN,775
15,FRA,6181
16,GBR,5727
17,GRC,334
18,HRV,202
19,HUN,2787
20,IDN,242
21,IRL,951
22,IND,771
23,ITA,4201
24,JPN,622
25,KOR,773
26,LTU,761
27,LUX,280
28,LVA,294
29,MLT,32
30,MEX,624
31,NLD,2038
32,NOR,1395
33,POL,319176
34,PRT,421
35,ROU,1373
36,RUS,2022
37,SWE,2420
38,SVN,275
39,SVK,2372
40,TUR,1707
41,TWN,590
42,USA,3071
43,AFG,1664
44,ASM,1664
45,ATA,1664
46,ARM,1664
47,AZE,1664
48,BGD,1664
49,BTN,1664
50,BVT,1664
51,IOT,1664
52,BRN,1664
53,KHM,1664
54,CXR,1664
55,CCK,1664
56,COK,1664
57,FJI,1664
58,PYF,1664
59,GEO,1664
60,GUM,1664
61,HMD,1664
62,HKG,1664
63,KAZ,1664
64,KIR,1664
65,KGZ,1664
66,LAO,1664
67,MAC,1664
68,MYS,1664
69,MDV,1664
70,MHL,1664
71,FSM,1664
72,MNG,1664
73,MMR,1664
74,NRU,1664
75,NPL,1664
76,NCL,1664
77,NZL,1664
78,NIU,1664
79,NFK,1664
80,PRK,1664
81,MNP,1664
82,PAK,1664
83,PLW,1664
84,PNG,1664
85,PHL,1664
86,PCN,1664
87,WSM,1664
88,SGP,1664
89,SLB,1664
90,SGS,1664
91,LKA,1664
92,TJK,1664
93,THA,1664
94,TLS,1664
95,TKL,1664
96,TON,1664
97,TKM,1664
98,TUV,1664
99,UMI,1664
100,UZB,1664
101,VUT,1664
102,VNM,1664
103,WLF,1664
104,ALA,1547
105,ALB,1547
106,AND,1547
107,BLR,1547
108,BIH,1547
109,FRO,1547
110,GIB,1547
111,GGY,1547
112,ISL,1547
113,IMN,1547
114,JEY,1547
115,XKX,1547
116,LIE,1547
117,MKD,1547
118,MDA,1547
119,MCO,1547
120,MNE,1547
121,SMR,1547
122,SRB,1547
123,SJM,1547
124,UKR,1547
125,VAT,1547
126,DZA,836
127,AGO,836
128,BEN,836
129,BWA,836
130,BFA,836
131,BDI,836
132,CPV,836
133,CMR,836
134,CAF,836
135,TCD,836
136,COM,836
137,COG,836
138,CIV,836
139,DJI,836
140,COD,836
141,GNQ,836
142,ERI,836
143,SWZ,836
144,ETH,836
145,ATF,836
146,GAB,836
147,GMB,836
148,GHA,836
149,GIN,836
150,GNB,836
151,KEN,836
152,LSO,836
153,LBR,836
154,LBY,836
155,MDG,836
156,MWI,836
157,MLI,836
158,MRT,836
159,MUS,836
160,MYT,836
161,MAR,836
162,MOZ,836
163,NAM,836
164,NER,836
165,NGA,836
166,REU,836
167,RWA,836
168,STP,836
169,SEN,836
170,SYC,836
171,SLE,836
172,SOM,836
173,SSD,836
174,SHN,836
175,SDN,836
176,TZA,836
177,TGO,836
178,TUN,836
179,UGA,836
180,ESH,836
181,ZMB,836
182,ZWE,836
183,AIA,1741
184,ATG,1741
185,ARG,1741
186,ABW,1741
187,BHS,1741
188,BRB,1741
189,BLZ,1741
190,BMU,1741
191,BOL,1741
192,BES,1741
193,VGB,1741
194,CYM,1741
195,CHL,1741
196,COL,1741
197,CRI,1741
198,CUB,1741
199,CUW,1741
200,DMA,1741
201,DOM,1741
202,ECU,1741
203,SLV,1741
204,FLK,1741
205,GUF,1741
206,GRL,1741
207,GRD,1741
208,GLP,1741
209,GTM,1741
210,GUY,1741
211,HTI,1741
212,HND,1741
213,JAM,1741
214,MTQ,1741
215,MSR,1741
216,NIC,1741
217,PAN,1741
218,PRY,1741
219,PER,1741
220,PRI,1741
221,MAF,1741
222,SXM,1741
223,BLM,1741
224,KNA,1741
225,LCA,1741
226,SPM,1741
227,VCT,1741
228,SUR,1741
229,TTO,1741
230,TCA,1741
231,VIR,1741
232,URY,1741
233,VEN,1741
234,BHR,2262
235,EGY,2262
236,IRN,2262
237,IRQ,2262
238,ISR,2262
239,JOR,2262
240,KWT,2262
241,LBN,2262
242,OMN,2262
243,PSE,2262
244,QAT,2262
245,SAU,2262
246,SYR,2262
247,ARE,2262
248,YEM,2262
249,ZAF,190
