,country,emission,emission_log
0,AUT,247267,12.418224003440866
1,AUS,355,5.872117789475416
2,BEL,1558,7.351158226430694
3,BGR,203,5.313205979041787
4,BRA,237,5.4680601411351315
5,CAN,568,6.342121418721152
6,CHE,2388,7.778211474512493
7,CHN,1521,7.327123292259293
8,CYP,84,4.430816798843313
9,CZE,1941,7.57095858316901
10,DEU,19197,9.86250929580757
11,DNK,622,6.432940092739179
12,EST,87,4.465908118654584
13,ESP,1104,7.00669522683704
14,FIN,273,5.60947179518496
15,FRA,2245,7.716460800176355
16,GBR,1419,7.257707677160043
17,GRC,257,5.54907608489522
18,HRV,278,5.627621113690637
19,HUN,1555,7.349230824613334
20,IDN,136,4.912654885736052
21,IRL,1153,7.050122520269059
22,IND,547,6.304448802421981
23,ITA,3087,8.034955024502159
24,JPN,572,6.349138991379798
25,KOR,370,5.91350300563827
26,LTU,99,4.59511985013459
27,LUX,444,6.095824562432225
28,LVA,73,4.290459441148391
29,MLT,68,4.219507705176107
30,MEX,226,5.420534999272286
31,NLD,1972,7.586803535162581
32,NOR,394,5.976350909297934
33,POL,1677,7.424761761823209
34,PRT,292,5.676753802268282
35,ROU,550,6.309918278226516
36,RUS,963,6.870053411798126
37,SWE,974,6.881411303642535
38,SVN,785,6.665683717782408
39,SVK,1547,7.344072850573066
40,TUR,526,6.26530121273771
41,TWN,274,5.6131281063880705
42,USA,3002,8.007034012193408
43,AFG,5576,8.62622695244036
44,ASM,5576,8.62622695244036
45,ATA,5576,8.62622695244036
46,ARM,5576,8.62622695244036
47,AZE,5576,8.62622695244036
48,BGD,5576,8.62622695244036
49,BTN,5576,8.62622695244036
50,BVT,5576,8.62622695244036
51,IOT,5576,8.62622695244036
52,BRN,5576,8.62622695244036
53,KHM,5576,8.62622695244036
54,CXR,5576,8.62622695244036
55,CCK,5576,8.62622695244036
56,COK,5576,8.62622695244036
57,FJI,5576,8.62622695244036
58,PYF,5576,8.62622695244036
59,GEO,5576,8.62622695244036
60,GUM,5576,8.62622695244036
61,HMD,5576,8.62622695244036
62,HKG,5576,8.62622695244036
63,KAZ,5576,8.62622695244036
64,KIR,5576,8.62622695244036
65,KGZ,5576,8.62622695244036
66,LAO,5576,8.62622695244036
67,MAC,5576,8.62622695244036
68,MYS,5576,8.62622695244036
69,MDV,5576,8.62622695244036
70,MHL,5576,8.62622695244036
71,FSM,5576,8.62622695244036
72,MNG,5576,8.62622695244036
73,MMR,5576,8.62622695244036
74,NRU,5576,8.62622695244036
75,NPL,5576,8.62622695244036
76,NCL,5576,8.62622695244036
77,NZL,5576,8.62622695244036
78,NIU,5576,8.62622695244036
79,NFK,5576,8.62622695244036
80,PRK,5576,8.62622695244036
81,MNP,5576,8.62622695244036
82,PAK,5576,8.62622695244036
83,PLW,5576,8.62622695244036
84,PNG,5576,8.62622695244036
85,PHL,5576,8.62622695244036
86,PCN,5576,8.62622695244036
87,WSM,5576,8.62622695244036
88,SGP,5576,8.62622695244036
89,SLB,5576,8.62622695244036
90,SGS,5576,8.62622695244036
91,LKA,5576,8.62622695244036
92,TJK,5576,8.62622695244036
93,THA,5576,8.62622695244036
94,TLS,5576,8.62622695244036
95,TKL,5576,8.62622695244036
96,TON,5576,8.62622695244036
97,TKM,5576,8.62622695244036
98,TUV,5576,8.62622695244036
99,UMI,5576,8.62622695244036
100,UZB,5576,8.62622695244036
101,VUT,5576,8.62622695244036
102,VNM,5576,8.62622695244036
103,WLF,5576,8.62622695244036
104,ALA,886,6.786716950605081
105,ALB,886,6.786716950605081
106,AND,886,6.786716950605081
107,BLR,886,6.786716950605081
108,BIH,886,6.786716950605081
109,FRO,886,6.786716950605081
110,GIB,886,6.786716950605081
111,GGY,886,6.786716950605081
112,ISL,886,6.786716950605081
113,IMN,886,6.786716950605081
114,JEY,886,6.786716950605081
115,XKX,886,6.786716950605081
116,LIE,886,6.786716950605081
117,MKD,886,6.786716950605081
118,MDA,886,6.786716950605081
119,MCO,886,6.786716950605081
120,MNE,886,6.786716950605081
121,SMR,886,6.786716950605081
122,SRB,886,6.786716950605081
123,SJM,886,6.786716950605081
124,UKR,886,6.786716950605081
125,VAT,886,6.786716950605081
126,DZA,1295,7.166265974133638
127,AGO,1295,7.166265974133638
128,BEN,1295,7.166265974133638
129,BWA,1295,7.166265974133638
130,BFA,1295,7.166265974133638
131,BDI,1295,7.166265974133638
132,CPV,1295,7.166265974133638
133,CMR,1295,7.166265974133638
134,CAF,1295,7.166265974133638
135,TCD,1295,7.166265974133638
136,COM,1295,7.166265974133638
137,COG,1295,7.166265974133638
138,CIV,1295,7.166265974133638
139,DJI,1295,7.166265974133638
140,COD,1295,7.166265974133638
141,GNQ,1295,7.166265974133638
142,ERI,1295,7.166265974133638
143,SWZ,1295,7.166265974133638
144,ETH,1295,7.166265974133638
145,ATF,1295,7.166265974133638
146,GAB,1295,7.166265974133638
147,GMB,1295,7.166265974133638
148,GHA,1295,7.166265974133638
149,GIN,1295,7.166265974133638
150,GNB,1295,7.166265974133638
151,KEN,1295,7.166265974133638
152,LSO,1295,7.166265974133638
153,LBR,1295,7.166265974133638
154,LBY,1295,7.166265974133638
155,MDG,1295,7.166265974133638
156,MWI,1295,7.166265974133638
157,MLI,1295,7.166265974133638
158,MRT,1295,7.166265974133638
159,MUS,1295,7.166265974133638
160,MYT,1295,7.166265974133638
161,MAR,1295,7.166265974133638
162,MOZ,1295,7.166265974133638
163,NAM,1295,7.166265974133638
164,NER,1295,7.166265974133638
165,NGA,1295,7.166265974133638
166,REU,1295,7.166265974133638
167,RWA,1295,7.166265974133638
168,STP,1295,7.166265974133638
169,SEN,1295,7.166265974133638
170,SYC,1295,7.166265974133638
171,SLE,1295,7.166265974133638
172,SOM,1295,7.166265974133638
173,SSD,1295,7.166265974133638
174,SHN,1295,7.166265974133638
175,SDN,1295,7.166265974133638
176,TZA,1295,7.166265974133638
177,TGO,1295,7.166265974133638
178,TUN,1295,7.166265974133638
179,UGA,1295,7.166265974133638
180,ESH,1295,7.166265974133638
181,ZMB,1295,7.166265974133638
182,ZWE,1295,7.166265974133638
183,AIA,625,6.437751649736401
184,ATG,625,6.437751649736401
185,ARG,625,6.437751649736401
186,ABW,625,6.437751649736401
187,BHS,625,6.437751649736401
188,BRB,625,6.437751649736401
189,BLZ,625,6.437751649736401
190,BMU,625,6.437751649736401
191,BOL,625,6.437751649736401
192,BES,625,6.437751649736401
193,VGB,625,6.437751649736401
194,CYM,625,6.437751649736401
195,CHL,625,6.437751649736401
196,COL,625,6.437751649736401
197,CRI,625,6.437751649736401
198,CUB,625,6.437751649736401
199,CUW,625,6.437751649736401
200,DMA,625,6.437751649736401
201,DOM,625,6.437751649736401
202,ECU,625,6.437751649736401
203,SLV,625,6.437751649736401
204,FLK,625,6.437751649736401
205,GUF,625,6.437751649736401
206,GRL,625,6.437751649736401
207,GRD,625,6.437751649736401
208,GLP,625,6.437751649736401
209,GTM,625,6.437751649736401
210,GUY,625,6.437751649736401
211,HTI,625,6.437751649736401
212,HND,625,6.437751649736401
213,JAM,625,6.437751649736401
214,MTQ,625,6.437751649736401
215,MSR,625,6.437751649736401
216,NIC,625,6.437751649736401
217,PAN,625,6.437751649736401
218,PRY,625,6.437751649736401
219,PER,625,6.437751649736401
220,PRI,625,6.437751649736401
221,MAF,625,6.437751649736401
222,SXM,625,6.437751649736401
223,BLM,625,6.437751649736401
224,KNA,625,6.437751649736401
225,LCA,625,6.437751649736401
226,SPM,625,6.437751649736401
227,VCT,625,6.437751649736401
228,SUR,625,6.437751649736401
229,TTO,625,6.437751649736401
230,TCA,625,6.437751649736401
231,VIR,625,6.437751649736401
232,URY,625,6.437751649736401
233,VEN,625,6.437751649736401
234,BHR,2220,7.705262474866325
235,EGY,2220,7.705262474866325
236,IRN,2220,7.705262474866325
237,IRQ,2220,7.705262474866325
238,ISR,2220,7.705262474866325
239,JOR,2220,7.705262474866325
240,KWT,2220,7.705262474866325
241,LBN,2220,7.705262474866325
242,OMN,2220,7.705262474866325
243,PSE,2220,7.705262474866325
244,QAT,2220,7.705262474866325
245,SAU,2220,7.705262474866325
246,SYR,2220,7.705262474866325
247,ARE,2220,7.705262474866325
248,YEM,2220,7.705262474866325
249,ZAF,86,4.454347296253507
