,country,emission
0,AUT,2648
1,AUS,2414
2,BEL,9729
3,BGR,314
4,BRA,1615
5,CAN,4379
6,CHE,8300
7,CHN,20812
8,CYP,134
9,CZE,2878
10,DEU,40425
11,DNK,2832
12,EST,255
13,ESP,9122
14,FIN,1778
15,FRA,19218
16,GBR,1762105
17,GRC,822
18,HRV,168
19,HUN,1747
20,IDN,655
21,IRL,16098
22,IND,4810
23,ITA,10342
24,JPN,5694
25,KOR,3340
26,LTU,377
27,LUX,3446
28,LVA,452
29,MLT,124
30,MEX,1243
31,NLD,13433
32,NOR,14268
33,POL,5727
34,PRT,1708
35,ROU,977
36,RUS,4239
37,SWE,6176
38,SVN,333
39,SVK,1520
40,TUR,3957
41,TWN,2936
42,USA,42039
43,AFG,20684
44,ASM,20684
45,ATA,20684
46,ARM,20684
47,AZE,20684
48,BGD,20684
49,BTN,20684
50,BVT,20684
51,IOT,20684
52,BRN,20684
53,KHM,20684
54,CXR,20684
55,CCK,20684
56,COK,20684
57,FJI,20684
58,PYF,20684
59,GEO,20684
60,GUM,20684
61,HMD,20684
62,HKG,20684
63,KAZ,20684
64,KIR,20684
65,KGZ,20684
66,LAO,20684
67,MAC,20684
68,MYS,20684
69,MDV,20684
70,MHL,20684
71,FSM,20684
72,MNG,20684
73,MMR,20684
74,NRU,20684
75,NPL,20684
76,NCL,20684
77,NZL,20684
78,NIU,20684
79,NFK,20684
80,PRK,20684
81,MNP,20684
82,PAK,20684
83,PLW,20684
84,PNG,20684
85,PHL,20684
86,PCN,20684
87,WSM,20684
88,SGP,20684
89,SLB,20684
90,SGS,20684
91,LKA,20684
92,TJK,20684
93,THA,20684
94,TLS,20684
95,TKL,20684
96,TON,20684
97,TKM,20684
98,TUV,20684
99,UMI,20684
100,UZB,20684
101,VUT,20684
102,VNM,20684
103,WLF,20684
104,ALA,2015
105,ALB,2015
106,AND,2015
107,BLR,2015
108,BIH,2015
109,FRO,2015
110,GIB,2015
111,GGY,2015
112,ISL,2015
113,IMN,2015
114,JEY,2015
115,XKX,2015
116,LIE,2015
117,MKD,2015
118,MDA,2015
119,MCO,2015
120,MNE,2015
121,SMR,2015
122,SRB,2015
123,SJM,2015
124,UKR,2015
125,VAT,2015
126,DZA,4579
127,AGO,4579
128,BEN,4579
129,BWA,4579
130,BFA,4579
131,BDI,4579
132,CPV,4579
133,CMR,4579
134,CAF,4579
135,TCD,4579
136,COM,4579
137,COG,4579
138,CIV,4579
139,DJI,4579
140,COD,4579
141,GNQ,4579
142,ERI,4579
143,SWZ,4579
144,ETH,4579
145,ATF,4579
146,GAB,4579
147,GMB,4579
148,GHA,4579
149,GIN,4579
150,GNB,4579
151,KEN,4579
152,LSO,4579
153,LBR,4579
154,LBY,4579
155,MDG,4579
156,MWI,4579
157,MLI,4579
158,MRT,4579
159,MUS,4579
160,MYT,4579
161,MAR,4579
162,MOZ,4579
163,NAM,4579
164,NER,4579
165,NGA,4579
166,REU,4579
167,RWA,4579
168,STP,4579
169,SEN,4579
170,SYC,4579
171,SLE,4579
172,SOM,4579
173,SSD,4579
174,SHN,4579
175,SDN,4579
176,TZA,4579
177,TGO,4579
178,TUN,4579
179,UGA,4579
180,ESH,4579
181,ZMB,4579
182,ZWE,4579
183,AIA,3321
184,ATG,3321
185,ARG,3321
186,ABW,3321
187,BHS,3321
188,BRB,3321
189,BLZ,3321
190,BMU,3321
191,BOL,3321
192,BES,3321
193,VGB,3321
194,CYM,3321
195,CHL,3321
196,COL,3321
197,CRI,3321
198,CUB,3321
199,CUW,3321
200,DMA,3321
201,DOM,3321
202,ECU,3321
203,SLV,3321
204,FLK,3321
205,GUF,3321
206,GRL,3321
207,GRD,3321
208,GLP,3321
209,GTM,3321
210,GUY,3321
211,HTI,3321
212,HND,3321
213,JAM,3321
214,MTQ,3321
215,MSR,3321
216,NIC,3321
217,PAN,3321
218,PRY,3321
219,PER,3321
220,PRI,3321
221,MAF,3321
222,SXM,3321
223,BLM,3321
224,KNA,3321
225,LCA,3321
226,SPM,3321
227,VCT,3321
228,SUR,3321
229,TTO,3321
230,TCA,3321
231,VIR,3321
232,URY,3321
233,VEN,3321
234,BHR,12950
235,EGY,12950
236,IRN,12950
237,IRQ,12950
238,ISR,12950
239,JOR,12950
240,KWT,12950
241,LBN,12950
242,OMN,12950
243,PSE,12950
244,QAT,12950
245,SAU,12950
246,SYR,12950
247,ARE,12950
248,YEM,12950
249,ZAF,872
