,country,emission,emission_log
0,AUT,280,5.634789603169249
1,AUS,79,4.3694478524670215
2,BEL,168,5.123963979403259
3,BGR,63,4.143134726391533
4,BRA,82,4.406719247264253
5,CAN,116,4.7535901911063645
6,CHE,179,5.187385805840755
7,CHN,486,6.186208623900494
8,CYP,25,3.2188758248682006
9,CZE,112,4.718498871295094
10,DEU,715,6.5722825426940075
11,DNK,170,5.135798437050262
12,EST,24,3.1780538303479458
13,ESP,147,4.990432586778736
14,FIN,109,4.6913478822291435
15,FRA,366,5.902633333401366
16,GBR,165,5.10594547390058
17,GRC,92,4.5217885770490405
18,HRV,22182,10.007036428164687
19,HUN,202,5.308267697401205
20,IDN,84,4.430816798843313
21,IRL,113,4.727387818712341
22,IND,187,5.231108616854587
23,ITA,941,6.846943139585379
24,JPN,136,4.912654885736052
25,KOR,243,5.493061443340548
26,LTU,22,3.091042453358316
27,LUX,55,4.007333185232471
28,LVA,24,3.1780538303479458
29,MLT,28,3.332204510175204
30,MEX,115,4.74493212836325
31,NLD,165,5.10594547390058
32,NOR,77,4.343805421853684
33,POL,133,4.890349128221754
34,PRT,57,4.04305126783455
35,ROU,110,4.700480365792417
36,RUS,175,5.1647859739235145
37,SWE,164,5.099866427824199
38,SVN,531,6.274762021241939
39,SVK,108,4.68213122712422
40,TUR,220,5.393627546352362
41,TWN,193,5.262690188904886
42,USA,280,5.634789603169249
43,AFG,304,5.717027701406222
44,ASM,304,5.717027701406222
45,ATA,304,5.717027701406222
46,ARM,304,5.717027701406222
47,AZE,304,5.717027701406222
48,BGD,304,5.717027701406222
49,BTN,304,5.717027701406222
50,BVT,304,5.717027701406222
51,IOT,304,5.717027701406222
52,BRN,304,5.717027701406222
53,KHM,304,5.717027701406222
54,CXR,304,5.717027701406222
55,CCK,304,5.717027701406222
56,COK,304,5.717027701406222
57,FJI,304,5.717027701406222
58,PYF,304,5.717027701406222
59,GEO,304,5.717027701406222
60,GUM,304,5.717027701406222
61,HMD,304,5.717027701406222
62,HKG,304,5.717027701406222
63,KAZ,304,5.717027701406222
64,KIR,304,5.717027701406222
65,KGZ,304,5.717027701406222
66,LAO,304,5.717027701406222
67,MAC,304,5.717027701406222
68,MYS,304,5.717027701406222
69,MDV,304,5.717027701406222
70,MHL,304,5.717027701406222
71,FSM,304,5.717027701406222
72,MNG,304,5.717027701406222
73,MMR,304,5.717027701406222
74,NRU,304,5.717027701406222
75,NPL,304,5.717027701406222
76,NCL,304,5.717027701406222
77,NZL,304,5.717027701406222
78,NIU,304,5.717027701406222
79,NFK,304,5.717027701406222
80,PRK,304,5.717027701406222
81,MNP,304,5.717027701406222
82,PAK,304,5.717027701406222
83,PLW,304,5.717027701406222
84,PNG,304,5.717027701406222
85,PHL,304,5.717027701406222
86,PCN,304,5.717027701406222
87,WSM,304,5.717027701406222
88,SGP,304,5.717027701406222
89,SLB,304,5.717027701406222
90,SGS,304,5.717027701406222
91,LKA,304,5.717027701406222
92,TJK,304,5.717027701406222
93,THA,304,5.717027701406222
