,country,emission
0,AUT,101
1,AUS,380
2,BEL,668
3,BGR,44
4,BRA,1994
5,CAN,6083
6,CHE,564
7,CHN,12170
8,CYP,1
9,CZE,237
10,DEU,3135
11,DNK,129
12,EST,7
13,ESP,2626
14,FIN,58
15,FRA,1182
16,GBR,1502
17,GRC,26
18,HRV,4
19,HUN,127
20,IDN,191
21,IRL,261
22,IND,3565
23,ITA,563
24,JPN,2492
25,KOR,2683
26,LTU,13
27,LUX,78
28,LVA,1
29,MLT,0
30,MEX,470218
31,NLD,276
32,NOR,84
33,POL,202
34,PRT,84
35,ROU,46
36,RUS,153
37,SWE,68
38,SVN,18
39,SVK,56
40,TUR,300
41,TWN,1087
42,USA,101366
43,AFG,1957
44,ASM,1957
45,ATA,1957
46,ARM,1957
47,AZE,1957
48,BGD,1957
49,BTN,1957
50,BVT,1957
51,IOT,1957
52,BRN,1957
53,KHM,1957
54,CXR,1957
55,CCK,1957
56,COK,1957
57,FJI,1957
58,PYF,1957
59,GEO,1957
60,GUM,1957
61,HMD,1957
62,HKG,1957
63,KAZ,1957
64,KIR,1957
65,KGZ,1957
66,LAO,1957
67,MAC,1957
68,MYS,1957
69,MDV,1957
70,MHL,1957
71,FSM,1957
72,MNG,1957
73,MMR,1957
74,NRU,1957
75,NPL,1957
76,NCL,1957
77,NZL,1957
78,NIU,1957
79,NFK,1957
80,PRK,1957
81,MNP,1957
82,PAK,1957
83,PLW,1957
84,PNG,1957
85,PHL,1957
86,PCN,1957
87,WSM,1957
88,SGP,1957
89,SLB,1957
90,SGS,1957
91,LKA,1957
92,TJK,1957
93,THA,1957
94,TLS,1957
95,TKL,1957
96,TON,1957
97,TKM,1957
98,TUV,1957
99,UMI,1957
100,UZB,1957
101,VUT,1957
102,VNM,1957
103,WLF,1957
104,ALA,70
105,ALB,70
106,AND,70
107,BLR,70
108,BIH,70
109,FRO,70
110,GIB,70
111,GGY,70
112,ISL,70
113,IMN,70
114,JEY,70
115,XKX,70
116,LIE,70
117,MKD,70
118,MDA,70
119,MCO,70
120,MNE,70
121,SMR,70
122,SRB,70
123,SJM,70
124,UKR,70
125,VAT,70
126,DZA,354
127,AGO,354
128,BEN,354
129,BWA,354
130,BFA,354
131,BDI,354
132,CPV,354
133,CMR,354
134,CAF,354
135,TCD,354
136,COM,354
137,COG,354
138,CIV,354
139,DJI,354
140,COD,354
141,GNQ,354
142,ERI,354
143,SWZ,354
144,ETH,354
145,ATF,354
146,GAB,354
147,GMB,354
148,GHA,354
149,GIN,354
150,GNB,354
151,KEN,354
152,LSO,354
153,LBR,354
154,LBY,354
155,MDG,354
156,MWI,354
157,MLI,354
158,MRT,354
159,MUS,354
160,MYT,354
161,MAR,354
162,MOZ,354
163,NAM,354
164,NER,354
165,NGA,354
166,REU,354
167,RWA,354
168,STP,354
169,SEN,354
170,SYC,354
171,SLE,354
172,SOM,354
173,SSD,354
174,SHN,354
175,SDN,354
176,TZA,354
177,TGO,354
178,TUN,354
179,UGA,354
180,ESH,354
181,ZMB,354
182,ZWE,354
183,AIA,13523
184,ATG,13523
185,ARG,13523
186,ABW,13523
187,BHS,13523
188,BRB,13523
189,BLZ,13523
190,BMU,13523
191,BOL,13523
192,BES,13523
193,VGB,13523
194,CYM,13523
195,CHL,13523
196,COL,13523
197,CRI,13523
198,CUB,13523
199,CUW,13523
200,DMA,13523
201,DOM,13523
202,ECU,13523
203,SLV,13523
204,FLK,13523
205,GUF,13523
206,GRL,13523
207,GRD,13523
208,GLP,13523
209,GTM,13523
210,GUY,13523
211,HTI,13523
212,HND,13523
213,JAM,13523
214,MTQ,13523
215,MSR,13523
216,NIC,13523
217,PAN,13523
218,PRY,13523
219,PER,13523
220,PRI,13523
221,MAF,13523
222,SXM,13523
223,BLM,13523
224,KNA,13523
225,LCA,13523
226,SPM,13523
227,VCT,13523
228,SUR,13523
229,TTO,13523
230,TCA,13523
231,VIR,13523
232,URY,13523
233,VEN,13523
234,BHR,1084
235,EGY,1084
236,IRN,1084
237,IRQ,1084
238,ISR,1084
239,JOR,1084
240,KWT,1084
241,LBN,1084
242,OMN,1084
243,PSE,1084
244,QAT,1084
245,SAU,1084
246,SYR,1084
247,ARE,1084
248,YEM,1084
249,ZAF,112
