,country,emission,emission_log
0,AUT,66,4.189654742026425
1,AUS,6,1.791759469228055
2,BEL,102,4.624972813284271
3,BGR,9,2.1972245773362196
4,BRA,28,3.332204510175204
5,CAN,13,2.5649493574615367
6,CHE,75,4.31748811353631
7,CHN,430,6.063785208687608
8,CYP,84,4.430816798843313
9,CZE,85,4.442651256490317
10,DEU,759,6.63200177739563
11,DNK,135,4.90527477843843
12,EST,14565,9.586376669393536
13,ESP,75,4.31748811353631
14,FIN,832,6.723832440821209
15,FRA,164,5.099866427824199
16,GBR,203,5.313205979041787
17,GRC,10,2.302585092994046
18,HRV,3,1.0986122886681098
19,HUN,54,3.9889840465642745
20,IDN,19,2.9444389791664403
21,IRL,66,4.189654742026425
22,IND,50,3.912023005428146
23,ITA,163,5.093750200806762
24,JPN,36,3.58351893845611
25,KOR,27,3.295836866004329
26,LTU,443,6.093569770045136
27,LUX,31,3.4339872044851463
28,LVA,721,6.580639137284949
29,MLT,14,2.6390573296152584
30,MEX,7,1.9459101490553132
31,NLD,148,4.997212273764115
32,NOR,200,5.298317366548036
33,POL,527,6.267200548541362
34,PRT,16,2.772588722239781
35,ROU,32,3.4657359027997265
36,RUS,998,6.905753276311464
37,SWE,627,6.440946540632921
38,SVN,18,2.8903717578961645
39,SVK,48,3.871201010907891
40,TUR,41,3.713572066704308
41,TWN,67,4.204692619390966
42,USA,128,4.852030263919617
43,AFG,426,6.054439346269371
44,ASM,426,6.054439346269371
45,ATA,426,6.054439346269371
46,ARM,426,6.054439346269371
47,AZE,426,6.054439346269371
48,BGD,426,6.054439346269371
49,BTN,426,6.054439346269371
50,BVT,426,6.054439346269371
51,IOT,426,6.054439346269371
52,BRN,426,6.054439346269371
53,KHM,426,6.054439346269371
54,CXR,426,6.054439346269371
55,CCK,426,6.054439346269371
56,COK,426,6.054439346269371
57,FJI,426,6.054439346269371
58,PYF,426,6.054439346269371
59,GEO,426,6.054439346269371
60,GUM,426,6.054439346269371
61,HMD,426,6.054439346269371
62,HKG,426,6.054439346269371
63,KAZ,426,6.054439346269371
