,country,emission,emission_log
0,AUT,1856,7.526178913346146
1,AUS,2839,7.951207156472972
2,BEL,10998,9.30546871706776
3,BGR,449,6.1070228877422545
4,BRA,972,6.879355804460439
5,CAN,3158,8.057694194815587
6,CHE,6597,8.794370279222871
7,CHN,15361,9.639587108749145
8,CYP,326,5.786897381366708
9,CZE,2517,7.830822995135316
10,DEU,38183,10.550145669363118
11,DNK,4066,8.310414994188292
12,EST,297,5.6937321388027
13,ESP,12144,9.404590499635411
14,FIN,1667,7.418780882750794
15,FRA,21393,9.970819044696412
16,GBR,1462814,14.19587253589792
17,GRC,1343,7.202661196523238
18,HRV,167,5.117993812416755
19,HUN,1581,7.365812837209472
20,IDN,550,6.309918278226516
21,IRL,30828,10.336178646897883
22,IND,4642,8.442900586834382
23,ITA,10285,9.238441802087058
24,JPN,5184,8.55333223803211
25,KOR,1907,7.553286605600419
26,LTU,440,6.0867747269123065
27,LUX,4591,8.431853144249223
28,LVA,492,6.198478716492308
29,MLT,563,6.333279628139691
30,MEX,1502,7.31455283232408
31,NLD,14885,9.608109273449877
32,NOR,15699,9.661352295040318
33,POL,6380,8.760923376338836
34,PRT,2282,7.732807530422021
35,ROU,1078,6.982862751468942
36,RUS,4907,8.498418036089904
37,SWE,5794,8.664578178329295
38,SVN,292,5.676753802268282
39,SVK,1155,7.051855622955894
40,TUR,3444,8.144388865547622
41,TWN,2353,7.763446388727362
42,USA,40327,10.604776498787697
43,AFG,17607,9.776051829226445
44,ASM,17607,9.776051829226445
45,ATA,17607,9.776051829226445
46,ARM,17607,9.776051829226445
47,AZE,17607,9.776051829226445
48,BGD,17607,9.776051829226445
49,BTN,17607,9.776051829226445
50,BVT,17607,9.776051829226445
51,IOT,17607,9.776051829226445
52,BRN,17607,9.776051829226445
53,KHM,17607,9.776051829226445
54,CXR,17607,9.776051829226445
55,CCK,17607,9.776051829226445
56,COK,17607,9.776051829226445
57,FJI,17607,9.776051829226445
58,PYF,17607,9.776051829226445
59,GEO,17607,9.776051829226445
60,GUM,17607,9.776051829226445
61,HMD,17607,9.776051829226445
62,HKG,17607,9.776051829226445
63,KAZ,17607,9.776051829226445
64,KIR,17607,9.776051829226445
65,KGZ,17607,9.776051829226445
66,LAO,17607,9.776051829226445
67,MAC,17607,9.776051829226445
68,MYS,17607,9.776051829226445
69,MDV,17607,9.776051829226445
70,MHL,17607,9.776051829226445
71,FSM,17607,9.776051829226445
72,MNG,17607,9.776051829226445
73,MMR,17607,9.776051829226445
74,NRU,17607,9.776051829226445
75,NPL,17607,9.776051829226445
76,NCL,17607,9.776051829226445
77,NZL,17607,9.776051829226445
78,NIU,17607,9.776051829226445
79,NFK,17607,9.776051829226445
80,PRK,17607,9.776051829226445
81,MNP,17607,9.776051829226445
82,PAK,17607,9.776051829226445
83,PLW,17607,9.776051829226445
84,PNG,17607,9.776051829226445
85,PHL,17607,9.776051829226445
86,PCN,17607,9.776051829226445
87,WSM,17607,9.776051829226445
88,SGP,17607,9.776051829226445
89,SLB,17607,9.776051829226445
90,SGS,17607,9.776051829226445
91,LKA,17607,9.776051829226445
92,TJK,17607,9.776051829226445
93,THA,17607,9.776051829226445
94,TLS,17607,9.776051829226445
95,TKL,17607,9.776051829226445
96,TON,17607,9.776051829226445
97,TKM,17607,9.776051829226445
98,TUV,17607,9.776051829226445
99,UMI,17607,9.776051829226445
100,UZB,17607,9.776051829226445
101,VUT,17607,9.776051829226445
102,VNM,17607,9.776051829226445
103,WLF,17607,9.776051829226445
104,ALA,2033,7.617267813628347
105,ALB,2033,7.617267813628347
106,AND,2033,7.617267813628347
107,BLR,2033,7.617267813628347
108,BIH,2033,7.617267813628347
109,FRO,2033,7.617267813628347
110,GIB,2033,7.617267813628347
111,GGY,2033,7.617267813628347
112,ISL,2033,7.617267813628347
113,IMN,2033,7.617267813628347
114,JEY,2033,7.617267813628347
115,XKX,2033,7.617267813628347
116,LIE,2033,7.617267813628347
117,MKD,2033,7.617267813628347
118,MDA,2033,7.617267813628347
119,MCO,2033,7.617267813628347
120,MNE,2033,7.617267813628347
121,SMR,2033,7.617267813628347
122,SRB,2033,7.617267813628347
123,SJM,2033,7.617267813628347
124,UKR,2033,7.617267813628347
125,VAT,2033,7.617267813628347
126,DZA,4761,8.46821300919452
127,AGO,4761,8.46821300919452
128,BEN,4761,8.46821300919452
129,BWA,4761,8.46821300919452
130,BFA,4761,8.46821300919452
131,BDI,4761,8.46821300919452
132,CPV,4761,8.46821300919452
133,CMR,4761,8.46821300919452
134,CAF,4761,8.46821300919452
135,TCD,4761,8.46821300919452
136,COM,4761,8.46821300919452
137,COG,4761,8.46821300919452
138,CIV,4761,8.46821300919452
139,DJI,4761,8.46821300919452
140,COD,4761,8.46821300919452
141,GNQ,4761,8.46821300919452
142,ERI,4761,8.46821300919452
143,SWZ,4761,8.46821300919452
144,ETH,4761,8.46821300919452
145,ATF,4761,8.46821300919452
146,GAB,4761,8.46821300919452
147,GMB,4761,8.46821300919452
148,GHA,4761,8.46821300919452
149,GIN,4761,8.46821300919452
150,GNB,4761,8.46821300919452
151,KEN,4761,8.46821300919452
152,LSO,4761,8.46821300919452
153,LBR,4761,8.46821300919452
154,LBY,4761,8.46821300919452
155,MDG,4761,8.46821300919452
156,MWI,4761,8.46821300919452
157,MLI,4761,8.46821300919452
158,MRT,4761,8.46821300919452
159,MUS,4761,8.46821300919452
160,MYT,4761,8.46821300919452
161,MAR,4761,8.46821300919452
162,MOZ,4761,8.46821300919452
163,NAM,4761,8.46821300919452
164,NER,4761,8.46821300919452
165,NGA,4761,8.46821300919452
166,REU,4761,8.46821300919452
167,RWA,4761,8.46821300919452
168,STP,4761,8.46821300919452
169,SEN,4761,8.46821300919452
170,SYC,4761,8.46821300919452
171,SLE,4761,8.46821300919452
172,SOM,4761,8.46821300919452
173,SSD,4761,8.46821300919452
174,SHN,4761,8.46821300919452
175,SDN,4761,8.46821300919452
176,TZA,4761,8.46821300919452
177,TGO,4761,8.46821300919452
178,TUN,4761,8.46821300919452
179,UGA,4761,8.46821300919452
180,ESH,4761,8.46821300919452
181,ZMB,4761,8.46821300919452
182,ZWE,4761,8.46821300919452
183,AIA,2829,7.947678571301568
184,ATG,2829,7.947678571301568
185,ARG,2829,7.947678571301568
186,ABW,2829,7.947678571301568
187,BHS,2829,7.947678571301568
188,BRB,2829,7.947678571301568
189,BLZ,2829,7.947678571301568
190,BMU,2829,7.947678571301568
191,BOL,2829,7.947678571301568
192,BES,2829,7.947678571301568
193,VGB,2829,7.947678571301568
194,CYM,2829,7.947678571301568
195,CHL,2829,7.947678571301568
196,COL,2829,7.947678571301568
197,CRI,2829,7.947678571301568
198,CUB,2829,7.947678571301568
199,CUW,2829,7.947678571301568
200,DMA,2829,7.947678571301568
201,DOM,2829,7.947678571301568
202,ECU,2829,7.947678571301568
203,SLV,2829,7.947678571301568
204,FLK,2829,7.947678571301568
205,GUF,2829,7.947678571301568
206,GRL,2829,7.947678571301568
207,GRD,2829,7.947678571301568
208,GLP,2829,7.947678571301568
209,GTM,2829,7.947678571301568
210,GUY,2829,7.947678571301568
211,HTI,2829,7.947678571301568
212,HND,2829,7.947678571301568
213,JAM,2829,7.947678571301568
214,MTQ,2829,7.947678571301568
215,MSR,2829,7.947678571301568
216,NIC,2829,7.947678571301568
217,PAN,2829,7.947678571301568
218,PRY,2829,7.947678571301568
219,PER,2829,7.947678571301568
220,PRI,2829,7.947678571301568
221,MAF,2829,7.947678571301568
222,SXM,2829,7.947678571301568
223,BLM,2829,7.947678571301568
224,KNA,2829,7.947678571301568
225,LCA,2829,7.947678571301568
226,SPM,2829,7.947678571301568
227,VCT,2829,7.947678571301568
228,SUR,2829,7.947678571301568
229,TTO,2829,7.947678571301568
230,TCA,2829,7.947678571301568
231,VIR,2829,7.947678571301568
232,URY,2829,7.947678571301568
233,VEN,2829,7.947678571301568
234,BHR,10941,9.30027247947679
235,EGY,10941,9.30027247947679
236,IRN,10941,9.30027247947679
237,IRQ,10941,9.30027247947679
238,ISR,10941,9.30027247947679
239,JOR,10941,9.30027247947679
240,KWT,10941,9.30027247947679
241,LBN,10941,9.30027247947679
242,OMN,10941,9.30027247947679
243,PSE,10941,9.30027247947679
244,QAT,10941,9.30027247947679
245,SAU,10941,9.30027247947679
246,SYR,10941,9.30027247947679
247,ARE,10941,9.30027247947679
248,YEM,10941,9.30027247947679
249,ZAF,1208,7.0967213784947605
