,country,emission,emission_log
0,AUT,465,6.142037405587356
1,AUS,978272,13.79354302895855
2,BEL,491,6.19644412779452
3,BGR,19,2.9444389791664403
4,BRA,139,4.9344739331306915
5,CAN,507,6.2285110035911835
6,CHE,674,6.513230110912307
7,CHN,17587,9.774915271736365
8,CYP,10,2.302585092994046
9,CZE,115,4.74493212836325
10,DEU,3473,8.152774052744075
11,DNK,399,5.988961416889864
12,EST,68,4.219507705176107
13,ESP,669,6.505784060128229
14,FIN,374,5.924255797414532
15,FRA,1608,7.382746449738912
16,GBR,4052,8.306965865368573
17,GRC,112,4.718498871295094
18,HRV,57,4.04305126783455
19,HUN,95,4.553876891600541
20,IDN,1604,7.38025578842646
21,IRL,2358,7.765569081097317
22,IND,2063,7.631916513071252
23,ITA,1526,7.330405211844402
24,JPN,3857,8.257644958208228
25,KOR,3303,8.10258642539079
26,LTU,46,3.828641396489095
27,LUX,145,4.976733742420574
28,LVA,15,2.70805020110221
29,MLT,20,2.995732273553991
30,MEX,377,5.932245187448011
31,NLD,1389,7.236339342754344
32,NOR,145,4.976733742420574
33,POL,220,5.393627546352362
34,PRT,152,5.0238805208462765
35,ROU,52,3.9512437185814275
36,RUS,114,4.736198448394496
37,SWE,597,6.391917113392602
38,SVN,32,3.4657359027997265
39,SVK,29,3.367295829986474
40,TUR,326,5.786897381366708
41,TWN,2219,7.704811922932594
42,USA,10926,9.298900548955663
43,AFG,42116,10.64818299497665
44,ASM,42116,10.64818299497665
45,ATA,42116,10.64818299497665
46,ARM,42116,10.64818299497665
47,AZE,42116,10.64818299497665
48,BGD,42116,10.64818299497665
49,BTN,42116,10.64818299497665
50,BVT,42116,10.64818299497665
51,IOT,42116,10.64818299497665
52,BRN,42116,10.64818299497665
53,KHM,42116,10.64818299497665
54,CXR,42116,10.64818299497665
55,CCK,42116,10.64818299497665
56,COK,42116,10.64818299497665
57,FJI,42116,10.64818299497665
58,PYF,42116,10.64818299497665
59,GEO,42116,10.64818299497665
60,GUM,42116,10.64818299497665
61,HMD,42116,10.64818299497665
62,HKG,42116,10.64818299497665
63,KAZ,42116,10.64818299497665
64,KIR,42116,10.64818299497665
65,KGZ,42116,10.64818299497665
66,LAO,42116,10.64818299497665
67,MAC,42116,10.64818299497665
68,MYS,42116,10.64818299497665
69,MDV,42116,10.64818299497665
70,MHL,42116,10.64818299497665
71,FSM,42116,10.64818299497665
72,MNG,42116,10.64818299497665
73,MMR,42116,10.64818299497665
74,NRU,42116,10.64818299497665
75,NPL,42116,10.64818299497665
76,NCL,42116,10.64818299497665
77,NZL,42116,10.64818299497665
78,NIU,42116,10.64818299497665
79,NFK,42116,10.64818299497665
80,PRK,42116,10.64818299497665
81,MNP,42116,10.64818299497665
82,PAK,42116,10.64818299497665
83,PLW,42116,10.64818299497665
84,PNG,42116,10.64818299497665
85,PHL,42116,10.64818299497665
86,PCN,42116,10.64818299497665
87,WSM,42116,10.64818299497665
88,SGP,42116,10.64818299497665
89,SLB,42116,10.64818299497665
90,SGS,42116,10.64818299497665
91,LKA,42116,10.64818299497665
92,TJK,42116,10.64818299497665
93,THA,42116,10.64818299497665
94,TLS,42116,10.64818299497665
95,TKL,42116,10.64818299497665
96,TON,42116,10.64818299497665
97,TKM,42116,10.64818299497665
98,TUV,42116,10.64818299497665
99,UMI,42116,10.64818299497665
100,UZB,42116,10.64818299497665
101,VUT,42116,10.64818299497665
102,VNM,42116,10.64818299497665
103,WLF,42116,10.64818299497665
104,ALA,71,4.2626798770413155
105,ALB,71,4.2626798770413155
106,AND,71,4.2626798770413155
107,BLR,71,4.2626798770413155
108,BIH,71,4.2626798770413155
109,FRO,71,4.2626798770413155
110,GIB,71,4.2626798770413155
111,GGY,71,4.2626798770413155
112,ISL,71,4.2626798770413155
113,IMN,71,4.2626798770413155
114,JEY,71,4.2626798770413155
115,XKX,71,4.2626798770413155
116,LIE,71,4.2626798770413155
117,MKD,71,4.2626798770413155
118,MDA,71,4.2626798770413155
119,MCO,71,4.2626798770413155
120,MNE,71,4.2626798770413155
121,SMR,71,4.2626798770413155
122,SRB,71,4.2626798770413155
123,SJM,71,4.2626798770413155
124,UKR,71,4.2626798770413155
125,VAT,71,4.2626798770413155
126,DZA,1039,6.946013991099227
127,AGO,1039,6.946013991099227
128,BEN,1039,6.946013991099227
129,BWA,1039,6.946013991099227
130,BFA,1039,6.946013991099227
131,BDI,1039,6.946013991099227
132,CPV,1039,6.946013991099227
133,CMR,1039,6.946013991099227
134,CAF,1039,6.946013991099227
135,TCD,1039,6.946013991099227
136,COM,1039,6.946013991099227
137,COG,1039,6.946013991099227
138,CIV,1039,6.946013991099227
139,DJI,1039,6.946013991099227
140,COD,1039,6.946013991099227
141,GNQ,1039,6.946013991099227
142,ERI,1039,6.946013991099227
143,SWZ,1039,6.946013991099227
144,ETH,1039,6.946013991099227
145,ATF,1039,6.946013991099227
146,GAB,1039,6.946013991099227
147,GMB,1039,6.946013991099227
148,GHA,1039,6.946013991099227
149,GIN,1039,6.946013991099227
150,GNB,1039,6.946013991099227
151,KEN,1039,6.946013991099227
152,LSO,1039,6.946013991099227
153,LBR,1039,6.946013991099227
154,LBY,1039,6.946013991099227
155,MDG,1039,6.946013991099227
156,MWI,1039,6.946013991099227
157,MLI,1039,6.946013991099227
158,MRT,1039,6.946013991099227
159,MUS,1039,6.946013991099227
160,MYT,1039,6.946013991099227
161,MAR,1039,6.946013991099227
162,MOZ,1039,6.946013991099227
163,NAM,1039,6.946013991099227
164,NER,1039,6.946013991099227
165,NGA,1039,6.946013991099227
166,REU,1039,6.946013991099227
167,RWA,1039,6.946013991099227
168,STP,1039,6.946013991099227
169,SEN,1039,6.946013991099227
170,SYC,1039,6.946013991099227
171,SLE,1039,6.946013991099227
172,SOM,1039,6.946013991099227
173,SSD,1039,6.946013991099227
174,SHN,1039,6.946013991099227
175,SDN,1039,6.946013991099227
176,TZA,1039,6.946013991099227
177,TGO,1039,6.946013991099227
178,TUN,1039,6.946013991099227
179,UGA,1039,6.946013991099227
180,ESH,1039,6.946013991099227
181,ZMB,1039,6.946013991099227
182,ZWE,1039,6.946013991099227
183,AIA,782,6.661854740545311
184,ATG,782,6.661854740545311
185,ARG,782,6.661854740545311
186,ABW,782,6.661854740545311
187,BHS,782,6.661854740545311
188,BRB,782,6.661854740545311
189,BLZ,782,6.661854740545311
190,BMU,782,6.661854740545311
191,BOL,782,6.661854740545311
192,BES,782,6.661854740545311
193,VGB,782,6.661854740545311
194,CYM,782,6.661854740545311
195,CHL,782,6.661854740545311
196,COL,782,6.661854740545311
197,CRI,782,6.661854740545311
198,CUB,782,6.661854740545311
199,CUW,782,6.661854740545311
200,DMA,782,6.661854740545311
201,DOM,782,6.661854740545311
202,ECU,782,6.661854740545311
