,country,emission,emission_log
0,AUT,4490,8.4096079807363
1,AUS,863,6.760414691083428
2,BEL,3584,8.18423477409482
3,BGR,256,5.545177444479562
4,BRA,945,6.851184927493743
5,CAN,1556,7.349873704738337
6,CHE,521825,13.165087561614108
7,CHN,14745,9.598659321249377
8,CYP,57,4.04305126783455
9,CZE,1209,7.097548850614793
10,DEU,33086,10.406865511166961
11,DNK,1776,7.4821189235521155
12,EST,84,4.430816798843313
13,ESP,3990,8.29154650988391
14,FIN,791,6.673297967767654
15,FRA,18288,9.814000386034591
16,GBR,4637,8.441822884391462
17,GRC,651,6.478509642208569
18,HRV,200,5.298317366548036
19,HUN,1003,6.910750787961936
20,IDN,262,5.568344503761097
21,IRL,3700,8.216088098632316
22,IND,2036,7.618742377670413
23,ITA,11406,9.341894811716484
24,JPN,5179,8.552367266423891
25,KOR,1755,7.470224135899966
26,LTU,69,4.23410650459726
27,LUX,6563,8.789203094473724
28,LVA,71,4.2626798770413155
29,MLT,70,4.248495242049359
30,MEX,1052,6.9584483932976555
31,NLD,5536,8.619027497297505
32,NOR,488,6.1903154058531475
33,POL,2447,7.802618063442671
34,PRT,1441,7.273092595999522
35,ROU,705,6.558197802812269
36,RUS,3413,8.135346948906706
37,SWE,1393,7.239214973779806
38,SVN,556,6.320768294250582
39,SVK,432,6.068425588244111
40,TUR,977,6.884486652042782
41,TWN,1791,7.490529402060711
42,USA,30784,10.334750353465433
43,AFG,5411,8.596189197642735
44,ASM,5411,8.596189197642735
45,ATA,5411,8.596189197642735
46,ARM,5411,8.596189197642735
47,AZE,5411,8.596189197642735
48,BGD,5411,8.596189197642735
49,BTN,5411,8.596189197642735
50,BVT,5411,8.596189197642735
51,IOT,5411,8.596189197642735
52,BRN,5411,8.596189197642735
53,KHM,5411,8.596189197642735
54,CXR,5411,8.596189197642735
55,CCK,5411,8.596189197642735
56,COK,5411,8.596189197642735
57,FJI,5411,8.596189197642735
58,PYF,5411,8.596189197642735
59,GEO,5411,8.596189197642735
