,country,emission,emission_log
0,AUT,28235,10.248317622106937
1,AUS,3206,8.072779333169498
2,BEL,18025,9.79951496215315
3,BGR,1871,7.534228326274089
4,BRA,5748,8.656607247198915
5,CAN,6432,8.769040810858803
6,CHE,20601,9.933094897288786
7,CHN,124884,11.73514058542586
8,CYP,121,4.795790545596741
9,CZE,19816,9.894244971169195
10,DEU,2334703,14.66339524613437
11,DNK,9742,9.184201714366488
12,EST,843,6.736966958001855
13,ESP,20985,9.951563175767692
14,FIN,6270,8.743531633626967
15,FRA,57923,10.966869821298364
16,GBR,42021,10.645924772307156
17,GRC,2817,7.943427767876373
18,HRV,1249,7.130098510125578
19,HUN,15660,9.658864969544794
20,IDN,1439,7.271703706887368
21,IRL,15969,9.678404621840867
22,IND,10468,9.256078263650036
23,ITA,30062,10.311017194693171
24,JPN,10484,9.257605564443297
25,KOR,13554,9.514436985696058
26,LTU,1010,6.917705609835305
27,LUX,5978,8.695841342843883
28,LVA,369,5.910796644040527
29,MLT,261,5.564520407322694
30,MEX,8768,9.078864009187797
31,NLD,19694,9.888069299807748
32,NOR,4289,8.36380888451688
33,POL,34745,10.455790955748428
34,PRT,4676,8.450198322591959
35,ROU,7629,8.93971205409023
36,RUS,9127,9.118992332516877
37,SWE,11584,9.357380114625498
38,SVN,1940,7.570443252057374
39,SVK,8012,8.988695696785708
40,TUR,9288,9.136478523377727
41,TWN,13668,9.522812613235182
42,USA,54861,10.912557992542743
43,AFG,20070,9.906981441790384
44,ASM,20070,9.906981441790384
45,ATA,20070,9.906981441790384
46,ARM,20070,9.906981441790384
47,AZE,20070,9.906981441790384
48,BGD,20070,9.906981441790384
49,BTN,20070,9.906981441790384
50,BVT,20070,9.906981441790384
51,IOT,20070,9.906981441790384
52,BRN,20070,9.906981441790384
53,KHM,20070,9.906981441790384
54,CXR,20070,9.906981441790384
55,CCK,20070,9.906981441790384
56,COK,20070,9.906981441790384
57,FJI,20070,9.906981441790384
58,PYF,20070,9.906981441790384
59,GEO,20070,9.906981441790384
60,GUM,20070,9.906981441790384
61,HMD,20070,9.906981441790384
62,HKG,20070,9.906981441790384
63,KAZ,20070,9.906981441790384
64,KIR,20070,9.906981441790384
65,KGZ,20070,9.906981441790384
66,LAO,20070,9.906981441790384
67,MAC,20070,9.906981441790384
68,MYS,20070,9.906981441790384
69,MDV,20070,9.906981441790384
70,MHL,20070,9.906981441790384
71,FSM,20070,9.906981441790384
72,MNG,20070,9.906981441790384
73,MMR,20070,9.906981441790384
74,NRU,20070,9.906981441790384
75,NPL,20070,9.906981441790384
76,NCL,20070,9.906981441790384
77,NZL,20070,9.906981441790384
78,NIU,20070,9.906981441790384
79,NFK,20070,9.906981441790384
80,PRK,20070,9.906981441790384
81,MNP,20070,9.906981441790384
82,PAK,20070,9.906981441790384
83,PLW,20070,9.906981441790384
84,PNG,20070,9.906981441790384
85,PHL,20070,9.906981441790384
86,PCN,20070,9.906981441790384
87,WSM,20070,9.906981441790384
88,SGP,20070,9.906981441790384
89,SLB,20070,9.906981441790384
90,SGS,20070,9.906981441790384
91,LKA,20070,9.906981441790384
92,TJK,20070,9.906981441790384
93,THA,20070,9.906981441790384
94,TLS,20070,9.906981441790384
95,TKL,20070,9.906981441790384
96,TON,20070,9.906981441790384
97,TKM,20070,9.906981441790384
98,TUV,20070,9.906981441790384
99,UMI,20070,9.906981441790384
100,UZB,20070,9.906981441790384
101,VUT,20070,9.906981441790384
102,VNM,20070,9.906981441790384
103,WLF,20070,9.906981441790384
104,ALA,5679,8.644530439877432
105,ALB,5679,8.644530439877432
106,AND,5679,8.644530439877432
107,BLR,5679,8.644530439877432
108,BIH,5679,8.644530439877432
109,FRO,5679,8.644530439877432
110,GIB,5679,8.644530439877432
111,GGY,5679,8.644530439877432
112,ISL,5679,8.644530439877432
113,IMN,5679,8.644530439877432
114,JEY,5679,8.644530439877432
