,country,emission
0,AUT,909
1,AUS,617
2,BEL,3794
3,BGR,271
4,BRA,2015
5,CAN,1308
6,CHE,1754
7,CHN,8175
8,CYP,98
9,CZE,1175
10,DEU,19257
11,DNK,1587
12,EST,87
13,ESP,881759
14,FIN,721
15,FRA,30021
16,GBR,14256
17,GRC,1123
18,HRV,131
19,HUN,994
20,IDN,276
21,IRL,3970
22,IND,1025
23,ITA,11386
24,JPN,1520
25,KOR,1671
26,LTU,133
27,LUX,520
28,LVA,70
29,MLT,148
30,MEX,3268
31,NLD,3554
32,NOR,972
33,POL,3161
34,PRT,13279
35,ROU,1028
36,RUS,1829
37,SWE,1149
38,SVN,194
39,SVK,754
40,TUR,3314
41,TWN,752
42,USA,10240
43,AFG,3834
44,ASM,3834
45,ATA,3834
46,ARM,3834
47,AZE,3834
48,BGD,3834
49,BTN,3834
50,BVT,3834
51,IOT,3834
52,BRN,3834
53,KHM,3834
54,CXR,3834
55,CCK,3834
56,COK,3834
57,FJI,3834
58,PYF,3834
59,GEO,3834
60,GUM,3834
61,HMD,3834
62,HKG,3834
63,KAZ,3834
64,KIR,3834
65,KGZ,3834
66,LAO,3834
67,MAC,3834
68,MYS,3834
69,MDV,3834
70,MHL,3834
71,FSM,3834
72,MNG,3834
73,MMR,3834
74,NRU,3834
75,NPL,3834
76,NCL,3834
77,NZL,3834
78,NIU,3834
79,NFK,3834
80,PRK,3834
81,MNP,3834
82,PAK,3834
83,PLW,3834
84,PNG,3834
85,PHL,3834
86,PCN,3834
87,WSM,3834
88,SGP,3834
89,SLB,3834
90,SGS,3834
91,LKA,3834
92,TJK,3834
93,THA,3834
94,TLS,3834
95,TKL,3834
96,TON,3834
97,TKM,3834
98,TUV,3834
99,UMI,3834
100,UZB,3834
101,VUT,3834
102,VNM,3834
103,WLF,3834
104,ALA,2487
105,ALB,2487
106,AND,2487
107,BLR,2487
108,BIH,2487
109,FRO,2487
110,GIB,2487
111,GGY,2487
112,ISL,2487
113,IMN,2487
114,JEY,2487
115,XKX,2487
116,LIE,2487
117,MKD,2487
118,MDA,2487
119,MCO,2487
120,MNE,2487
121,SMR,2487
122,SRB,2487
123,SJM,2487
124,UKR,2487
125,VAT,2487
126,DZA,10797
127,AGO,10797
128,BEN,10797
129,BWA,10797
130,BFA,10797
131,BDI,10797
132,CPV,10797
133,CMR,10797
134,CAF,10797
135,TCD,10797
136,COM,10797
137,COG,10797
138,CIV,10797
139,DJI,10797
140,COD,10797
141,GNQ,10797
142,ERI,10797
143,SWZ,10797
144,ETH,10797
145,ATF,10797
146,GAB,10797
147,GMB,10797
148,GHA,10797
149,GIN,10797
150,GNB,10797
151,KEN,10797
152,LSO,10797
153,LBR,10797
154,LBY,10797
155,MDG,10797
156,MWI,10797
157,MLI,10797
158,MRT,10797
159,MUS,10797
160,MYT,10797
161,MAR,10797
162,MOZ,10797
163,NAM,10797
164,NER,10797
165,NGA,10797
166,REU,10797
167,RWA,10797
168,STP,10797
169,SEN,10797
170,SYC,10797
171,SLE,10797
172,SOM,10797
173,SSD,10797
174,SHN,10797
175,SDN,10797
176,TZA,10797
177,TGO,10797
178,TUN,10797
179,UGA,10797
180,ESH,10797
181,ZMB,10797
182,ZWE,10797
183,AIA,7942
184,ATG,7942
185,ARG,7942
186,ABW,7942
187,BHS,7942
188,BRB,7942
189,BLZ,7942
190,BMU,7942
191,BOL,7942
192,BES,7942
193,VGB,7942
194,CYM,7942
195,CHL,7942
196,COL,7942
197,CRI,7942
198,CUB,7942
199,CUW,7942
200,DMA,7942
201,DOM,7942
202,ECU,7942
203,SLV,7942
204,FLK,7942
205,GUF,7942
206,GRL,7942
207,GRD,7942
208,GLP,7942
209,GTM,7942
210,GUY,7942
211,HTI,7942
212,HND,7942
213,JAM,7942
214,MTQ,7942
215,MSR,7942
216,NIC,7942
217,PAN,7942
218,PRY,7942
219,PER,7942
220,PRI,7942
221,MAF,7942
222,SXM,7942
223,BLM,7942
224,KNA,7942
225,LCA,7942
226,SPM,7942
227,VCT,7942
228,SUR,7942
229,TTO,7942
230,TCA,7942
231,VIR,7942
232,URY,7942
233,VEN,7942
234,BHR,7830
235,EGY,7830
236,IRN,7830
237,IRQ,7830
238,ISR,7830
239,JOR,7830
240,KWT,7830
241,LBN,7830
242,OMN,7830
243,PSE,7830
244,QAT,7830
245,SAU,7830
246,SYR,7830
247,ARE,7830
248,YEM,7830
249,ZAF,445
