,country,emission
0,AUT,2220
1,AUS,1470
2,BEL,25919
3,BGR,513
4,BRA,3252
5,CAN,3541
6,CHE,11533
7,CHN,34232
8,CYP,81
9,CZE,2960
10,DEU,49228
11,DNK,1685
12,EST,196
13,ESP,25233
14,FIN,1563
15,FRA,1583637
16,GBR,23968
17,GRC,1686
18,HRV,222
19,HUN,2632
20,IDN,1362
21,IRL,10998
22,IND,4190
23,ITA,23006
24,JPN,4621
25,KOR,6141
26,LTU,237
27,LUX,4596
28,LVA,102
29,MLT,429
30,MEX,2670
31,NLD,9677
32,NOR,1303
33,POL,7143
34,PRT,3780
35,ROU,2980
36,RUS,3456
37,SWE,3952
38,SVN,732
39,SVK,3560
40,TUR,5169
41,TWN,4262
42,USA,28142
43,AFG,15232
44,ASM,15232
45,ATA,15232
46,ARM,15232
47,AZE,15232
48,BGD,15232
49,BTN,15232
50,BVT,15232
51,IOT,15232
52,BRN,15232
53,KHM,15232
54,CXR,15232
55,CCK,15232
56,COK,15232
57,FJI,15232
58,PYF,15232
59,GEO,15232
60,GUM,15232
61,HMD,15232
62,HKG,15232
63,KAZ,15232
64,KIR,15232
65,KGZ,15232
66,LAO,15232
67,MAC,15232
68,MYS,15232
69,MDV,15232
70,MHL,15232
71,FSM,15232
72,MNG,15232
73,MMR,15232
74,NRU,15232
75,NPL,15232
76,NCL,15232
77,NZL,15232
78,NIU,15232
79,NFK,15232
80,PRK,15232
81,MNP,15232
82,PAK,15232
83,PLW,15232
84,PNG,15232
85,PHL,15232
86,PCN,15232
87,WSM,15232
88,SGP,15232
89,SLB,15232
90,SGS,15232
91,LKA,15232
92,TJK,15232
93,THA,15232
94,TLS,15232
95,TKL,15232
96,TON,15232
97,TKM,15232
98,TUV,15232
99,UMI,15232
100,UZB,15232
101,VUT,15232
102,VNM,15232
103,WLF,15232
104,ALA,1763
105,ALB,1763
106,AND,1763
107,BLR,1763
108,BIH,1763
109,FRO,1763
110,GIB,1763
111,GGY,1763
112,ISL,1763
113,IMN,1763
114,JEY,1763
115,XKX,1763
116,LIE,1763
117,MKD,1763
118,MDA,1763
119,MCO,1763
120,MNE,1763
121,SMR,1763
122,SRB,1763
123,SJM,1763
124,UKR,1763
125,VAT,1763
126,DZA,19710
127,AGO,19710
128,BEN,19710
129,BWA,19710
130,BFA,19710
131,BDI,19710
132,CPV,19710
133,CMR,19710
134,CAF,19710
135,TCD,19710
136,COM,19710
137,COG,19710
138,CIV,19710
139,DJI,19710
140,COD,19710
141,GNQ,19710
142,ERI,19710
143,SWZ,19710
144,ETH,19710
145,ATF,19710
146,GAB,19710
147,GMB,19710
148,GHA,19710
149,GIN,19710
150,GNB,19710
151,KEN,19710
152,LSO,19710
153,LBR,19710
154,LBY,19710
155,MDG,19710
156,MWI,19710
157,MLI,19710
158,MRT,19710
159,MUS,19710
160,MYT,19710
161,MAR,19710
162,MOZ,19710
163,NAM,19710
164,NER,19710
165,NGA,19710
166,REU,19710
167,RWA,19710
168,STP,19710
169,SEN,19710
170,SYC,19710
171,SLE,19710
172,SOM,19710
173,SSD,19710
174,SHN,19710
175,SDN,19710
176,TZA,19710
177,TGO,19710
178,TUN,19710
179,UGA,19710
180,ESH,19710
181,ZMB,19710
182,ZWE,19710
183,AIA,5083
184,ATG,5083
185,ARG,5083
186,ABW,5083
187,BHS,5083
188,BRB,5083
189,BLZ,5083
190,BMU,5083
191,BOL,5083
192,BES,5083
193,VGB,5083
194,CYM,5083
195,CHL,5083
196,COL,5083
197,CRI,5083
198,CUB,5083
199,CUW,5083
200,DMA,5083
201,DOM,5083
202,ECU,5083
203,SLV,5083
204,FLK,5083
205,GUF,5083
206,GRL,5083
207,GRD,5083
208,GLP,5083
209,GTM,5083
210,GUY,5083
211,HTI,5083
212,HND,5083
213,JAM,5083
214,MTQ,5083
215,MSR,5083
216,NIC,5083
217,PAN,5083
218,PRY,5083
219,PER,5083
220,PRI,5083
221,MAF,5083
222,SXM,5083
223,BLM,5083
224,KNA,5083
225,LCA,5083
226,SPM,5083
227,VCT,5083
228,SUR,5083
229,TTO,5083
230,TCA,5083
231,VIR,5083
232,URY,5083
233,VEN,5083
234,BHR,13445
235,EGY,13445
236,IRN,13445
237,IRQ,13445
238,ISR,13445
239,JOR,13445
240,KWT,13445
241,LBN,13445
242,OMN,13445
243,PSE,13445
244,QAT,13445
245,SAU,13445
246,SYR,13445
247,ARE,13445
248,YEM,13445
249,ZAF,1368
