,country,emission,emission_log
0,AUT,417,6.0330862217988015
1,AUS,110,4.700480365792417
2,BEL,254,5.537334267018537
3,BGR,45692,10.729678506853837
4,BRA,139,4.9344739331306915
5,CAN,126,4.836281906951478
6,CHE,281,5.638354669333745
7,CHN,631,6.447305862541213
8,CYP,86,4.454347296253507
9,CZE,336,5.817111159963204
10,DEU,1921,7.560601162768557
11,DNK,121,4.795790545596741
12,EST,21,3.044522437723423
13,ESP,281,5.638354669333745
14,FIN,65,4.174387269895637
15,FRA,513,6.240275845170769
16,GBR,427,6.056784013228625
17,GRC,1225,7.110696122978827
18,HRV,68,4.219507705176107
19,HUN,394,5.976350909297934
20,IDN,75,4.31748811353631
21,IRL,338,5.823045895483019
22,IND,194,5.267858159063328
23,ITA,1348,7.206377291472252
24,JPN,52,3.9512437185814275
25,KOR,106,4.663439094112067
26,LTU,38,3.6375861597263857
27,LUX,37,3.6109179126442243
28,LVA,16,2.772588722239781
29,MLT,78,4.356708826689592
30,MEX,9,2.1972245773362196
31,NLD,278,5.627621113690637
32,NOR,21,3.044522437723423
33,POL,664,6.498282149476434
34,PRT,39,3.6635616461296463
35,ROU,1491,7.307202314764738
36,RUS,2401,7.783640596221253
37,SWE,122,4.804021044733257
38,SVN,139,4.9344739331306915
39,SVK,170,5.135798437050262
40,TUR,2578,7.8547691834991324
41,TWN,90,4.499809670330265
42,USA,248,5.5134287461649825
43,AFG,1245,7.126890808898808
44,ASM,1245,7.126890808898808
45,ATA,1245,7.126890808898808
46,ARM,1245,7.126890808898808
47,AZE,1245,7.126890808898808
48,BGD,1245,7.126890808898808
49,BTN,1245,7.126890808898808
50,BVT,1245,7.126890808898808
51,IOT,1245,7.126890808898808
52,BRN,1245,7.126890808898808
53,KHM,1245,7.126890808898808
54,CXR,1245,7.126890808898808
55,CCK,1245,7.126890808898808
56,COK,1245,7.126890808898808
57,FJI,1245,7.126890808898808
58,PYF,1245,7.126890808898808
59,GEO,1245,7.126890808898808
60,GUM,1245,7.126890808898808
61,HMD,1245,7.126890808898808
62,HKG,1245,7.126890808898808
63,KAZ,1245,7.126890808898808
64,KIR,1245,7.126890808898808
65,KGZ,1245,7.126890808898808
66,LAO,1245,7.126890808898808
67,MAC,1245,7.126890808898808
68,MYS,1245,7.126890808898808
69,MDV,1245,7.126890808898808
70,MHL,1245,7.126890808898808
71,FSM,1245,7.126890808898808
72,MNG,1245,7.126890808898808
73,MMR,1245,7.126890808898808
74,NRU,1245,7.126890808898808
75,NPL,1245,7.126890808898808
76,NCL,1245,7.126890808898808
77,NZL,1245,7.126890808898808
78,NIU,1245,7.126890808898808
79,NFK,1245,7.126890808898808
80,PRK,1245,7.126890808898808
81,MNP,1245,7.126890808898808
82,PAK,1245,7.126890808898808
83,PLW,1245,7.126890808898808
84,PNG,1245,7.126890808898808
85,PHL,1245,7.126890808898808
86,PCN,1245,7.126890808898808
87,WSM,1245,7.126890808898808
88,SGP,1245,7.126890808898808
89,SLB,1245,7.126890808898808
90,SGS,1245,7.126890808898808
91,LKA,1245,7.126890808898808
92,TJK,1245,7.126890808898808
93,THA,1245,7.126890808898808
94,TLS,1245,7.126890808898808
95,TKL,1245,7.126890808898808
96,TON,1245,7.126890808898808
97,TKM,1245,7.126890808898808
98,TUV,1245,7.126890808898808
99,UMI,1245,7.126890808898808
100,UZB,1245,7.126890808898808
101,VUT,1245,7.126890808898808
102,VNM,1245,7.126890808898808
103,WLF,1245,7.126890808898808
104,ALA,1418,7.257002707092073
105,ALB,1418,7.257002707092073
106,AND,1418,7.257002707092073
107,BLR,1418,7.257002707092073
108,BIH,1418,7.257002707092073
109,FRO,1418,7.257002707092073
110,GIB,1418,7.257002707092073
111,GGY,1418,7.257002707092073
112,ISL,1418,7.257002707092073
113,IMN,1418,7.257002707092073
114,JEY,1418,7.257002707092073
115,XKX,1418,7.257002707092073
116,LIE,1418,7.257002707092073
117,MKD,1418,7.257002707092073
118,MDA,1418,7.257002707092073
119,MCO,1418,7.257002707092073
120,MNE,1418,7.257002707092073
121,SMR,1418,7.257002707092073
122,SRB,1418,7.257002707092073
123,SJM,1418,7.257002707092073
124,UKR,1418,7.257002707092073
125,VAT,1418,7.257002707092073
126,DZA,226,5.420534999272286
127,AGO,226,5.420534999272286
128,BEN,226,5.420534999272286
129,BWA,226,5.420534999272286
130,BFA,226,5.420534999272286
131,BDI,226,5.420534999272286
132,CPV,226,5.420534999272286
133,CMR,226,5.420534999272286
134,CAF,226,5.420534999272286
135,TCD,226,5.420534999272286
136,COM,226,5.420534999272286
137,COG,226,5.420534999272286
138,CIV,226,5.420534999272286
139,DJI,226,5.420534999272286
140,COD,226,5.420534999272286
141,GNQ,226,5.420534999272286
142,ERI,226,5.420534999272286
143,SWZ,226,5.420534999272286
144,ETH,226,5.420534999272286
145,ATF,226,5.420534999272286
146,GAB,226,5.420534999272286
147,GMB,226,5.420534999272286
148,GHA,226,5.420534999272286
149,GIN,226,5.420534999272286
150,GNB,226,5.420534999272286
151,KEN,226,5.420534999272286
152,LSO,226,5.420534999272286
153,LBR,226,5.420534999272286
154,LBY,226,5.420534999272286
155,MDG,226,5.420534999272286
156,MWI,226,5.420534999272286
157,MLI,226,5.420534999272286
158,MRT,226,5.420534999272286
159,MUS,226,5.420534999272286
160,MYT,226,5.420534999272286
161,MAR,226,5.420534999272286
162,MOZ,226,5.420534999272286
163,NAM,226,5.420534999272286
164,NER,226,5.420534999272286
165,NGA,226,5.420534999272286
166,REU,226,5.420534999272286
167,RWA,226,5.420534999272286
168,STP,226,5.420534999272286
169,SEN,226,5.420534999272286
170,SYC,226,5.420534999272286
171,SLE,226,5.420534999272286
172,SOM,226,5.420534999272286
173,SSD,226,5.420534999272286
174,SHN,226,5.420534999272286
175,SDN,226,5.420534999272286
176,TZA,226,5.420534999272286
177,TGO,226,5.420534999272286
178,TUN,226,5.420534999272286
179,UGA,226,5.420534999272286
180,ESH,226,5.420534999272286
181,ZMB,226,5.420534999272286
182,ZWE,226,5.420534999272286
183,AIA,208,5.337538079701318
184,ATG,208,5.337538079701318
185,ARG,208,5.337538079701318
186,ABW,208,5.337538079701318
187,BHS,208,5.337538079701318
188,BRB,208,5.337538079701318
189,BLZ,208,5.337538079701318
190,BMU,208,5.337538079701318
191,BOL,208,5.337538079701318
192,BES,208,5.337538079701318
193,VGB,208,5.337538079701318
194,CYM,208,5.337538079701318
195,CHL,208,5.337538079701318
196,COL,208,5.337538079701318
197,CRI,208,5.337538079701318
198,CUB,208,5.337538079701318
199,CUW,208,5.337538079701318
200,DMA,208,5.337538079701318
201,DOM,208,5.337538079701318
202,ECU,208,5.337538079701318
203,SLV,208,5.337538079701318
204,FLK,208,5.337538079701318
205,GUF,208,5.337538079701318
206,GRL,208,5.337538079701318
207,GRD,208,5.337538079701318
208,GLP,208,5.337538079701318
209,GTM,208,5.337538079701318
210,GUY,208,5.337538079701318
211,HTI,208,5.337538079701318
212,HND,208,5.337538079701318
213,JAM,208,5.337538079701318
214,MTQ,208,5.337538079701318
215,MSR,208,5.337538079701318
216,NIC,208,5.337538079701318
217,PAN,208,5.337538079701318
218,PRY,208,5.337538079701318
219,PER,208,5.337538079701318
220,PRI,208,5.337538079701318
221,MAF,208,5.337538079701318
222,SXM,208,5.337538079701318
223,BLM,208,5.337538079701318
224,KNA,208,5.337538079701318
225,LCA,208,5.337538079701318
226,SPM,208,5.337538079701318
227,VCT,208,5.337538079701318
228,SUR,208,5.337538079701318
229,TTO,208,5.337538079701318
230,TCA,208,5.337538079701318
231,VIR,208,5.337538079701318
232,URY,208,5.337538079701318
233,VEN,208,5.337538079701318
234,BHR,853,6.748759547491679
235,EGY,853,6.748759547491679
236,IRN,853,6.748759547491679
237,IRQ,853,6.748759547491679
238,ISR,853,6.748759547491679
239,JOR,853,6.748759547491679
240,KWT,853,6.748759547491679
241,LBN,853,6.748759547491679
242,OMN,853,6.748759547491679
243,PSE,853,6.748759547491679
244,QAT,853,6.748759547491679
245,SAU,853,6.748759547491679
246,SYR,853,6.748759547491679
247,ARE,853,6.748759547491679
248,YEM,853,6.748759547491679
249,ZAF,17,2.833213344056216
