,country,emission,emission_log
0,AUT,600,6.396929655216146
1,AUS,791,6.673297967767654
2,BEL,1101,7.00397413672268
3,BGR,22,3.091042453358316
4,BRA,1049727,13.864040688327846
5,CAN,929,6.834108738813838
6,CHE,1001,6.90875477931522
7,CHN,18085,9.802838144386198
8,CYP,1,0.0
9,CZE,186,5.225746673713202
10,DEU,6016,8.702177865629675
11,DNK,280,5.634789603169249
12,EST,12,2.4849066497880004
13,ESP,2484,7.81762544305337
14,FIN,388,5.961005339623274
15,FRA,3252,8.087025470667701
16,GBR,1719,7.449498005382849
17,GRC,132,4.882801922586371
18,HRV,7,1.9459101490553132
19,HUN,155,5.043425116919247
20,IDN,642,6.464588303689961
21,IRL,927,6.831953565565855
22,IND,2652,7.883069351305753
23,ITA,3089,8.035602692918582
24,JPN,2268,7.7266536648476425
25,KOR,2290,7.736307096548285
26,LTU,25,3.2188758248682006
27,LUX,189,5.241747015059643
28,LVA,5,1.6094379124341003
29,MLT,8,2.0794415416798357
30,MEX,2524,7.8336002236611035
31,NLD,3759,8.231908243564177
32,NOR,306,5.723585101952381
33,POL,333,5.808142489980444
34,PRT,1190,7.081708586105575
35,ROU,98,4.584967478670572
36,RUS,1968,7.584773077612199
37,SWE,979,6.88653164253051
38,SVN,39,3.6635616461296463
39,SVK,52,3.9512437185814275
40,TUR,390,5.966146739123692
41,TWN,2409,7.786967002614872
42,USA,32140,10.377856639291503
43,AFG,5079,8.532869670801245
44,ASM,5079,8.532869670801245
45,ATA,5079,8.532869670801245
46,ARM,5079,8.532869670801245
47,AZE,5079,8.532869670801245
48,BGD,5079,8.532869670801245
49,BTN,5079,8.532869670801245
50,BVT,5079,8.532869670801245
51,IOT,5079,8.532869670801245
52,BRN,5079,8.532869670801245
53,KHM,5079,8.532869670801245
54,CXR,5079,8.532869670801245
55,CCK,5079,8.532869670801245
56,COK,5079,8.532869670801245
57,FJI,5079,8.532869670801245
58,PYF,5079,8.532869670801245
59,GEO,5079,8.532869670801245
60,GUM,5079,8.532869670801245
61,HMD,5079,8.532869670801245
62,HKG,5079,8.532869670801245
63,KAZ,5079,8.532869670801245
64,KIR,5079,8.532869670801245
65,KGZ,5079,8.532869670801245
66,LAO,5079,8.532869670801245
67,MAC,5079,8.532869670801245
68,MYS,5079,8.532869670801245
69,MDV,5079,8.532869670801245
70,MHL,5079,8.532869670801245
71,FSM,5079,8.532869670801245
72,MNG,5079,8.532869670801245
73,MMR,5079,8.532869670801245
74,NRU,5079,8.532869670801245
75,NPL,5079,8.532869670801245
76,NCL,5079,8.532869670801245
77,NZL,5079,8.532869670801245
78,NIU,5079,8.532869670801245
79,NFK,5079,8.532869670801245
80,PRK,5079,8.532869670801245
81,MNP,5079,8.532869670801245
82,PAK,5079,8.532869670801245
83,PLW,5079,8.532869670801245
84,PNG,5079,8.532869670801245
85,PHL,5079,8.532869670801245
86,PCN,5079,8.532869670801245
87,WSM,5079,8.532869670801245
88,SGP,5079,8.532869670801245
89,SLB,5079,8.532869670801245
90,SGS,5079,8.532869670801245
91,LKA,5079,8.532869670801245
92,TJK,5079,8.532869670801245
93,THA,5079,8.532869670801245
94,TLS,5079,8.532869670801245
95,TKL,5079,8.532869670801245
96,TON,5079,8.532869670801245
97,TKM,5079,8.532869670801245
98,TUV,5079,8.532869670801245
99,UMI,5079,8.532869670801245
100,UZB,5079,8.532869670801245
101,VUT,5079,8.532869670801245
102,VNM,5079,8.532869670801245
103,WLF,5079,8.532869670801245
104,ALA,381,5.942799375126701
105,ALB,381,5.942799375126701
106,AND,381,5.942799375126701
107,BLR,381,5.942799375126701
108,BIH,381,5.942799375126701
109,FRO,381,5.942799375126701
110,GIB,381,5.942799375126701
111,GGY,381,5.942799375126701
112,ISL,381,5.942799375126701
113,IMN,381,5.942799375126701
114,JEY,381,5.942799375126701
115,XKX,381,5.942799375126701
116,LIE,381,5.942799375126701
117,MKD,381,5.942799375126701
118,MDA,381,5.942799375126701
119,MCO,381,5.942799375126701
120,MNE,381,5.942799375126701
121,SMR,381,5.942799375126701
122,SRB,381,5.942799375126701
123,SJM,381,5.942799375126701
124,UKR,381,5.942799375126701
125,VAT,381,5.942799375126701
126,DZA,4009,8.296297112642508
127,AGO,4009,8.296297112642508
128,BEN,4009,8.296297112642508
129,BWA,4009,8.296297112642508
130,BFA,4009,8.296297112642508
131,BDI,4009,8.296297112642508
132,CPV,4009,8.296297112642508
133,CMR,4009,8.296297112642508
134,CAF,4009,8.296297112642508
135,TCD,4009,8.296297112642508
136,COM,4009,8.296297112642508
137,COG,4009,8.296297112642508
138,CIV,4009,8.296297112642508
139,DJI,4009,8.296297112642508
140,COD,4009,8.296297112642508
141,GNQ,4009,8.296297112642508
142,ERI,4009,8.296297112642508
143,SWZ,4009,8.296297112642508
144,ETH,4009,8.296297112642508
145,ATF,4009,8.296297112642508
146,GAB,4009,8.296297112642508
147,GMB,4009,8.296297112642508
148,GHA,4009,8.296297112642508
149,GIN,4009,8.296297112642508
150,GNB,4009,8.296297112642508
151,KEN,4009,8.296297112642508
